,Internet & Telecom
2014-12-28,86.0
2015-01-04,76.0
2015-01-11,75.0
2015-01-18,73.0
2015-01-25,68.0
2015-02-01,76.0
2015-02-08,77.0
2015-02-15,76.0
2015-02-22,70.0
2015-03-01,73.0
2015-03-08,73.0
2015-03-15,74.0
2015-03-22,75.0
2015-03-29,75.0
2015-04-05,74.0
2015-04-12,75.0
2015-04-19,70.0
2015-04-26,72.0
2015-05-03,73.0
2015-05-10,72.0
2015-05-17,70.0
2015-05-24,73.0
2015-05-31,68.0
2015-06-07,70.0
2015-06-14,75.0
2015-06-21,77.0
2015-06-28,90.0
2015-07-05,92.0
2015-07-12,89.0
2015-07-19,92.0
2015-07-26,93.0
2015-08-02,100.0
2015-08-09,89.0
2015-08-16,89.0
2015-08-23,86.0
2015-08-30,86.0
2015-09-06,88.0
2015-09-13,86.0
2015-09-20,85.0
2015-09-27,86.0
2015-10-04,82.0
2015-10-11,87.0
2015-10-18,82.0
2015-10-25,83.0
2015-11-01,82.0
2015-11-08,73.0
2015-11-15,77.0
2015-11-22,77.0
2015-11-29,76.0
2015-12-06,75.0
2015-12-13,80.0
2015-12-20,89.0
2015-12-27,88.0
2016-01-03,76.0
2016-01-10,70.0
2016-01-17,70.0
2016-01-24,69.0
2016-01-31,70.0
2016-02-07,70.0
2016-02-14,77.0
2016-02-21,69.0
2016-02-28,70.0
2016-03-06,71.0
2016-03-13,70.0
2016-03-20,70.0
2016-03-27,73.0
2016-04-03,71.0
2016-04-10,67.0
2016-04-17,63.0
2016-04-24,68.0
2016-05-01,70.0
2016-05-08,69.0
2016-05-15,68.0
2016-05-22,71.0
2016-05-29,73.0
2016-06-05,72.0
2016-06-12,74.0
2016-06-19,74.0
2016-06-26,74.0
2016-07-03,78.0
2016-07-10,80.0
2016-07-17,83.0
2016-07-24,81.0
2016-07-31,81.0
2016-08-07,82.0
2016-08-14,76.0
2016-08-21,84.0
2016-08-28,88.0
2016-09-04,86.0
2016-09-11,85.0
2016-09-18,88.0
2016-09-25,85.0
2016-10-02,86.0
2016-10-09,82.0
2016-10-16,84.0
2016-10-23,79.0
2016-10-30,79.0
2016-11-06,72.0
2016-11-13,72.0
2016-11-20,77.0
2016-11-27,78.0
2016-12-04,75.0
2016-12-11,82.0
2016-12-18,90.0
2016-12-25,87.0
2017-01-01,88.0
2017-01-08,74.0
2017-01-15,78.0
2017-01-22,82.0
2017-01-29,73.0
2017-02-05,77.0
2017-02-12,73.0
2017-02-19,74.0
2017-02-26,75.0
2017-03-05,72.0
2017-03-12,70.0
2017-03-19,80.0
2017-03-26,80.0
2017-04-02,78.0
2017-04-09,80.0
2017-04-16,76.0
2017-04-23,77.0
2017-04-30,76.0
2017-05-07,75.0
2017-05-14,74.0
2017-05-21,78.0
2017-05-28,78.0
2017-06-04,78.0
2017-06-11,82.0
2017-06-18,82.0
2017-06-25,85.0
2017-07-02,91.0
2017-07-09,83.0
2017-07-16,86.0
2017-07-23,85.0
2017-07-30,84.0
2017-08-06,84.0
2017-08-13,82.0
2017-08-20,78.0
2017-08-27,79.0
2017-09-03,77.0
2017-09-10,91.0
2017-09-17,83.0
2017-09-24,77.0
2017-10-01,79.0
2017-10-08,80.0
2017-10-15,76.0
2017-10-22,80.0
2017-10-29,81.0
2017-11-05,76.0
2017-11-12,74.0
2017-11-19,72.0
2017-11-26,70.0
2017-12-03,72.0
2017-12-10,67.0
2017-12-17,77.0
2017-12-24,80.0
2017-12-31,78.0
2018-01-07,72.0
2018-01-14,72.0
2018-01-21,70.0
2018-01-28,76.0
2018-02-04,71.0
2018-02-11,70.0
2018-02-18,76.0
2018-02-25,71.0
2018-03-04,72.0
2018-03-11,74.0
2018-03-18,73.0
2018-03-25,75.0
2018-04-01,75.0
2018-04-08,73.0
2018-04-15,71.0
2018-04-22,71.0
2018-04-29,72.0
2018-05-06,68.0
2018-05-13,74.0
2018-05-20,76.0
2018-05-27,76.0
2018-06-03,76.0
2018-06-10,77.0
2018-06-17,72.0
2018-06-24,74.0
2018-07-01,79.0
2018-07-08,77.0
2018-07-15,75.0
2018-07-22,79.0
2018-07-29,79.0
2018-08-05,78.0
2018-08-12,78.0
2018-08-19,78.0
2018-08-26,80.0
2018-09-02,78.0
2018-09-09,80.0
2018-09-16,77.0
2018-09-23,79.0
2018-09-30,76.0
2018-10-07,80.0
2018-10-14,75.0
2018-10-21,76.0
2018-10-28,86.0
2018-11-04,75.0
2018-11-11,79.0
2018-11-18,77.0
2018-11-25,75.0
2018-12-02,77.0
2018-12-09,77.0
2018-12-16,76.0
2018-12-23,81.0
2018-12-30,80.0
2019-01-06,71.0
2019-01-13,70.0
2019-01-20,73.0
2019-01-27,74.0
2019-02-03,77.0
2019-02-10,73.0
2019-02-17,72.0
2019-02-24,71.0
2019-03-03,76.0
2019-03-10,75.0
2019-03-17,73.0
2019-03-24,73.0
2019-03-31,75.0
2019-04-07,70.0
2019-04-14,71.0
2019-04-21,67.0
2019-04-28,69.0
2019-05-05,69.0
2019-05-12,69.0
2019-05-19,67.0
2019-05-26,68.0
2019-06-02,70.0
2019-06-09,70.0
2019-06-16,71.0
2019-06-23,75.0
2019-06-30,71.0
2019-07-07,70.0
2019-07-14,76.0
2019-07-21,76.0
2019-07-28,77.0
2019-08-04,74.0
2019-08-11,71.0
2019-08-18,76.0
2019-08-25,72.0
2019-09-01,69.0
2019-09-08,78.0
2019-09-15,75.0
2019-09-22,76.0
2019-09-29,75.0
2019-10-06,71.0
2019-10-13,74.0
2019-10-20,70.0
2019-10-27,64.0
2019-11-03,70.0
2019-11-10,72.0
2019-11-17,71.0
2019-11-24,70.0
2019-12-01,75.0
2019-12-08,69.0
2019-12-15,68.0
2019-12-22,75.0
2019-12-29,73.0
2020-01-05,67.81900452488688
2020-01-12,64.6399886877828
2020-01-19,70.99802036199095
2020-01-26,67.81900452488688
2020-02-02,66.75933257918552
2020-02-09,69.9383484162896
2020-02-16,67.81900452488688
2020-02-23,67.81900452488688
2020-03-01,66.75933257918552
2020-03-08,63.58031674208145
2020-03-15,68.87867647058823
2020-03-22,63.58031674208145
2020-03-29,63.58031674208145
2020-04-05,66.75933257918552
2020-04-12,67.81900452488688
2020-04-19,61.460972850678736
2020-04-26,63.58031674208145
2020-05-03,68.87867647058823
2020-05-10,68.87867647058823
2020-05-17,69.9383484162896
2020-05-24,68.87867647058823
2020-05-31,78.41572398190046
2020-06-07,77.3560520361991
2020-06-14,79.47539592760181
2020-06-21,84.77375565610859
2020-06-28,87.95277149321267
2020-07-05,86.89309954751131
2020-07-12,87.95277149321267
2020-07-19,82.65441176470588
2020-07-26,89.01244343891403
2020-08-02,83.71408371040724
2020-08-09,87.95277149321267
2020-08-16,86.89309954751131
2020-08-23,86.89309954751131
2020-08-30,85.83342760180996
2020-09-06,94.31080316742081
2020-09-13,87.95277149321267
2020-09-20,89.01244343891403
2020-09-27,89.01244343891403
2020-10-04,83.71408371040724
2020-10-11,91.13178733031674
2020-10-18,85.83342760180996
2020-10-25,79.47539592760181
2020-11-01,76.29638009049773
2020-11-08,75.23670814479638
2020-11-15,75.23670814479638
2020-11-22,73.11736425339366
2020-11-29,72.0576923076923
2020-12-06,74.17703619909503
2020-12-13,81.59473981900453
2020-12-20,78.41572398190046
2020-12-27,77.3560520361991
2021-01-03,80.53506787330316
2021-01-10,73.11736425339366
2021-01-17,79.47539592760181
2021-01-24,74.17703619909503
2021-01-31,73.11736425339366
2021-02-07,77.3560520361991
2021-02-14,74.17703619909503
2021-02-21,74.17703619909503
2021-02-28,74.17703619909503
2021-03-07,74.17703619909503
2021-03-14,78.41572398190046
2021-03-21,77.3560520361991
2021-03-28,73.11736425339366
2021-04-04,77.3560520361991
2021-04-11,73.11736425339366
2021-04-18,78.41572398190046
2021-04-25,70.99802036199095
2021-05-02,74.17703619909503
2021-05-09,74.17703619909503
2021-05-16,75.23670814479638
2021-05-23,74.17703619909503
2021-05-30,78.41572398190046
2021-06-06,81.59473981900453
2021-06-13,83.71408371040724
2021-06-20,84.77375565610859
2021-06-27,86.89309954751131
2021-07-04,84.77375565610859
2021-07-11,87.95277149321267
2021-07-18,86.89309954751131
2021-07-25,90.07211538461539
2021-08-01,87.95277149321267
2021-08-08,92.1914592760181
2021-08-15,84.77375565610859
2021-08-22,80.53506787330316
2021-08-29,81.59473981900453
2021-09-05,82.65441176470588
2021-09-12,85.83342760180996
2021-09-19,86.89309954751131
2021-09-26,91.13178733031674
2021-10-03,85.83342760180996
2021-10-10,76.29638009049773
2021-10-17,82.65441176470588
2021-10-24,80.53506787330316
2021-10-31,68.87867647058823
2021-11-07,77.3560520361991
2021-11-14,77.3560520361991
2021-11-21,79.47539592760181
2021-11-28,82.65441176470588
2021-12-05,82.65441176470588
2021-12-12,82.65441176470588
2021-12-19,85.83342760180996
2021-12-26,86.89309954751131
2022-01-02,95.37047511312217
2022-01-09,87.95277149321267
2022-01-16,86.89309954751131
2022-01-23,85.83342760180996
2022-01-30,95.37047511312217
2022-02-06,89.01244343891403
2022-02-13,85.83342760180996
2022-02-20,85.83342760180996
2022-02-27,92.1914592760181
2022-03-06,81.59473981900453
2022-03-13,78.41572398190046
2022-03-20,87.95277149321267
2022-03-27,83.71408371040724
2022-04-03,90.07211538461539
2022-04-10,85.83342760180996
2022-04-17,83.71408371040724
2022-04-24,90.07211538461539
2022-05-01,85.83342760180996
2022-05-08,83.71408371040724
2022-05-15,86.89309954751131
2022-05-22,91.13178733031674
2022-05-29,90.07211538461539
2022-06-05,92.1914592760181
2022-06-12,85.83342760180996
2022-06-19,92.1914592760181
2022-06-26,99.6091628959276
2022-07-03,97.48981900452489
2022-07-10,97.48981900452489
2022-07-17,97.48981900452489
2022-07-24,95.37047511312217
2022-07-31,92.1914592760181
2022-08-07,89.01244343891403
2022-08-14,89.01244343891403
2022-08-21,100.66883484162896
2022-08-28,90.07211538461539
2022-09-04,93.25113122171946
2022-09-11,99.6091628959276
2022-09-18,105.96719457013575
2022-09-25,103.84785067873304
2022-10-02,87.95277149321267
2022-10-09,98.54949095022624
2022-10-16,89.01244343891403
2022-10-23,82.65441176470588
2022-10-30,94.31080316742081
2022-11-06,87.95277149321267
2022-11-13,91.13178733031674
2022-11-20,89.01244343891403
2022-11-27,84.77375565610859
2022-12-04,87.95277149321267
2022-12-11,90.07211538461539
2022-12-18,99.6091628959276
2022-12-25,100.66883484162896
