,Advertising & Marketing
2020-05-24,78.78212290502793
2020-05-31,85.94413407821229
2020-06-07,88.3314711359404
2020-06-14,85.94413407821229
2020-06-21,97.88081936685289
2020-06-28,90.71880819366854
2020-07-05,95.49348230912477
2020-07-12,96.68715083798882
2020-07-19,93.10614525139665
2020-07-26,99.07448789571694
2020-08-02,94.2998137802607
2020-08-09,95.49348230912477
2020-08-16,99.07448789571694
2020-08-23,96.68715083798882
2020-08-30,94.2998137802607
2020-09-06,96.68715083798882
2020-09-13,101.46182495344506
2020-09-20,97.88081936685289
2020-09-27,90.71880819366854
2020-10-04,93.10614525139665
2020-10-11,103.84916201117319
2020-10-18,93.10614525139665
2020-10-25,90.71880819366854
2020-11-01,87.13780260707635
2020-11-08,83.55679702048417
2020-11-15,88.3314711359404
2020-11-22,90.71880819366854
2020-11-29,85.94413407821229
2020-12-06,93.10614525139665
2020-12-13,93.10614525139665
2020-12-20,97.88081936685289
2020-12-27,90.71880819366854
2021-01-03,97.88081936685289
2021-01-10,85.94413407821229
2021-01-17,87.13780260707635
2021-01-24,82.36312849162012
2021-01-31,94.2998137802607
2021-02-07,85.94413407821229
2021-02-14,90.71880819366854
2021-02-21,91.91247672253259
2021-02-28,95.49348230912477
2021-03-07,93.10614525139665
2021-03-14,90.71880819366854
2021-03-21,91.91247672253259
2021-03-28,84.75046554934823
2021-04-04,88.3314711359404
2021-04-11,84.75046554934823
2021-04-18,85.94413407821229
2021-04-25,82.36312849162012
2021-05-02,84.75046554934823
2021-05-09,82.36312849162012
2021-05-16,82.36312849162012
2021-05-23,85.94413407821229
2021-05-30,91.91247672253259
2021-06-06,85.94413407821229
2021-06-13,91.91247672253259
2021-06-20,87.13780260707635
2021-06-27,88.3314711359404
2021-07-04,88.3314711359404
2021-07-11,89.52513966480447
2021-07-18,87.13780260707635
2021-07-25,90.71880819366854
2021-08-01,88.3314711359404
2021-08-08,89.52513966480447
2021-08-15,88.3314711359404
2021-08-22,84.75046554934823
2021-08-29,85.94413407821229
2021-09-05,84.75046554934823
2021-09-12,90.71880819366854
2021-09-19,90.71880819366854
2021-09-26,87.13780260707635
2021-10-03,88.3314711359404
2021-10-10,78.78212290502793
2021-10-17,85.94413407821229
2021-10-24,90.71880819366854
2021-10-31,77.58845437616388
2021-11-07,97.88081936685289
2021-11-14,95.49348230912477
2021-11-21,85.94413407821229
2021-11-28,89.52513966480447
2021-12-05,87.13780260707635
2021-12-12,90.71880819366854
2021-12-19,89.52513966480447
2021-12-26,87.13780260707635
2022-01-02,82.36312849162012
2022-01-09,84.75046554934823
2022-01-16,76.39478584729981
2022-01-23,81.16945996275605
2022-01-30,88.3314711359404
2022-02-06,84.75046554934823
2022-02-13,90.71880819366854
2022-02-20,84.75046554934823
2022-02-27,87.13780260707635
2022-03-06,90.71880819366854
2022-03-13,88.3314711359404
2022-03-20,99.07448789571694
2022-03-27,102.65549348230913
2022-04-03,108.62383612662943
2022-04-10,107.43016759776536
2022-04-17,106.23649906890131
2022-04-24,105.04283054003724
2022-05-01,109.81750465549348
2022-05-08,119.36685288640597
2022-05-15,114.59217877094972
2022-05-22,107.43016759776536
2022-05-29,101.46182495344506
2022-06-05,101.46182495344506
2022-06-12,101.46182495344506
2022-06-19,101.46182495344506
2022-06-26,102.65549348230913
2022-07-03,97.88081936685289
2022-07-10,102.65549348230913
2022-07-17,101.46182495344506
2022-07-24,99.07448789571694
2022-07-31,99.07448789571694
2022-08-07,91.91247672253259
2022-08-14,94.2998137802607
2022-08-21,106.23649906890131
2022-08-28,91.91247672253259
2022-09-04,99.07448789571694
2022-09-11,100.26815642458101
2022-09-18,103.84916201117319
2022-09-25,90.71880819366854
2022-10-02,85.94413407821229
2022-10-09,93.10614525139665
2022-10-16,88.3314711359404
2022-10-23,76.39478584729981
2022-10-30,91.91247672253259
2022-11-06,99.07448789571694
2022-11-13,99.07448789571694
2022-11-20,93.10614525139665
2022-11-27,91.91247672253259
2022-12-04,91.91247672253259
2022-12-11,96.68715083798882
2022-12-18,97.88081936685289
2022-12-25,95.49348230912477
2023-01-01,99.07448789571694
2023-01-08,100.26815642458101
2023-01-15,102.65549348230913
2023-01-22,95.49348230912477
2023-01-29,99.07448789571694
2023-02-05,95.49348230912477
2023-02-12,99.07448789571694
2023-02-19,100.26815642458101
2023-02-26,100.26815642458101
2023-03-05,91.91247672253259
2023-03-12,97.88081936685289
2023-03-19,91.91247672253259
2023-03-26,88.3314711359404
2023-04-02,94.2998137802607
2023-04-09,91.91247672253259
2023-04-16,88.3314711359404
2023-04-23,91.91247672253259
2023-04-30,87.13780260707635
2023-05-07,90.71880819366854
2023-05-14,90.71880819366854
2023-05-21,93.10614525139665
2023-05-28,87.13780260707635
2023-06-04,89.52513966480447
2023-06-11,99.07448789571694
2023-06-18,96.68715083798882
2023-06-25,100.26815642458101
2023-07-02,102.65549348230913
2023-07-09,111.01117318435755
2023-07-16,100.26815642458101
2023-07-23,107.43016759776536
2023-07-30,102.65549348230913
2023-08-06,105.04283054003724
2023-08-13,96.68715083798882
2023-08-20,99.07448789571694
2023-08-27,93.10614525139665
2023-09-03,94.2998137802607
2023-09-10,99.07448789571694
2023-09-17,109.81750465549348
2023-09-24,115.78584729981378
2023-10-01,100.26815642458101
2023-10-08,101.46182495344506
2023-10-15,94.2998137802607
2023-10-22,85.94413407821229
2023-10-29,95.49348230912477
2023-11-05,94.2998137802607
2023-11-12,87.13780260707635
2023-11-19,94.2998137802607
2023-11-26,93.10614525139665
2023-12-03,95.49348230912477
2023-12-10,95.49348230912477
2023-12-17,94.2998137802607
2023-12-24,89.52513966480447
2023-12-31,91.91247672253259
2024-01-07,96.51711453153163
2024-01-14,89.20521191550651
2024-01-21,86.28045086909646
2024-01-28,95.0547340083266
2024-02-04,97.97949505473665
2024-02-11,97.97949505473665
2024-02-18,95.0547340083266
2024-02-25,96.51711453153163
2024-03-03,90.66759243871152
2024-03-10,90.66759243871152
2024-03-17,93.59235348512158
2024-03-24,83.3556898226864
2024-03-31,86.28045086909646
2024-04-07,89.20521191550651
2024-04-14,89.20521191550651
2024-04-21,93.59235348512158
2024-04-28,90.66759243871152
2024-05-05,93.59235348512158
2024-05-12,93.59235348512158
2024-05-19,95.0547340083266
2024-05-26,96.51711453153163
2024-06-02,90.66759243871152
2024-06-09,96.51711453153163
2024-06-16,97.97949505473665
2024-06-23,96.51711453153163
2024-06-30,100.9042561011467
2024-07-07,103.82901714755675
2024-07-14,96.51711453153163
2024-07-21,96.51711453153163
2024-07-28,97.97949505473665
2024-08-04,95.0547340083266
2024-08-11,93.59235348512158
2024-08-18,92.12997296191655
2024-08-25,86.28045086909646
2024-09-01,86.28045086909646
2024-09-08,96.51711453153163
2024-09-15,90.66759243871152
2024-09-22,93.59235348512158
2024-09-29,83.3556898226864
2024-10-06,89.20521191550651
2024-10-13,105.29139767076177
2024-10-20,95.0547340083266
2024-10-27,78.96854825307133
2024-11-03,95.0547340083266
2024-11-10,92.12997296191655
2024-11-17,84.81807034589143
2024-11-24,84.81807034589143
2024-12-01,84.81807034589143
2024-12-08,86.28045086909646
2024-12-15,86.28045086909646
2024-12-22,95.0547340083266
2024-12-29,92.12997296191655
2025-01-05,87.74283139230148
2025-01-12,86.28045086909646
2025-01-19,86.28045086909646
2025-01-26,87.74283139230148
2025-02-02,87.74283139230148
2025-02-09,87.74283139230148
2025-02-16,86.28045086909646
2025-02-23,87.74283139230148
2025-03-02,90.66759243871152
2025-03-09,84.81807034589143
2025-03-16,89.20521191550651
2025-03-23,90.66759243871152
2025-03-30,87.74283139230148
2025-04-06,89.20521191550651
2025-04-13,86.28045086909646
2025-04-20,89.20521191550651
2025-04-27,124.3023444724271
2025-05-04,84.81807034589143
2025-05-11,92.12997296191655
2025-05-18,92.12997296191655
2025-05-25,90.66759243871152
2025-06-01,93.59235348512158
2025-06-08,95.0547340083266
2025-06-15,96.51711453153163
2025-06-22,99.44187557794167
2025-06-29,95.0547340083266
2025-07-06,93.59235348512158
