,Cruises & Charters
2014-12-28,25.0
2015-01-04,21.0
2015-01-11,22.0
2015-01-18,21.0
2015-01-25,21.0
2015-02-01,22.0
2015-02-08,22.0
2015-02-15,24.0
2015-02-22,23.0
2015-03-01,22.0
2015-03-08,23.0
2015-03-15,25.0
2015-03-22,24.0
2015-03-29,27.0
2015-04-05,26.0
2015-04-12,26.0
2015-04-19,27.0
2015-04-26,26.0
2015-05-03,26.0
2015-05-10,25.0
2015-05-17,27.0
2015-05-24,26.0
2015-05-31,29.0
2015-06-07,28.0
2015-06-14,29.0
2015-06-21,30.0
2015-06-28,32.0
2015-07-05,33.0
2015-07-12,34.0
2015-07-19,31.0
2015-07-26,29.0
2015-08-02,31.0
2015-08-09,29.0
2015-08-16,29.0
2015-08-23,27.0
2015-08-30,29.0
2015-09-06,28.0
2015-09-13,28.0
2015-09-20,29.0
2015-09-27,31.0
2015-10-04,29.0
2015-10-11,35.0
2015-10-18,29.0
2015-10-25,27.0
2015-11-01,27.0
2015-11-08,23.0
2015-11-15,28.0
2015-11-22,27.0
2015-11-29,31.0
2015-12-06,29.0
2015-12-13,29.0
2015-12-20,31.0
2015-12-27,31.0
2016-01-03,27.0
2016-01-10,27.0
2016-01-17,27.0
2016-01-24,27.0
2016-01-31,32.0
2016-02-07,30.0
2016-02-14,27.0
2016-02-21,30.0
2016-02-28,29.0
2016-03-06,30.0
2016-03-13,32.0
2016-03-20,28.0
2016-03-27,29.0
2016-04-03,31.0
2016-04-10,30.0
2016-04-17,33.0
2016-04-24,29.0
2016-05-01,32.0
2016-05-08,33.0
2016-05-15,36.0
2016-05-22,33.0
2016-05-29,35.0
2016-06-05,33.0
2016-06-12,33.0
2016-06-19,32.0
2016-06-26,38.0
2016-07-03,33.0
2016-07-10,33.0
2016-07-17,34.0
2016-07-24,37.0
2016-07-31,38.0
2016-08-07,37.0
2016-08-14,31.0
2016-08-21,33.0
2016-08-28,31.0
2016-09-04,31.0
2016-09-11,33.0
2016-09-18,32.0
2016-09-25,30.0
2016-10-02,29.0
2016-10-09,30.0
2016-10-16,32.0
2016-10-23,31.0
2016-10-30,33.0
2016-11-06,33.0
2016-11-13,28.0
2016-11-20,30.0
2016-11-27,33.0
2016-12-04,35.0
2016-12-11,34.0
2016-12-18,39.0
2016-12-25,38.0
2017-01-01,39.0
2017-01-08,34.0
2017-01-15,34.0
2017-01-22,34.0
2017-01-29,34.0
2017-02-05,32.0
2017-02-12,34.0
2017-02-19,36.0
2017-02-26,33.0
2017-03-05,36.0
2017-03-12,32.0
2017-03-19,36.0
2017-03-26,39.0
2017-04-02,37.0
2017-04-09,38.0
2017-04-16,37.0
2017-04-23,35.0
2017-04-30,36.0
2017-05-07,36.0
2017-05-14,37.0
2017-05-21,42.0
2017-05-28,38.0
2017-06-04,38.0
2017-06-11,38.0
2017-06-18,37.0
2017-06-25,38.0
2017-07-02,40.0
2017-07-09,39.0
2017-07-16,42.0
2017-07-23,49.0
2017-07-30,38.0
2017-08-06,37.0
2017-08-13,36.0
2017-08-20,36.0
2017-08-27,34.0
2017-09-03,34.0
