,CAD & CAM
2020-05-24,62.2073380940655
2020-05-31,66.57276532873676
2020-06-07,68.7554789460724
2020-06-14,68.7554789460724
2020-06-21,73.12090618074366
2020-06-28,72.02954937207585
2020-07-05,74.21226298941147
2020-07-12,78.57769022408274
2020-07-19,80.76040384141837
2020-07-26,74.21226298941147
2020-08-02,73.12090618074366
2020-08-09,76.39497660674711
2020-08-16,81.85176065008619
2020-08-23,81.85176065008619
2020-08-30,79.66904703275056
2020-09-06,80.76040384141837
2020-09-13,75.3036197980793
2020-09-20,79.66904703275056
2020-09-27,76.39497660674711
2020-10-04,77.48633341541492
2020-10-11,80.76040384141837
2020-10-18,73.12090618074366
2020-10-25,66.57276532873676
2020-11-01,66.57276532873676
2020-11-08,57.84191085939424
2020-11-15,61.11598128539769
2020-11-22,72.02954937207585
2020-11-29,77.48633341541492
2020-12-06,78.57769022408274
2020-12-13,79.66904703275056
2020-12-20,85.12583107608964
2020-12-27,72.02954937207585
2021-01-03,82.943117458754
2021-01-10,72.02954937207585
2021-01-17,77.48633341541492
2021-01-24,73.12090618074366
2021-01-31,79.66904703275056
2021-02-07,79.66904703275056
2021-02-14,79.66904703275056
2021-02-21,85.12583107608964
2021-02-28,85.12583107608964
2021-03-07,79.66904703275056
2021-03-14,85.12583107608964
2021-03-21,77.48633341541492
2021-03-28,75.3036197980793
2021-04-04,77.48633341541492
2021-04-11,68.7554789460724
2021-04-18,69.84683575474021
2021-04-25,64.39005171140113
2021-05-02,65.48140852006895
2021-05-09,64.39005171140113
2021-05-16,73.12090618074366
2021-05-23,70.93819256340802
2021-05-30,73.12090618074366
2021-06-06,74.21226298941147
2021-06-13,76.39497660674711
2021-06-20,80.76040384141837
2021-06-27,78.57769022408274
2021-07-04,88.39990150209309
2021-07-11,84.03447426742181
2021-07-18,84.03447426742181
2021-07-25,84.03447426742181
2021-08-01,84.03447426742181
2021-08-08,84.03447426742181
2021-08-15,86.21718788475745
2021-08-22,79.66904703275056
2021-08-29,75.3036197980793
2021-09-05,77.48633341541492
2021-09-12,80.76040384141837
2021-09-19,82.943117458754
2021-09-26,79.66904703275056
2021-10-03,76.39497660674711
2021-10-10,61.11598128539769
2021-10-17,75.3036197980793
2021-10-24,74.21226298941147
2021-10-31,45.83698596404827
2021-11-07,70.93819256340802
2021-11-14,72.02954937207585
2021-11-21,78.57769022408274
2021-11-28,75.3036197980793
2021-12-05,82.943117458754
2021-12-12,78.57769022408274
2021-12-19,85.12583107608964
2021-12-26,74.21226298941147
2022-01-02,97.1307559714356
2022-01-09,88.39990150209309
2022-01-16,86.21718788475745
2022-01-23,91.67397192809653
2022-01-30,96.0393991627678
2022-02-06,91.67397192809653
2022-02-13,99.31346958877124
2022-02-20,102.58754001477469
2022-02-27,98.22211278010343
2022-03-06,102.58754001477469
2022-03-13,89.4912583107609
2022-03-20,98.22211278010343
2022-03-27,99.31346958877124
2022-04-03,94.94804235409998
2022-04-10,88.39990150209309
2022-04-17,96.0393991627678
2022-04-24,97.1307559714356
2022-05-01,94.94804235409998
2022-05-08,94.94804235409998
2022-05-15,93.85668554543216
2022-05-22,99.31346958877124
2022-05-29,97.1307559714356
2022-06-05,89.4912583107609
2022-06-12,102.58754001477469
2022-06-19,98.22211278010343
2022-06-26,99.31346958877124
2022-07-03,97.1307559714356
2022-07-10,100.40482639743905
2022-07-17,101.49618320610688
2022-07-24,101.49618320610688
2022-07-31,99.31346958877124
2022-08-07,88.39990150209309
2022-08-14,88.39990150209309
2022-08-21,103.6788968234425
2022-08-28,90.58261511942871
2022-09-04,89.4912583107609
2022-09-11,102.58754001477469
2022-09-18,100.40482639743905
2022-09-25,93.85668554543216
2022-10-02,77.48633341541492
2022-10-09,98.22211278010343
2022-10-16,93.85668554543216
2022-10-23,66.57276532873676
2022-10-30,93.85668554543216
2022-11-06,98.22211278010343
2022-11-13,102.58754001477469
2022-11-20,100.40482639743905
2022-11-27,94.94804235409998
2022-12-04,94.94804235409998
2022-12-11,100.40482639743905
2022-12-18,94.94804235409998
2022-12-25,94.94804235409998
2023-01-01,99.31346958877124
2023-01-08,93.85668554543216
2023-01-15,93.85668554543216
2023-01-22,88.39990150209309
2023-01-29,99.31346958877124
2023-02-05,103.6788968234425
2023-02-12,100.40482639743905
2023-02-19,109.13568086678158
2023-02-26,103.6788968234425
2023-03-05,90.58261511942871
2023-03-12,100.40482639743905
2023-03-19,97.1307559714356
2023-03-26,97.1307559714356
2023-04-02,98.22211278010343
2023-04-09,94.94804235409998
2023-04-16,92.76532873676435
2023-04-23,96.0393991627678
2023-04-30,92.76532873676435
2023-05-07,90.58261511942871
2023-05-14,97.1307559714356
2023-05-21,94.94804235409998
2023-05-28,98.22211278010343
2023-06-04,94.94804235409998
2023-06-11,103.6788968234425
2023-06-18,100.40482639743905
2023-06-25,94.94804235409998
2023-07-02,108.04432405811376
2023-07-09,109.13568086678158
2023-07-16,105.86161044077814
2023-07-23,101.49618320610688
2023-07-30,101.49618320610688
2023-08-06,102.58754001477469
2023-08-13,94.94804235409998
2023-08-20,102.58754001477469
2023-08-27,100.40482639743905
2023-09-03,94.94804235409998
2023-09-10,102.58754001477469
2023-09-17,93.85668554543216
2023-09-24,98.22211278010343
2023-10-01,98.22211278010343
2023-10-08,99.31346958877124
2023-10-15,87.30854469342526
2023-10-22,78.57769022408274
2023-10-29,94.94804235409998
2023-11-05,86.21718788475745
2023-11-12,72.02954937207585
2023-11-19,98.22211278010343
2023-11-26,97.1307559714356
2023-12-03,97.1307559714356
2023-12-10,100.40482639743905
2023-12-17,102.58754001477469
2023-12-24,92.76532873676435
2023-12-31,93.85668554543216
2024-01-07,100.42851292611336
2024-01-14,94.84915109688484
2024-01-21,92.05947018227059
2024-01-28,104.61303429803475
2024-02-04,107.40271521264901
2024-02-11,103.21819384072762
2024-02-18,104.61303429803475
2024-02-25,106.00787475534189
2024-03-03,100.42851292611336
2024-03-10,106.00787475534189
2024-03-17,100.42851292611336
2024-03-24,87.8749488103492
2024-03-31,103.21819384072762
2024-04-07,89.26978926765632
2024-04-14,99.03367246880623
2024-04-21,94.84915109688484
2024-04-28,97.6388320114991
2024-05-05,94.84915109688484
2024-05-12,99.03367246880623
2024-05-19,100.42851292611336
2024-05-26,93.45431063957771
2024-06-02,86.48010835304206
2024-06-09,99.03367246880623
2024-06-16,92.05947018227059
2024-06-23,100.42851292611336
2024-06-30,99.03367246880623
2024-07-07,100.42851292611336
2024-07-14,103.21819384072762
2024-07-21,108.79755566995614
2024-07-28,106.00787475534189
2024-08-04,110.19239612726327
2024-08-11,101.8233533834205
2024-08-18,106.00787475534189
2024-08-25,107.40271521264901
2024-09-01,99.03367246880623
2024-09-08,101.8233533834205
2024-09-15,99.03367246880623
2024-09-22,99.03367246880623
2024-09-29,97.6388320114991
2024-10-06,87.8749488103492
2024-10-13,97.6388320114991
2024-10-20,100.42851292611336
2024-10-27,71.13686332266363
2024-11-03,97.6388320114991
2024-11-10,99.03367246880623
2024-11-17,112.98207704187753
2024-11-24,139.484045730713
2024-12-01,112.98207704187753
2024-12-08,99.03367246880623
2024-12-15,101.8233533834205
2024-12-22,100.42851292611336
2024-12-29,100.42851292611336
2025-01-05,110.19239612726327
2025-01-12,92.05947018227059
2025-01-19,108.79755566995614
2025-01-26,107.40271521264901
2025-02-02,110.19239612726327
2025-02-09,103.21819384072762
2025-02-16,110.19239612726327
2025-02-23,104.61303429803475
2025-03-02,110.19239612726327
2025-03-09,93.45431063957771
2025-03-16,111.5872365845704
2025-03-23,106.00787475534189
2025-03-30,99.03367246880623
2025-04-06,103.21819384072762
2025-04-13,103.21819384072762
2025-04-20,107.40271521264901
2025-04-27,99.03367246880623
2025-05-04,97.6388320114991
2025-05-11,106.00787475534189
2025-05-18,110.19239612726327
2025-05-25,103.21819384072762
2025-06-01,104.61303429803475
2025-06-08,114.37691749918466
2025-06-15,110.19239612726327
2025-06-22,115.7717579564918
2025-06-29,107.40271521264901
2025-07-06,106.00787475534189
2025-07-13,117.16659841379892
2025-07-20,112.98207704187753
2025-07-27,111.5872365845704
2025-08-03,112.98207704187753
2025-08-10,99.03367246880623
2025-08-17,110.19239612726327
2025-08-24,101.8233533834205
2025-08-31,101.8233533834205
2025-09-07,101.8233533834205
2025-09-14,106.00787475534189
2025-09-21,104.61303429803475
2025-09-28,80.90074652381354
2025-10-05,103.21819384072762
2025-10-12,96.24399155419196
2025-10-19,72.53170377997075
2025-10-26,99.03367246880623
2025-11-02,101.8233533834205
2025-11-09,103.21819384072762
2025-11-16,101.8233533834205
2025-11-23,97.6388320114991
2025-11-30,96.24399155419196
2025-12-07,96.24399155419196
2025-12-14,99.03367246880623
2025-12-21,90.66462972496345
2025-12-28,86.48010835304206
2026-01-04,93.45431063957771
