,Education
2014-12-28,24
2015-01-04,26
2015-01-11,25
2015-01-18,27
2015-01-25,25
2015-02-01,26
2015-02-08,26
2015-02-15,28
2015-02-22,26
2015-03-01,25
2015-03-08,30
2015-03-15,30
2015-03-22,29
2015-03-29,29
2015-04-05,29
2015-04-12,29
2015-04-19,32
2015-04-26,33
2015-05-03,36
2015-05-10,42
2015-05-17,55
2015-05-24,59
2015-05-31,45
2015-06-07,44
2015-06-14,41
2015-06-21,47
2015-06-28,52
2015-07-05,51
2015-07-12,47
2015-07-19,45
2015-07-26,43
2015-08-02,40
2015-08-09,36
2015-08-16,37
2015-08-23,32
2015-08-30,32
2015-09-06,32
2015-09-13,30
2015-09-20,29
2015-09-27,30
2015-10-04,29
2015-10-11,27
2015-10-18,23
2015-10-25,29
2015-11-01,29
2015-11-08,21
2015-11-15,29
2015-11-22,26
2015-11-29,29
2015-12-06,28
2015-12-13,33
2015-12-20,28
2015-12-27,29
2016-01-03,32
2016-01-10,30
2016-01-17,31
2016-01-24,29
2016-01-31,34
2016-02-07,33
2016-02-14,35
2016-02-21,33
2016-02-28,36
2016-03-06,36
2016-03-13,40
2016-03-20,30
2016-03-27,35
2016-04-03,33
2016-04-10,32
2016-04-17,35
2016-04-24,39
2016-05-01,42
2016-05-08,58
2016-05-15,61
2016-05-22,81
2016-05-29,55
2016-06-05,52
2016-06-12,49
2016-06-19,54
2016-06-26,53
2016-07-03,45
2016-07-10,45
2016-07-17,46
2016-07-24,45
2016-07-31,44
2016-08-07,41
2016-08-14,35
2016-08-21,39
2016-08-28,37
2016-09-04,35
2016-09-11,36
2016-09-18,39
2016-09-25,34
2016-10-02,30
2016-10-09,27
2016-10-16,31
2016-10-23,27
2016-10-30,30
2016-11-06,30
2016-11-13,32
2016-11-20,32
2016-11-27,33
2016-12-04,33
2016-12-11,33
2016-12-18,35
2016-12-25,35
2017-01-01,37
2017-01-08,37
2017-01-15,38
2017-01-22,34
2017-01-29,39
2017-02-05,38
2017-02-12,40
2017-02-19,41
2017-02-26,41
2017-03-05,40
2017-03-12,39
2017-03-19,42
2017-03-26,42
2017-04-02,39
2017-04-09,43
2017-04-16,46
2017-04-23,48
2017-04-30,52
2017-05-07,55
2017-05-14,62
2017-05-21,74
2017-05-28,100
2017-06-04,72
2017-06-11,72
2017-06-18,68
2017-06-25,62
2017-07-02,61
2017-07-09,59
2017-07-16,57
2017-07-23,54
2017-07-30,51
2017-08-06,43
2017-08-13,40
2017-08-20,44
2017-08-27,43
2017-09-03,38
2017-09-10,41
2017-09-17,39
2017-09-24,32
2017-10-01,33
2017-10-08,38
2017-10-15,27
2017-10-22,36
2017-10-29,39
2017-11-05,39
2017-11-12,37
2017-11-19,36
2017-11-26,37
2017-12-03,37
2017-12-10,36
2017-12-17,37
2017-12-24,38
2017-12-31,39
2018-01-07,40
2018-01-14,40
2018-01-21,35
2018-01-28,44
2018-02-04,45
2018-02-11,44
2018-02-18,45
2018-02-25,43
2018-03-04,48
2018-03-11,47
2018-03-18,46
2018-03-25,48
2018-04-01,44
2018-04-08,50
2018-04-15,44
2018-04-22,47
2018-04-29,62
2018-05-06,59
2018-05-13,62
2018-05-20,78
2018-05-27,86
2018-06-03,85
2018-06-10,71
2018-06-17,62
2018-06-24,67
2018-07-01,63
2018-07-08,62
2018-07-15,58
2018-07-22,57
2018-07-29,56
2018-08-05,50
2018-08-12,49
2018-08-19,45
2018-08-26,48
2018-09-02,44
2018-09-09,46
2018-09-16,43
2018-09-23,45
2018-09-30,45
2018-10-07,46
2018-10-14,35
2018-10-21,44
2018-10-28,45
2018-11-04,32
2018-11-11,40
2018-11-18,40
2018-11-25,44
2018-12-02,43
2018-12-09,44
2018-12-16,44
2018-12-23,43
2018-12-30,43
2019-01-06,47
2019-01-13,43
2019-01-20,49
2019-01-27,48
2019-02-03,49
2019-02-10,50
2019-02-17,50
2019-02-24,50
2019-03-03,47
2019-03-10,51
2019-03-17,46
2019-03-24,49
2019-03-31,50
2019-04-07,50
2019-04-14,51
2019-04-21,51
2019-04-28,65
2019-05-05,80
2019-05-12,72
2019-05-19,74
2019-05-26,80
2019-06-02,81
2019-06-09,65
2019-06-16,63
2019-06-23,66
2019-06-30,63
2019-07-07,59
2019-07-14,61
2019-07-21,62
2019-07-28,55
2019-08-04,49
2019-08-11,43
2019-08-18,48
2019-08-25,51
2019-09-01,42
2019-09-08,45
2019-09-15,47
2019-09-22,47
2019-09-29,38
2019-10-06,37
2019-10-13,40
2019-10-20,37
2019-10-27,36
2019-11-03,40
2019-11-10,42
2019-11-17,44
2019-11-24,40
2019-12-01,43
2019-12-08,41
2019-12-15,41
2019-12-22,42
2019-12-29,45
2020-01-05,46
