,Swimming Pools & Spas
2023-01-01,0
2023-01-08,61
2023-01-15,57
2023-01-22,50
2023-01-29,48
2023-02-05,53
2023-02-12,53
2023-02-19,55
2023-02-26,69
2023-03-05,69
2023-03-12,60
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,49
2023-04-16,41
2023-04-23,85
2023-04-30,67
2023-05-07,41
2023-05-14,37
2023-05-21,0
2023-05-28,38
2023-06-04,58
2023-06-11,78
2023-06-18,44
2023-06-25,61
2023-07-02,45
2023-07-09,66
2023-07-16,0
2023-07-23,67
2023-07-30,0
2023-08-06,56
2023-08-13,55
2023-08-20,58
2023-08-27,0
2023-09-03,59
2023-09-10,43
2023-09-17,65
2023-09-24,55
2023-10-01,56
2023-10-08,69
2023-10-15,0
2023-10-22,0
2023-10-29,63
2023-11-05,49
2023-11-12,63
2023-11-19,51
2023-11-26,80
2023-12-03,0
2023-12-10,58
2023-12-17,70
2023-12-24,79
2023-12-31,57
2024-01-07,61
2024-01-14,0
2024-01-21,78
2024-01-28,76
2024-02-04,77
2024-02-11,93
2024-02-18,75
2024-02-25,54
2024-03-03,72
2024-03-10,46
2024-03-17,77
2024-03-24,100
2024-03-31,49
2024-04-07,44
2024-04-14,45
2024-04-21,52
2024-04-28,48
2024-05-05,48
2024-05-12,80
2024-05-19,76
2024-05-26,0
2024-06-02,67
2024-06-09,70
2024-06-16,44
2024-06-23,63
2024-06-30,59
2024-07-07,0
2024-07-14,0
2024-07-21,77
2024-07-28,44
2024-08-04,70
2024-08-11,0
2024-08-18,67
2024-08-25,53
2024-09-01,59
2024-09-08,65
2024-09-15,75
2024-09-22,68
2024-09-29,52
2024-10-06,53
2024-10-13,0
2024-10-20,44
2024-10-27,68
2024-11-03,77
2024-11-10,49
2024-11-17,73
2024-11-24,75
2024-12-01,90
2024-12-08,0
2024-12-15,91
2024-12-22,77
2024-12-29,68
2025-01-05,81
2025-01-12,94
2025-01-19,55
2025-01-26,51
2025-02-02,89
2025-02-09,48
2025-02-16,51
2025-02-23,65
2025-03-02,56
2025-03-09,63
2025-03-16,95
2025-03-23,63
2025-03-30,0
2025-04-06,78
2025-04-13,65
2025-04-20,91
2025-04-27,0
2025-05-04,88
2025-05-11,47
2025-05-18,48
2025-05-25,66
2025-06-01,0
2025-06-08,79
2025-06-15,64
2025-06-22,67
2025-06-29,0
2025-07-06,69
2025-07-13,0
2025-07-20,0
2025-07-27,87
2025-08-03,76
2025-08-10,77
2025-08-17,98
2025-08-24,83
2025-08-31,76
2025-09-07,97
2025-09-14,64
2025-09-21,69
2025-09-28,0
2025-10-05,60
2025-10-12,53
2025-10-19,44
2025-10-26,69
2025-11-02,100
2025-11-09,65
2025-11-16,61
2025-11-23,50
2025-11-30,0
2025-12-07,43
2025-12-14,68
2025-12-21,0
2025-12-28,73
2026-01-04,76
