,Student loan
2023-01-01,18
2023-01-08,11
2023-01-15,21
2023-01-22,18
2023-01-29,0
2023-02-05,16
2023-02-12,15
2023-02-19,18
2023-02-26,18
2023-03-05,16
2023-03-12,18
2023-03-19,20
2023-03-26,18
2023-04-02,17
2023-04-09,18
2023-04-16,18
2023-04-23,21
2023-04-30,13
2023-05-07,16
2023-05-14,12
2023-05-21,14
2023-05-28,14
2023-06-04,23
2023-06-11,19
2023-06-18,12
2023-06-25,19
2023-07-02,100
2023-07-09,50
2023-07-16,41
2023-07-23,32
2023-07-30,20
2023-08-06,36
2023-08-13,19
2023-08-20,17
2023-08-27,12
2023-09-03,35
2023-09-10,26
2023-09-17,23
2023-09-24,21
2023-10-01,13
2023-10-08,17
2023-10-15,47
2023-10-22,27
2023-10-29,16
2023-11-05,16
2023-11-12,14
2023-11-19,21
2023-11-26,15
2023-12-03,22
2023-12-10,19
2023-12-17,10
2023-12-24,0
2023-12-31,24
2024-01-07,13
2024-01-14,23
2024-01-21,26
2024-01-28,12
2024-02-04,12
2024-02-11,20
2024-02-18,16
2024-02-25,12
2024-03-03,20
2024-03-10,13
2024-03-17,11
2024-03-24,13
2024-03-31,11
2024-04-07,0
2024-04-14,15
2024-04-21,12
2024-04-28,13
2024-05-05,16
2024-05-12,11
2024-05-19,0
2024-05-26,39
2024-06-02,57
2024-06-09,36
2024-06-16,29
2024-06-23,27
2024-06-30,20
2024-07-07,26
2024-07-14,16
2024-07-21,21
2024-07-28,23
2024-08-04,27
2024-08-11,23
2024-08-18,20
2024-08-25,0
2024-09-01,48
2024-09-08,66
2024-09-15,25
2024-09-22,26
2024-09-29,23
2024-10-06,22
2024-10-13,24
2024-10-20,38
2024-10-27,31
2024-11-03,21
2024-11-10,17
2024-11-17,24
2024-11-24,19
2024-12-01,0
2024-12-08,16
2024-12-15,24
2024-12-22,16
2024-12-29,19
2025-01-05,41
2025-01-12,25
2025-01-19,62
2025-01-26,32
2025-02-02,45
2025-02-09,37
2025-02-16,36
2025-02-23,19
2025-03-02,23
2025-03-09,16
2025-03-16,24
2025-03-23,23
2025-03-30,12
2025-04-06,11
2025-04-13,13
2025-04-20,23
2025-04-27,38
2025-05-04,32
2025-05-11,21
2025-05-18,12
2025-05-25,21
2025-06-01,16
2025-06-08,14
2025-06-15,12
2025-06-22,31
2025-06-29,25
2025-07-06,24
2025-07-13,20
2025-07-20,14
2025-07-27,12
2025-08-03,14
2025-08-10,21
2025-08-17,0
2025-08-24,22
2025-08-31,16
2025-09-07,18
2025-09-14,23
2025-09-21,26
2025-09-28,17
2025-10-05,16
2025-10-12,28
2025-10-19,15
2025-10-26,43
2025-11-02,72
2025-11-09,48
2025-11-16,61
2025-11-23,56
2025-11-30,32
2025-12-07,25
2025-12-14,36
2025-12-21,17
2025-12-28,25
2026-01-04,23
2026-01-11,22
2026-01-18,22
2026-01-25,18
