,Building Materials & Supplies
2023-01-01,58
2023-01-08,58
2023-01-15,55
2023-01-22,68
2023-01-29,65
2023-02-05,58
2023-02-12,62
2023-02-19,67
2023-02-26,57
2023-03-05,66
2023-03-12,62
2023-03-19,72
2023-03-26,73
2023-04-02,53
2023-04-09,72
2023-04-16,57
2023-04-23,60
2023-04-30,70
2023-05-07,66
2023-05-14,66
2023-05-21,66
2023-05-28,63
2023-06-04,61
2023-06-11,59
2023-06-18,64
2023-06-25,48
2023-07-02,58
2023-07-09,59
2023-07-16,63
2023-07-23,54
2023-07-30,61
2023-08-06,70
2023-08-13,61
2023-08-20,66
2023-08-27,72
2023-09-03,57
2023-09-10,62
2023-09-17,61
2023-09-24,63
2023-10-01,61
2023-10-08,73
2023-10-15,69
2023-10-22,72
2023-10-29,65
2023-11-05,69
2023-11-12,74
2023-11-19,73
2023-11-26,77
2023-12-03,72
2023-12-10,80
2023-12-17,79
2023-12-24,75
2023-12-31,65
2024-01-07,71
2024-01-14,69
2024-01-21,80
2024-01-28,82
2024-02-04,72
2024-02-11,80
2024-02-18,73
2024-02-25,93
2024-03-03,93
2024-03-10,67
2024-03-17,78
2024-03-24,90
2024-03-31,79
2024-04-07,72
2024-04-14,79
2024-04-21,74
2024-04-28,76
2024-05-05,66
2024-05-12,60
2024-05-19,78
2024-05-26,89
2024-06-02,80
2024-06-09,77
2024-06-16,55
2024-06-23,66
2024-06-30,69
2024-07-07,72
2024-07-14,78
2024-07-21,89
2024-07-28,86
2024-08-04,77
2024-08-11,85
2024-08-18,85
2024-08-25,86
2024-09-01,82
2024-09-08,78
2024-09-15,78
2024-09-22,81
2024-09-29,70
2024-10-06,85
2024-10-13,98
2024-10-20,78
2024-10-27,81
2024-11-03,77
2024-11-10,80
2024-11-17,74
2024-11-24,78
2024-12-01,89
2024-12-08,91
2024-12-15,80
2024-12-22,82
2024-12-29,80
2025-01-05,86
2025-01-12,82
2025-01-19,87
2025-01-26,87
2025-02-02,89
2025-02-09,82
2025-02-16,100
2025-02-23,86
2025-03-02,76
2025-03-09,76
2025-03-16,79
2025-03-23,78
2025-03-30,71
2025-04-06,90
2025-04-13,95
2025-04-20,88
2025-04-27,78
2025-05-04,80
2025-05-11,80
2025-05-18,80
2025-05-25,84
2025-06-01,74
2025-06-08,78
2025-06-15,89
2025-06-22,82
2025-06-29,85
2025-07-06,88
2025-07-13,85
2025-07-20,90
2025-07-27,86
2025-08-03,81
2025-08-10,87
2025-08-17,86
2025-08-24,76
2025-08-31,87
2025-09-07,72
2025-09-14,79
2025-09-21,67
2025-09-28,76
2025-10-05,85
2025-10-12,80
2025-10-19,89
2025-10-26,83
2025-11-02,76
2025-11-09,76
2025-11-16,85
2025-11-23,80
2025-11-30,90
2025-12-07,89
2025-12-14,91
2025-12-21,85
2025-12-28,88
2026-01-04,87
