,Insurance
2023-01-01,67
2023-01-08,78
2023-01-15,78
2023-01-22,83
2023-01-29,80
2023-02-05,77
2023-02-12,79
2023-02-19,82
2023-02-26,90
2023-03-05,77
2023-03-12,79
2023-03-19,75
2023-03-26,82
2023-04-02,64
2023-04-09,53
2023-04-16,66
2023-04-23,81
2023-04-30,74
2023-05-07,80
2023-05-14,83
2023-05-21,79
2023-05-28,83
2023-06-04,75
2023-06-11,77
2023-06-18,85
2023-06-25,88
2023-07-02,81
2023-07-09,91
2023-07-16,81
2023-07-23,84
2023-07-30,85
2023-08-06,90
2023-08-13,91
2023-08-20,86
2023-08-27,84
2023-09-03,82
2023-09-10,79
2023-09-17,79
2023-09-24,80
2023-10-01,80
2023-10-08,80
2023-10-15,77
2023-10-22,70
2023-10-29,80
2023-11-05,72
2023-11-12,69
2023-11-19,73
2023-11-26,83
2023-12-03,72
2023-12-10,79
2023-12-17,76
2023-12-24,72
2023-12-31,73
2024-01-07,80
2024-01-14,76
2024-01-21,76
2024-01-28,89
2024-02-04,80
2024-02-11,83
2024-02-18,79
2024-02-25,100
2024-03-03,79
2024-03-10,85
2024-03-17,81
2024-03-24,82
2024-03-31,76
2024-04-07,59
2024-04-14,62
2024-04-21,69
2024-04-28,78
2024-05-05,77
2024-05-12,76
2024-05-19,63
2024-05-26,80
2024-06-02,74
2024-06-09,76
2024-06-16,71
2024-06-23,78
2024-06-30,77
2024-07-07,78
2024-07-14,78
2024-07-21,82
2024-07-28,87
2024-08-04,76
2024-08-11,76
2024-08-18,79
2024-08-25,82
2024-09-01,71
2024-09-08,74
2024-09-15,64
2024-09-22,73
2024-09-29,81
2024-10-06,75
2024-10-13,71
2024-10-20,79
2024-10-27,79
2024-11-03,71
2024-11-10,64
2024-11-17,77
2024-11-24,74
2024-12-01,79
2024-12-08,75
2024-12-15,87
2024-12-22,81
2024-12-29,81
2025-01-05,80
2025-01-12,86
2025-01-19,97
2025-01-26,83
2025-02-02,77
2025-02-09,76
2025-02-16,80
2025-02-23,85
2025-03-02,73
2025-03-09,73
2025-03-16,79
2025-03-23,78
2025-03-30,68
2025-04-06,71
2025-04-13,60
2025-04-20,76
2025-04-27,80
2025-05-04,76
2025-05-11,65
2025-05-18,80
2025-05-25,77
2025-06-01,83
2025-06-08,74
2025-06-15,82
2025-06-22,88
2025-06-29,82
2025-07-06,73
2025-07-13,76
2025-07-20,80
2025-07-27,83
2025-08-03,73
2025-08-10,76
2025-08-17,78
2025-08-24,84
2025-08-31,71
2025-09-07,68
2025-09-14,75
2025-09-21,72
2025-09-28,70
2025-10-05,66
2025-10-12,76
2025-10-19,69
2025-10-26,75
2025-11-02,70
2025-11-09,78
2025-11-16,74
2025-11-23,74
2025-11-30,76
2025-12-07,86
2025-12-14,79
2025-12-21,85
2025-12-28,92
