,Insurance
2023-01-01,63
2023-01-08,53
2023-01-15,74
2023-01-22,55
2023-01-29,62
2023-02-05,53
2023-02-12,44
2023-02-19,48
2023-02-26,75
2023-03-05,44
2023-03-12,60
2023-03-19,47
2023-03-26,67
2023-04-02,45
2023-04-09,50
2023-04-16,46
2023-04-23,57
2023-04-30,43
2023-05-07,45
2023-05-14,51
2023-05-21,52
2023-05-28,64
2023-06-04,45
2023-06-11,52
2023-06-18,50
2023-06-25,25
2023-07-02,50
2023-07-09,66
2023-07-16,53
2023-07-23,57
2023-07-30,56
2023-08-06,73
2023-08-13,49
2023-08-20,43
2023-08-27,57
2023-09-03,82
2023-09-10,51
2023-09-17,55
2023-09-24,43
2023-10-01,50
2023-10-08,58
2023-10-15,49
2023-10-22,35
2023-10-29,53
2023-11-05,61
2023-11-12,54
2023-11-19,48
2023-11-26,44
2023-12-03,69
2023-12-10,65
2023-12-17,67
2023-12-24,54
2023-12-31,60
2024-01-07,75
2024-01-14,60
2024-01-21,66
2024-01-28,79
2024-02-04,79
2024-02-11,89
2024-02-18,70
2024-02-25,74
2024-03-03,66
2024-03-10,87
2024-03-17,63
2024-03-24,77
2024-03-31,73
2024-04-07,46
2024-04-14,72
2024-04-21,71
2024-04-28,70
2024-05-05,67
2024-05-12,49
2024-05-19,62
2024-05-26,72
2024-06-02,71
2024-06-09,65
2024-06-16,36
2024-06-23,63
2024-06-30,73
2024-07-07,82
2024-07-14,61
2024-07-21,69
2024-07-28,66
2024-08-04,69
2024-08-11,75
2024-08-18,76
2024-08-25,68
2024-09-01,67
2024-09-08,68
2024-09-15,54
2024-09-22,64
2024-09-29,63
2024-10-06,59
2024-10-13,63
2024-10-20,69
2024-10-27,74
2024-11-03,67
2024-11-10,64
2024-11-17,60
2024-11-24,79
2024-12-01,81
2024-12-08,73
2024-12-15,69
2024-12-22,69
2024-12-29,69
2025-01-05,94
2025-01-12,100
2025-01-19,80
2025-01-26,57
2025-02-02,67
2025-02-09,63
2025-02-16,57
2025-02-23,61
2025-03-02,59
2025-03-09,59
2025-03-16,64
2025-03-23,67
2025-03-30,36
2025-04-06,68
2025-04-13,66
2025-04-20,56
2025-04-27,70
2025-05-04,51
2025-05-11,53
2025-05-18,82
2025-05-25,56
2025-06-01,57
2025-06-08,58
2025-06-15,92
2025-06-22,64
2025-06-29,71
2025-07-06,68
2025-07-13,64
2025-07-20,46
2025-07-27,48
2025-08-03,51
2025-08-10,60
2025-08-17,77
2025-08-24,55
2025-08-31,58
2025-09-07,62
2025-09-14,43
2025-09-21,61
2025-09-28,66
2025-10-05,74
2025-10-12,85
2025-10-19,57
2025-10-26,56
2025-11-02,63
2025-11-09,56
2025-11-16,71
2025-11-23,84
2025-11-30,76
2025-12-07,88
2025-12-14,82
2025-12-21,91
2025-12-28,56
2026-01-04,89
