,Tobacco Products
2023-01-01,36
2023-01-08,33
2023-01-15,38
2023-01-22,41
2023-01-29,41
2023-02-05,35
2023-02-12,30
2023-02-19,30
2023-02-26,39
2023-03-05,34
2023-03-12,41
2023-03-19,33
2023-03-26,33
2023-04-02,27
2023-04-09,26
2023-04-16,33
2023-04-23,29
2023-04-30,27
2023-05-07,26
2023-05-14,35
2023-05-21,27
2023-05-28,34
2023-06-04,36
2023-06-11,26
2023-06-18,39
2023-06-25,29
2023-07-02,37
2023-07-09,27
2023-07-16,23
2023-07-23,33
2023-07-30,29
2023-08-06,35
2023-08-13,36
2023-08-20,49
2023-08-27,37
2023-09-03,39
2023-09-10,32
2023-09-17,25
2023-09-24,42
2023-10-01,30
2023-10-08,18
2023-10-15,35
2023-10-22,34
2023-10-29,35
2023-11-05,54
2023-11-12,19
2023-11-19,41
2023-11-26,51
2023-12-03,33
2023-12-10,35
2023-12-17,35
2023-12-24,31
2023-12-31,34
2024-01-07,50
2024-01-14,32
2024-01-21,36
2024-01-28,22
2024-02-04,42
2024-02-11,48
2024-02-18,47
2024-02-25,37
2024-03-03,39
2024-03-10,36
2024-03-17,27
2024-03-24,42
2024-03-31,38
2024-04-07,31
2024-04-14,39
2024-04-21,28
2024-04-28,36
2024-05-05,51
2024-05-12,42
2024-05-19,36
2024-05-26,44
2024-06-02,36
2024-06-09,30
2024-06-16,46
2024-06-23,39
2024-06-30,42
2024-07-07,39
2024-07-14,35
2024-07-21,39
2024-07-28,42
2024-08-04,41
2024-08-11,39
2024-08-18,36
2024-08-25,32
2024-09-01,40
2024-09-08,46
2024-09-15,37
2024-09-22,32
2024-09-29,39
2024-10-06,39
2024-10-13,64
2024-10-20,66
2024-10-27,63
2024-11-03,100
2024-11-10,70
2024-11-17,58
2024-11-24,52
2024-12-01,50
2024-12-08,73
2024-12-15,69
2024-12-22,56
2024-12-29,88
2025-01-05,66
2025-01-12,61
2025-01-19,64
2025-01-26,66
2025-02-02,45
2025-02-09,53
2025-02-16,53
2025-02-23,52
2025-03-02,34
2025-03-09,74
2025-03-16,30
2025-03-23,54
2025-03-30,46
2025-04-06,47
2025-04-13,65
2025-04-20,41
2025-04-27,69
2025-05-04,47
2025-05-11,49
2025-05-18,36
2025-05-25,59
2025-06-01,44
2025-06-08,42
2025-06-15,64
2025-06-22,46
2025-06-29,56
2025-07-06,46
2025-07-13,50
2025-07-20,46
2025-07-27,68
2025-08-03,56
2025-08-10,46
2025-08-17,43
2025-08-24,39
2025-08-31,54
2025-09-07,56
2025-09-14,39
2025-09-21,41
2025-09-28,52
2025-10-05,58
2025-10-12,48
2025-10-19,48
2025-10-26,42
2025-11-02,67
2025-11-09,44
2025-11-16,54
2025-11-23,50
2025-11-30,42
2025-12-07,54
2025-12-14,54
2025-12-21,43
2025-12-28,52
2026-01-04,55
