,Home Financing
2023-01-01,64
2023-01-08,69
2023-01-15,63
2023-01-22,66
2023-01-29,67
2023-02-05,58
2023-02-12,60
2023-02-19,70
2023-02-26,62
2023-03-05,65
2023-03-12,59
2023-03-19,65
2023-03-26,55
2023-04-02,70
2023-04-09,44
2023-04-16,60
2023-04-23,57
2023-04-30,57
2023-05-07,69
2023-05-14,65
2023-05-21,75
2023-05-28,75
2023-06-04,83
2023-06-11,82
2023-06-18,73
2023-06-25,72
2023-07-02,89
2023-07-09,100
2023-07-16,85
2023-07-23,91
2023-07-30,86
2023-08-06,85
2023-08-13,82
2023-08-20,69
2023-08-27,87
2023-09-03,68
2023-09-10,71
2023-09-17,77
2023-09-24,79
2023-10-01,75
2023-10-08,80
2023-10-15,68
2023-10-22,73
2023-10-29,69
2023-11-05,71
2023-11-12,72
2023-11-19,72
2023-11-26,72
2023-12-03,79
2023-12-10,73
2023-12-17,64
2023-12-24,60
2023-12-31,75
2024-01-07,79
2024-01-14,77
2024-01-21,77
2024-01-28,81
2024-02-04,75
2024-02-11,89
2024-02-18,72
2024-02-25,73
2024-03-03,81
2024-03-10,78
2024-03-17,83
2024-03-24,81
2024-03-31,69
2024-04-07,57
2024-04-14,55
2024-04-21,62
2024-04-28,73
2024-05-05,77
2024-05-12,85
2024-05-19,64
2024-05-26,83
2024-06-02,76
2024-06-09,75
2024-06-16,72
2024-06-23,83
2024-06-30,70
2024-07-07,63
2024-07-14,85
2024-07-21,74
2024-07-28,74
2024-08-04,70
2024-08-11,72
2024-08-18,63
2024-08-25,74
2024-09-01,76
2024-09-08,66
2024-09-15,50
2024-09-22,61
2024-09-29,67
2024-10-06,70
2024-10-13,67
2024-10-20,66
2024-10-27,67
2024-11-03,70
2024-11-10,56
2024-11-17,67
2024-11-24,73
2024-12-01,76
2024-12-08,65
2024-12-15,64
2024-12-22,60
2024-12-29,68
2025-01-05,69
2025-01-12,91
2025-01-19,74
2025-01-26,76
2025-02-02,73
2025-02-09,79
2025-02-16,81
2025-02-23,87
2025-03-02,85
2025-03-09,77
2025-03-16,77
2025-03-23,78
2025-03-30,71
2025-04-06,55
2025-04-13,58
2025-04-20,71
2025-04-27,74
2025-05-04,66
2025-05-11,68
2025-05-18,82
2025-05-25,80
2025-06-01,80
2025-06-08,74
2025-06-15,77
2025-06-22,80
2025-06-29,82
2025-07-06,79
2025-07-13,92
2025-07-20,86
2025-07-27,82
2025-08-03,76
2025-08-10,75
2025-08-17,75
2025-08-24,74
2025-08-31,69
2025-09-07,74
2025-09-14,64
2025-09-21,77
2025-09-28,73
2025-10-05,87
2025-10-12,79
2025-10-19,66
2025-10-26,67
2025-11-02,75
2025-11-09,78
2025-11-16,75
2025-11-23,51
2025-11-30,63
2025-12-07,76
2025-12-14,64
2025-12-21,67
2025-12-28,72
