,Programming
2014-12-28,89
2015-01-04,74
2015-01-11,76
2015-01-18,84
2015-01-25,83
2015-02-01,93
2015-02-08,76
2015-02-15,80
2015-02-22,71
2015-03-01,66
2015-03-08,76
2015-03-15,68
2015-03-22,73
2015-03-29,75
2015-04-05,73
2015-04-12,77
2015-04-19,92
2015-04-26,73
2015-05-03,74
2015-05-10,79
2015-05-17,85
2015-05-24,65
2015-05-31,69
2015-06-07,63
2015-06-14,61
2015-06-21,64
2015-06-28,77
2015-07-05,68
2015-07-12,72
2015-07-19,80
2015-07-26,76
2015-08-02,88
2015-08-09,86
2015-08-16,85
2015-08-23,78
2015-08-30,59
2015-09-06,74
2015-09-13,63
2015-09-20,69
2015-09-27,75
2015-10-04,86
2015-10-11,83
2015-10-18,90
2015-10-25,80
2015-11-01,72
2015-11-08,82
2015-11-15,94
2015-11-22,68
2015-11-29,69
2015-12-06,78
2015-12-13,75
2015-12-20,77
2015-12-27,75
2016-01-03,71
2016-01-10,67
2016-01-17,69
2016-01-24,79
2016-01-31,53
2016-02-07,79
2016-02-14,75
2016-02-21,74
2016-02-28,88
2016-03-06,72
2016-03-13,59
2016-03-20,100
2016-03-27,79
2016-04-03,75
2016-04-10,81
2016-04-17,69
2016-04-24,70
2016-05-01,72
2016-05-08,81
2016-05-15,70
2016-05-22,96
2016-05-29,65
2016-06-05,58
2016-06-12,78
2016-06-19,65
2016-06-26,90
2016-07-03,61
2016-07-10,79
2016-07-17,64
2016-07-24,70
2016-07-31,78
2016-08-07,62
2016-08-14,79
2016-08-21,74
2016-08-28,44
2016-09-04,89
2016-09-11,57
2016-09-18,37
2016-09-25,32
2016-10-02,30
2016-10-09,39
2016-10-16,43
2016-10-23,31
2016-10-30,33
2016-11-06,34
2016-11-13,31
2016-11-20,31
2016-11-27,26
2016-12-04,35
2016-12-11,24
2016-12-18,27
2016-12-25,30
2017-01-01,25
2017-01-08,33
2017-01-15,40
2017-01-22,28
2017-01-29,28
2017-02-05,75
2017-02-12,77
2017-02-19,90
2017-02-26,51
2017-03-05,83
2017-03-12,73
2017-03-19,95
2017-03-26,65
2017-04-02,84
2017-04-09,79
2017-04-16,77
2017-04-23,91
2017-04-30,71
2017-05-07,82
2017-05-14,82
2017-05-21,57
2017-05-28,73
2017-06-04,59
2017-06-11,67
2017-06-18,45
2017-06-25,47
2017-07-02,62
2017-07-09,75
2017-07-16,73
2017-07-23,48
2017-07-30,58
2017-08-06,67
2017-08-13,72
2017-08-20,63
2017-08-27,55
2017-09-03,51
2017-09-10,57
2017-09-17,66
2017-09-24,73
2017-10-01,57
2017-10-08,78
2017-10-15,63
2017-10-22,75
2017-10-29,73
2017-11-05,79
2017-11-12,75
2017-11-19,80
2017-11-26,46
2017-12-03,65
2017-12-10,64
2017-12-17,54
2017-12-24,71
2017-12-31,67
2018-01-07,57
2018-01-14,63
2018-01-21,63
2018-01-28,68
2018-02-04,80
2018-02-11,79
2018-02-18,64
2018-02-25,62
2018-03-04,74
2018-03-11,70
2018-03-18,58
2018-03-25,71
2018-04-01,59
2018-04-08,78
2018-04-15,78
2018-04-22,67
2018-04-29,63
2018-05-06,53
2018-05-13,46
2018-05-20,58
2018-05-27,51
2018-06-03,57
2018-06-10,47
2018-06-17,51
2018-06-24,59
2018-07-01,63
2018-07-08,54
2018-07-15,80
2018-07-22,62
2018-07-29,43
2018-08-05,65
2018-08-12,61
2018-08-19,57
2018-08-26,67
2018-09-02,73
2018-09-09,49
2018-09-16,58
2018-09-23,57
2018-09-30,75
2018-10-07,76
2018-10-14,76
2018-10-21,78
2018-10-28,68
2018-11-04,67
2018-11-11,57
2018-11-18,50
2018-11-25,61
2018-12-02,60
2018-12-09,49
2018-12-16,74
2018-12-23,81
2018-12-30,74
2019-01-06,69
2019-01-13,69
2019-01-20,77
2019-01-27,89
2019-02-03,80
2019-02-10,74
2019-02-17,84
2019-02-24,76
2019-03-03,82
2019-03-10,62
2019-03-17,96
2019-03-24,88
2019-03-31,76
2019-04-07,80
2019-04-14,82
2019-04-21,69
2019-04-28,82
2019-05-05,59
2019-05-12,73
2019-05-19,52
2019-05-26,66
2019-06-02,58
2019-06-09,72
2019-06-16,73
2019-06-23,61
2019-06-30,77
2019-07-07,64
2019-07-14,90
2019-07-21,74
2019-07-28,76
2019-08-04,67
2019-08-11,68
2019-08-18,73
2019-08-25,80
2019-09-01,77
2019-09-08,79
2019-09-15,67
2019-09-22,70
2019-09-29,71
2019-10-06,76
2019-10-13,77
2019-10-20,82
2019-10-27,65
2019-11-03,65
2019-11-10,76
2019-11-17,65
2019-11-24,61
2019-12-01,70
2019-12-08,77
2019-12-15,86
2019-12-22,95
2019-12-29,94
2020-01-05,82
