,Doctors' Offices
2023-01-01,70
2023-01-08,72
2023-01-15,62
2023-01-22,70
2023-01-29,70
2023-02-05,68
2023-02-12,74
2023-02-19,78
2023-02-26,76
2023-03-05,67
2023-03-12,78
2023-03-19,68
2023-03-26,76
2023-04-02,64
2023-04-09,57
2023-04-16,70
2023-04-23,74
2023-04-30,58
2023-05-07,76
2023-05-14,66
2023-05-21,71
2023-05-28,69
2023-06-04,78
2023-06-11,82
2023-06-18,68
2023-06-25,80
2023-07-02,73
2023-07-09,83
2023-07-16,83
2023-07-23,76
2023-07-30,74
2023-08-06,74
2023-08-13,73
2023-08-20,76
2023-08-27,70
2023-09-03,72
2023-09-10,77
2023-09-17,81
2023-09-24,72
2023-10-01,66
2023-10-08,67
2023-10-15,70
2023-10-22,68
2023-10-29,71
2023-11-05,70
2023-11-12,72
2023-11-19,68
2023-11-26,69
2023-12-03,64
2023-12-10,74
2023-12-17,74
2023-12-24,68
2023-12-31,70
2024-01-07,77
2024-01-14,73
2024-01-21,69
2024-01-28,76
2024-02-04,86
2024-02-11,75
2024-02-18,75
2024-02-25,78
2024-03-03,71
2024-03-10,73
2024-03-17,78
2024-03-24,87
2024-03-31,74
2024-04-07,57
2024-04-14,79
2024-04-21,77
2024-04-28,86
2024-05-05,79
2024-05-12,89
2024-05-19,68
2024-05-26,81
2024-06-02,75
2024-06-09,81
2024-06-16,81
2024-06-23,80
2024-06-30,82
2024-07-07,88
2024-07-14,87
2024-07-21,84
2024-07-28,90
2024-08-04,94
2024-08-11,100
2024-08-18,96
2024-08-25,79
2024-09-01,81
2024-09-08,83
2024-09-15,71
2024-09-22,80
2024-09-29,79
2024-10-06,77
2024-10-13,76
2024-10-20,85
2024-10-27,99
2024-11-03,90
2024-11-10,82
2024-11-17,88
2024-11-24,82
2024-12-01,79
2024-12-08,84
2024-12-15,90
2024-12-22,87
2024-12-29,86
2025-01-05,90
2025-01-12,84
2025-01-19,92
2025-01-26,98
2025-02-02,83
2025-02-09,81
2025-02-16,88
2025-02-23,79
2025-03-02,84
2025-03-09,88
2025-03-16,92
2025-03-23,83
2025-03-30,76
2025-04-06,78
2025-04-13,76
2025-04-20,95
2025-04-27,98
2025-05-04,87
2025-05-11,80
2025-05-18,87
2025-05-25,87
2025-06-01,90
2025-06-08,83
2025-06-15,93
2025-06-22,93
2025-06-29,88
2025-07-06,90
2025-07-13,95
2025-07-20,99
2025-07-27,99
2025-08-03,90
2025-08-10,93
2025-08-17,97
2025-08-24,99
2025-08-31,86
2025-09-07,86
2025-09-14,85
2025-09-21,86
2025-09-28,79
2025-10-05,83
2025-10-12,95
2025-10-19,88
2025-10-26,88
2025-11-02,86
2025-11-09,83
2025-11-16,82
2025-11-23,74
2025-11-30,74
