,Real Estate Agencies
2014-12-28,25
2015-01-04,25
2015-01-11,25
2015-01-18,27
2015-01-25,27
2015-02-01,29
2015-02-08,35
2015-02-15,34
2015-02-22,35
2015-03-01,28
2015-03-08,35
2015-03-15,28
2015-03-22,31
2015-03-29,35
2015-04-05,41
2015-04-12,31
2015-04-19,31
2015-04-26,29
2015-05-03,31
2015-05-10,34
2015-05-17,32
2015-05-24,33
2015-05-31,31
2015-06-07,30
2015-06-14,31
2015-06-21,35
2015-06-28,44
2015-07-05,39
2015-07-12,39
2015-07-19,42
2015-07-26,44
2015-08-02,43
2015-08-09,39
2015-08-16,40
2015-08-23,40
2015-08-30,45
2015-09-06,48
2015-09-13,39
2015-09-20,39
2015-09-27,53
2015-10-04,39
2015-10-11,37
2015-10-18,47
2015-10-25,39
2015-11-01,34
2015-11-08,29
2015-11-15,33
2015-11-22,31
2015-11-29,31
2015-12-06,31
2015-12-13,38
2015-12-20,34
2015-12-27,33
2016-01-03,31
2016-01-10,30
2016-01-17,34
2016-01-24,33
2016-01-31,33
2016-02-07,34
2016-02-14,34
2016-02-21,31
2016-02-28,31
2016-03-06,32
2016-03-13,30
2016-03-20,29
2016-03-27,32
2016-04-03,31
2016-04-10,31
2016-04-17,31
2016-04-24,33
2016-05-01,38
2016-05-08,37
2016-05-15,34
2016-05-22,35
2016-05-29,35
2016-06-05,34
2016-06-12,35
2016-06-19,39
2016-06-26,39
2016-07-03,38
2016-07-10,37
2016-07-17,39
2016-07-24,37
2016-07-31,36
2016-08-07,34
2016-08-14,35
2016-08-21,39
2016-08-28,34
2016-09-04,38
2016-09-11,38
2016-09-18,38
2016-09-25,35
2016-10-02,35
2016-10-09,36
2016-10-16,36
2016-10-23,34
2016-10-30,35
2016-11-06,37
2016-11-13,34
2016-11-20,36
2016-11-27,33
2016-12-04,34
2016-12-11,34
2016-12-18,37
2016-12-25,35
2017-01-01,36
2017-01-08,35
2017-01-15,34
2017-01-22,34
2017-01-29,35
2017-02-05,36
2017-02-12,34
2017-02-19,33
2017-02-26,33
2017-03-05,33
2017-03-12,32
2017-03-19,35
2017-03-26,35
2017-04-02,35
2017-04-09,34
2017-04-16,33
2017-04-23,32
2017-04-30,34
2017-05-07,33
2017-05-14,35
2017-05-21,39
2017-05-28,37
2017-06-04,38
2017-06-11,38
2017-06-18,43
2017-06-25,42
2017-07-02,40
2017-07-09,38
2017-07-16,39
2017-07-23,39
2017-07-30,37
2017-08-06,37
2017-08-13,36
2017-08-20,35
2017-08-27,35
2017-09-03,34
2017-09-10,33
2017-09-17,36
2017-09-24,38
2017-10-01,35
2017-10-08,36
2017-10-15,34
2017-10-22,36
2017-10-29,37
2017-11-05,40
2017-11-12,35
2017-11-19,37
2017-11-26,36
2017-12-03,34
2017-12-10,36
2017-12-17,38
2017-12-24,38
2017-12-31,39
2018-01-07,38
2018-01-14,34
2018-01-21,36
2018-01-28,36
2018-02-04,37
2018-02-11,42
2018-02-18,42
2018-02-25,39
2018-03-04,42
2018-03-11,42
2018-03-18,43
2018-03-25,45
2018-04-01,44
2018-04-08,46
2018-04-15,42
2018-04-22,50
2018-04-29,54
2018-05-06,51
2018-05-13,52
2018-05-20,59
2018-05-27,56
2018-06-03,62
2018-06-10,63
2018-06-17,61
2018-06-24,64
2018-07-01,59
2018-07-08,57
2018-07-15,62
2018-07-22,65
2018-07-29,72
2018-08-05,73
2018-08-12,78
2018-08-19,76
2018-08-26,90
2018-09-02,97
2018-09-09,92
2018-09-16,95
2018-09-23,97
2018-09-30,92
2018-10-07,98
2018-10-14,100
2018-10-21,94
2018-10-28,100
2018-11-04,87
2018-11-11,95
2018-11-18,100
2018-11-25,92
2018-12-02,92
2018-12-09,90
2018-12-16,86
2018-12-23,93
2018-12-30,93
2019-01-06,83
2019-01-13,79
2019-01-20,78
2019-01-27,78
2019-02-03,73
2019-02-10,78
2019-02-17,79
2019-02-24,76
2019-03-03,73
2019-03-10,82
2019-03-17,84
2019-03-24,84
2019-03-31,76
2019-04-07,82
2019-04-14,74
2019-04-21,68
2019-04-28,78
2019-05-05,75
2019-05-12,80
2019-05-19,75
2019-05-26,77
2019-06-02,74
2019-06-09,72
2019-06-16,71
2019-06-23,68
2019-06-30,61
2019-07-07,57
2019-07-14,62
2019-07-21,65
2019-07-28,62
2019-08-04,56
2019-08-11,60
2019-08-18,63
2019-08-25,62
2019-09-01,52
2019-09-08,65
2019-09-15,64
2019-09-22,61
2019-09-29,55
2019-10-06,51
2019-10-13,50
2019-10-20,49
2019-10-27,47
2019-11-03,51
2019-11-10,52
2019-11-17,49
2019-11-24,51
2019-12-01,53
2019-12-08,47
2019-12-15,48
2019-12-22,54
2019-12-29,51
2020-01-05,54
