,Real Estate Agencies
2023-01-01,60
2023-01-08,58
2023-01-15,59
2023-01-22,60
2023-01-29,62
2023-02-05,61
2023-02-12,59
2023-02-19,68
2023-02-26,62
2023-03-05,58
2023-03-12,64
2023-03-19,62
2023-03-26,67
2023-04-02,60
2023-04-09,61
2023-04-16,62
2023-04-23,68
2023-04-30,68
2023-05-07,63
2023-05-14,58
2023-05-21,60
2023-05-28,62
2023-06-04,62
2023-06-11,65
2023-06-18,63
2023-06-25,67
2023-07-02,69
2023-07-09,78
2023-07-16,73
2023-07-23,73
2023-07-30,62
2023-08-06,63
2023-08-13,59
2023-08-20,60
2023-08-27,58
2023-09-03,57
2023-09-10,56
2023-09-17,53
2023-09-24,55
2023-10-01,54
2023-10-08,55
2023-10-15,60
2023-10-22,53
2023-10-29,63
2023-11-05,58
2023-11-12,59
2023-11-19,69
2023-11-26,65
2023-12-03,61
2023-12-10,65
2023-12-17,62
2023-12-24,61
2023-12-31,59
2024-01-07,60
2024-01-14,60
2024-01-21,54
2024-01-28,61
2024-02-04,60
2024-02-11,63
2024-02-18,66
2024-02-25,64
2024-03-03,62
2024-03-10,65
2024-03-17,67
2024-03-24,61
2024-03-31,63
2024-04-07,60
2024-04-14,69
2024-04-21,64
2024-04-28,63
2024-05-05,71
2024-05-12,98
2024-05-19,77
2024-05-26,71
2024-06-02,62
2024-06-09,69
2024-06-16,67
2024-06-23,66
2024-06-30,66
2024-07-07,57
2024-07-14,69
2024-07-21,71
2024-07-28,73
2024-08-04,72
2024-08-11,69
2024-08-18,62
2024-08-25,61
2024-09-01,63
2024-09-08,66
2024-09-15,61
2024-09-22,60
2024-09-29,61
2024-10-06,62
2024-10-13,55
2024-10-20,58
2024-10-27,49
2024-11-03,54
2024-11-10,62
2024-11-17,52
2024-11-24,59
2024-12-01,58
2024-12-08,60
2024-12-15,61
2024-12-22,61
2024-12-29,59
2025-01-05,57
2025-01-12,65
2025-01-19,72
2025-01-26,70
2025-02-02,57
2025-02-09,56
2025-02-16,60
2025-02-23,56
2025-03-02,57
2025-03-09,55
2025-03-16,59
2025-03-23,66
2025-03-30,57
2025-04-06,58
2025-04-13,55
2025-04-20,56
2025-04-27,53
2025-05-04,52
2025-05-11,52
2025-05-18,60
2025-05-25,59
2025-06-01,60
2025-06-08,58
2025-06-15,64
2025-06-22,62
2025-06-29,61
2025-07-06,62
2025-07-13,61
2025-07-20,60
2025-07-27,65
2025-08-03,60
2025-08-10,57
2025-08-17,62
2025-08-24,53
2025-08-31,58
2025-09-07,56
2025-09-14,53
2025-09-21,53
2025-09-28,58
2025-10-05,92
2025-10-12,61
2025-10-19,45
2025-10-26,54
2025-11-02,100
2025-11-09,77
2025-11-16,72
2025-11-23,61
2025-11-30,56
2025-12-07,53
2025-12-14,84
2025-12-21,68
2025-12-28,56
2026-01-04,63
