,Finance
2023-01-01,52
2023-01-08,54
2023-01-15,53
2023-01-22,60
2023-01-29,56
2023-02-05,56
2023-02-12,56
2023-02-19,56
2023-02-26,76
2023-03-05,100
2023-03-12,87
2023-03-19,92
2023-03-26,94
2023-04-02,70
2023-04-09,56
2023-04-16,59
2023-04-23,61
2023-04-30,53
2023-05-07,64
2023-05-14,70
2023-05-21,71
2023-05-28,79
2023-06-04,71
2023-06-11,92
2023-06-18,80
2023-06-25,69
2023-07-02,74
2023-07-09,76
2023-07-16,80
2023-07-23,83
2023-07-30,77
2023-08-06,77
2023-08-13,76
2023-08-20,69
2023-08-27,65
2023-09-03,63
2023-09-10,62
2023-09-17,61
2023-09-24,56
2023-10-01,64
2023-10-08,62
2023-10-15,57
2023-10-22,59
2023-10-29,60
2023-11-05,57
2023-11-12,62
2023-11-19,60
2023-11-26,62
2023-12-03,64
2023-12-10,65
2023-12-17,68
2023-12-24,65
2023-12-31,69
2024-01-07,63
2024-01-14,59
2024-01-21,61
2024-01-28,65
2024-02-04,66
2024-02-11,61
2024-02-18,57
2024-02-25,64
2024-03-03,61
2024-03-10,64
2024-03-17,62
2024-03-24,67
2024-03-31,66
2024-04-07,56
2024-04-14,54
2024-04-21,57
2024-04-28,57
2024-05-05,60
2024-05-12,59
2024-05-19,52
2024-05-26,60
2024-06-02,57
2024-06-09,60
2024-06-16,52
2024-06-23,61
2024-06-30,58
2024-07-07,55
2024-07-14,59
2024-07-21,59
2024-07-28,60
2024-08-04,60
2024-08-11,60
2024-08-18,52
2024-08-25,58
2024-09-01,57
2024-09-08,57
2024-09-15,50
2024-09-22,64
2024-09-29,69
2024-10-06,58
2024-10-13,52
2024-10-20,56
2024-10-27,61
2024-11-03,56
2024-11-10,48
2024-11-17,53
2024-11-24,60
2024-12-01,58
2024-12-08,56
2024-12-15,58
2024-12-22,59
2024-12-29,60
2025-01-05,57
2025-01-12,51
2025-01-19,60
2025-01-26,57
2025-02-02,55
2025-02-09,53
2025-02-16,52
2025-02-23,57
2025-03-02,55
2025-03-09,49
2025-03-16,53
2025-03-23,53
2025-03-30,54
2025-04-06,59
2025-04-13,41
2025-04-20,54
2025-04-27,53
2025-05-04,52
2025-05-11,49
2025-05-18,51
2025-05-25,56
2025-06-01,53
2025-06-08,47
2025-06-15,50
2025-06-22,55
2025-06-29,54
2025-07-06,47
2025-07-13,49
2025-07-20,51
2025-07-27,53
2025-08-03,50
2025-08-10,52
2025-08-17,49
2025-08-24,53
2025-08-31,49
2025-09-07,47
2025-09-14,49
2025-09-21,51
2025-09-28,51
2025-10-05,49
2025-10-12,53
2025-10-19,51
2025-10-26,50
2025-11-02,48
2025-11-09,51
2025-11-16,54
2025-11-23,49
2025-11-30,47
2025-12-07,54
2025-12-14,56
2025-12-21,54
2025-12-28,57
