,Politics
2014-12-28,8
2015-01-04,28
2015-01-11,18
2015-01-18,11
2015-01-25,11
2015-02-01,14
2015-02-08,21
2015-02-15,11
2015-02-22,15
2015-03-01,10
2015-03-08,13
2015-03-15,10
2015-03-22,11
2015-03-29,14
2015-04-05,13
2015-04-12,8
2015-04-19,12
2015-04-26,16
2015-05-03,19
2015-05-10,11
2015-05-17,11
2015-05-24,8
2015-05-31,10
2015-06-07,10
2015-06-14,8
2015-06-21,7
2015-06-28,12
2015-07-05,6
2015-07-12,8
2015-07-19,11
2015-07-26,9
2015-08-02,11
2015-08-09,10
2015-08-16,24
2015-08-23,10
2015-08-30,14
2015-09-06,9
2015-09-13,12
2015-09-20,8
2015-09-27,9
2015-10-04,8
2015-10-11,13
2015-10-18,11
2015-10-25,10
2015-11-01,15
2015-11-08,18
2015-11-15,8
2015-11-22,9
2015-11-29,10
2015-12-06,13
2015-12-13,9
2015-12-20,11
2015-12-27,9
2016-01-03,9
2016-01-10,8
2016-01-17,12
2016-01-24,7
2016-01-31,14
2016-02-07,19
2016-02-14,17
2016-02-21,19
2016-02-28,18
2016-03-06,16
2016-03-13,12
2016-03-20,11
2016-03-27,11
2016-04-03,12
2016-04-10,12
2016-04-17,11
2016-04-24,15
2016-05-01,13
2016-05-08,11
2016-05-15,38
2016-05-22,12
2016-05-29,11
2016-06-05,14
2016-06-12,9
2016-06-19,15
2016-06-26,11
2016-07-03,15
2016-07-10,16
2016-07-17,16
2016-07-24,14
2016-07-31,19
2016-08-07,7
2016-08-14,10
2016-08-21,14
2016-08-28,9
2016-09-04,9
2016-09-11,12
2016-09-18,0
2016-09-25,6
2016-10-02,5
2016-10-09,10
2016-10-16,10
2016-10-23,6
2016-10-30,8
2016-11-06,100
2016-11-13,5
2016-11-20,7
2016-11-27,3
2016-12-04,4
2016-12-11,4
2016-12-18,5
2016-12-25,0
2017-01-01,4
2017-01-08,5
2017-01-15,7
2017-01-22,5
2017-01-29,6
2017-02-05,13
2017-02-12,15
2017-02-19,11
2017-02-26,15
2017-03-05,19
2017-03-12,18
2017-03-19,11
2017-03-26,14
2017-04-02,14
2017-04-09,14
2017-04-16,17
2017-04-23,22
2017-04-30,51
2017-05-07,88
2017-05-14,15
2017-05-21,10
2017-05-28,7
2017-06-04,17
2017-06-11,8
2017-06-18,9
2017-06-25,7
2017-07-02,8
2017-07-09,10
2017-07-16,9
2017-07-23,9
2017-07-30,7
2017-08-06,11
2017-08-13,8
2017-08-20,8
2017-08-27,6
2017-09-03,7
2017-09-10,9
2017-09-17,7
2017-09-24,13
2017-10-01,9
2017-10-08,11
2017-10-15,9
2017-10-22,10
2017-10-29,7
2017-11-05,12
2017-11-12,13
2017-11-19,14
2017-11-26,10
2017-12-03,7
2017-12-10,15
2017-12-17,15
2017-12-24,7
2017-12-31,11
2018-01-07,9
2018-01-14,11
2018-01-21,10
2018-01-28,13
2018-02-04,19
2018-02-11,17
2018-02-18,16
2018-02-25,12
2018-03-04,23
2018-03-11,16
2018-03-18,13
2018-03-25,10
2018-04-01,11
2018-04-08,11
2018-04-15,11
2018-04-22,11
2018-04-29,12
2018-05-06,24
2018-05-13,22
2018-05-20,15
2018-05-27,11
2018-06-03,10
2018-06-10,18
2018-06-17,12
2018-06-24,14
2018-07-01,14
2018-07-08,11
2018-07-15,22
2018-07-22,31
2018-07-29,20
2018-08-05,16
2018-08-12,13
2018-08-19,16
2018-08-26,17
2018-09-02,19
2018-09-09,17
2018-09-16,27
2018-09-23,62
2018-09-30,18
2018-10-07,13
2018-10-14,20
2018-10-21,16
2018-10-28,18
2018-11-04,21
2018-11-11,15
2018-11-18,14
2018-11-25,14
2018-12-02,11
2018-12-09,21
2018-12-16,16
2018-12-23,18
2018-12-30,19
2019-01-06,14
2019-01-13,14
2019-01-20,15
2019-01-27,22
2019-02-03,22
2019-02-10,18
2019-02-17,21
2019-02-24,28
2019-03-03,25
2019-03-10,18
2019-03-17,26
2019-03-24,26
2019-03-31,60
2019-04-07,57
2019-04-14,25
2019-04-21,20
2019-04-28,12
2019-05-05,8
2019-05-12,13
2019-05-19,58
2019-05-26,15
2019-06-02,10
2019-06-09,13
2019-06-16,8
2019-06-23,14
2019-06-30,12
2019-07-07,13
2019-07-14,15
2019-07-21,12
2019-07-28,9
2019-08-04,11
2019-08-11,9
2019-08-18,11
2019-08-25,10
2019-09-01,14
2019-09-08,13
2019-09-15,11
2019-09-22,14
2019-09-29,13
2019-10-06,13
2019-10-13,11
2019-10-20,18
2019-10-27,12
2019-11-03,15
2019-11-10,16
2019-11-17,27
2019-11-24,13
2019-12-01,16
2019-12-08,23
2019-12-15,19
2019-12-22,20
2019-12-29,19
2020-01-05,20
