,Commercial Vehicles
2023-01-01,90
2023-01-08,88
2023-01-15,90
2023-01-22,88
2023-01-29,98
2023-02-05,95
2023-02-12,92
2023-02-19,100
2023-02-26,100
2023-03-05,79
2023-03-12,80
2023-03-19,71
2023-03-26,63
2023-04-02,73
2023-04-09,74
2023-04-16,71
2023-04-23,74
2023-04-30,74
2023-05-07,71
2023-05-14,69
2023-05-21,68
2023-05-28,68
2023-06-04,73
2023-06-11,74
2023-06-18,75
2023-06-25,81
2023-07-02,88
2023-07-09,92
2023-07-16,88
2023-07-23,83
2023-07-30,85
2023-08-06,87
2023-08-13,83
2023-08-20,85
2023-08-27,78
2023-09-03,80
2023-09-10,84
2023-09-17,83
2023-09-24,76
2023-10-01,77
2023-10-08,80
2023-10-15,69
2023-10-22,61
2023-10-29,74
2023-11-05,70
2023-11-12,61
2023-11-19,76
2023-11-26,75
2023-12-03,79
2023-12-10,78
2023-12-17,75
2023-12-24,77
2023-12-31,75
2024-01-07,76
2024-01-14,72
2024-01-21,65
2024-01-28,74
2024-02-04,82
2024-02-11,71
2024-02-18,79
2024-02-25,79
2024-03-03,74
2024-03-10,72
2024-03-17,61
2024-03-24,48
2024-03-31,60
2024-04-07,57
2024-04-14,54
2024-04-21,58
2024-04-28,55
2024-05-05,58
2024-05-12,54
2024-05-19,58
2024-05-26,62
2024-06-02,60
2024-06-09,59
2024-06-16,58
2024-06-23,64
2024-06-30,70
2024-07-07,66
2024-07-14,70
2024-07-21,72
2024-07-28,67
2024-08-04,68
2024-08-11,62
2024-08-18,68
2024-08-25,67
2024-09-01,65
2024-09-08,68
2024-09-15,69
2024-09-22,69
2024-09-29,57
2024-10-06,50
2024-10-13,57
2024-10-20,63
2024-10-27,44
2024-11-03,59
2024-11-10,60
2024-11-17,66
2024-11-24,69
2024-12-01,65
2024-12-08,64
2024-12-15,57
2024-12-22,59
2024-12-29,57
2025-01-05,60
2025-01-12,63
2025-01-19,63
2025-01-26,66
2025-02-02,63
2025-02-09,63
2025-02-16,70
2025-02-23,68
2025-03-02,71
2025-03-09,54
2025-03-16,51
2025-03-23,49
2025-03-30,53
2025-04-06,52
2025-04-13,49
2025-04-20,51
2025-04-27,54
2025-05-04,49
2025-05-11,56
2025-05-18,59
2025-05-25,58
2025-06-01,52
2025-06-08,56
2025-06-15,62
2025-06-22,59
2025-06-29,59
2025-07-06,59
2025-07-13,66
2025-07-20,58
2025-07-27,67
2025-08-03,62
2025-08-10,54
2025-08-17,62
2025-08-24,65
2025-08-31,54
2025-09-07,64
2025-09-14,67
2025-09-21,56
2025-09-28,45
2025-10-05,57
2025-10-12,53
2025-10-19,40
2025-10-26,54
2025-11-02,57
2025-11-09,56
2025-11-16,59
2025-11-23,72
2025-11-30,60
2025-12-07,59
2025-12-14,59
2025-12-21,55
2025-12-28,57
2026-01-04,72
