,Web Hosting & Domain Registration
2014-12-28,71
2015-01-04,51
2015-01-11,71
2015-01-18,75
2015-01-25,69
2015-02-01,67
2015-02-08,71
2015-02-15,80
2015-02-22,69
2015-03-01,76
2015-03-08,82
2015-03-15,91
2015-03-22,100
2015-03-29,75
2015-04-05,85
2015-04-12,55
2015-04-19,72
2015-04-26,76
2015-05-03,60
2015-05-10,75
2015-05-17,70
2015-05-24,74
2015-05-31,67
2015-06-07,78
2015-06-14,79
2015-06-21,78
2015-06-28,78
2015-07-05,91
2015-07-12,81
2015-07-19,72
2015-07-26,80
2015-08-02,70
2015-08-09,82
2015-08-16,62
2015-08-23,77
2015-08-30,75
2015-09-06,66
2015-09-13,75
2015-09-20,70
2015-09-27,72
2015-10-04,88
2015-10-11,84
2015-10-18,77
2015-10-25,85
2015-11-01,98
2015-11-08,95
2015-11-15,71
2015-11-22,82
2015-11-29,71
2015-12-06,82
2015-12-13,83
2015-12-20,66
2015-12-27,68
2016-01-03,59
2016-01-10,56
2016-01-17,71
2016-01-24,76
2016-01-31,72
2016-02-07,73
2016-02-14,76
2016-02-21,63
2016-02-28,69
2016-03-06,75
2016-03-13,67
2016-03-20,57
2016-03-27,70
2016-04-03,59
2016-04-10,37
2016-04-17,52
2016-04-24,53
2016-05-01,65
2016-05-08,65
2016-05-15,55
2016-05-22,65
2016-05-29,75
2016-06-05,66
2016-06-12,78
2016-06-19,62
2016-06-26,74
2016-07-03,66
2016-07-10,62
2016-07-17,59
2016-07-24,70
2016-07-31,68
2016-08-07,74
2016-08-14,67
2016-08-21,75
2016-08-28,66
2016-09-04,72
2016-09-11,73
2016-09-18,76
2016-09-25,78
2016-10-02,68
2016-10-09,76
2016-10-16,76
2016-10-23,75
2016-10-30,72
2016-11-06,59
2016-11-13,73
2016-11-20,69
2016-11-27,68
2016-12-04,74
2016-12-11,60
2016-12-18,64
2016-12-25,59
2017-01-01,67
2017-01-08,77
2017-01-15,66
2017-01-22,64
2017-01-29,74
2017-02-05,73
2017-02-12,64
2017-02-19,63
2017-02-26,78
2017-03-05,67
2017-03-12,65
2017-03-19,83
2017-03-26,80
2017-04-02,68
2017-04-09,48
2017-04-16,70
2017-04-23,74
2017-04-30,66
2017-05-07,62
2017-05-14,62
2017-05-21,63
2017-05-28,66
2017-06-04,60
2017-06-11,60
2017-06-18,70
2017-06-25,64
2017-07-02,68
2017-07-09,75
2017-07-16,62
2017-07-23,65
2017-07-30,74
2017-08-06,62
2017-08-13,56
2017-08-20,56
2017-08-27,55
2017-09-03,64
2017-09-10,61
2017-09-17,66
2017-09-24,69
2017-10-01,67
2017-10-08,65
2017-10-15,62
2017-10-22,68
2017-10-29,64
2017-11-05,65
2017-11-12,62
2017-11-19,61
2017-11-26,56
2017-12-03,63
2017-12-10,63
2017-12-17,65
2017-12-24,55
2017-12-31,57
2018-01-07,67
2018-01-14,68
2018-01-21,63
2018-01-28,60
2018-02-04,62
2018-02-11,64
2018-02-18,65
2018-02-25,70
2018-03-04,64
2018-03-11,67
2018-03-18,64
2018-03-25,84
2018-04-01,71
2018-04-08,54
2018-04-15,60
2018-04-22,63
2018-04-29,53
2018-05-06,59
2018-05-13,64
2018-05-20,58
2018-05-27,59
2018-06-03,64
2018-06-10,52
2018-06-17,63
2018-06-24,54
2018-07-01,58
2018-07-08,70
2018-07-15,66
2018-07-22,64
2018-07-29,62
2018-08-05,63
2018-08-12,61
2018-08-19,53
2018-08-26,59
2018-09-02,58
2018-09-09,58
2018-09-16,65
2018-09-23,53
2018-09-30,63
2018-10-07,64
2018-10-14,55
2018-10-21,56
2018-10-28,53
2018-11-04,65
2018-11-11,57
2018-11-18,59
2018-11-25,66
2018-12-02,66
2018-12-09,57
2018-12-16,63
2018-12-23,44
2018-12-30,57
2019-01-06,59
2019-01-13,53
2019-01-20,50
2019-01-27,55
2019-02-03,51
2019-02-10,55
2019-02-17,64
2019-02-24,59
2019-03-03,54
2019-03-10,54
2019-03-17,53
2019-03-24,45
2019-03-31,56
2019-04-07,46
2019-04-14,37
2019-04-21,41
2019-04-28,51
2019-05-05,56
2019-05-12,53
2019-05-19,57
2019-05-26,53
2019-06-02,55
2019-06-09,62
2019-06-16,53
2019-06-23,63
2019-06-30,59
2019-07-07,54
2019-07-14,57
2019-07-21,60
2019-07-28,61
2019-08-04,52
2019-08-11,58
2019-08-18,64
2019-08-25,51
2019-09-01,56
2019-09-08,50
2019-09-15,52
2019-09-22,57
2019-09-29,57
2019-10-06,65
2019-10-13,68
2019-10-20,66
2019-10-27,57
2019-11-03,65
2019-11-10,58
2019-11-17,60
2019-11-24,58
2019-12-01,56
2019-12-08,53
2019-12-15,55
2019-12-22,58
2019-12-29,54
2020-01-05,53
