,Luggage & Travel Accessories
2023-01-01,65
2023-01-08,71
2023-01-15,68
2023-01-22,74
2023-01-29,62
2023-02-05,73
2023-02-12,73
2023-02-19,70
2023-02-26,71
2023-03-05,62
2023-03-12,66
2023-03-19,65
2023-03-26,61
2023-04-02,70
2023-04-09,61
2023-04-16,58
2023-04-23,77
2023-04-30,66
2023-05-07,73
2023-05-14,77
2023-05-21,65
2023-05-28,65
2023-06-04,75
2023-06-11,72
2023-06-18,69
2023-06-25,78
2023-07-02,74
2023-07-09,82
2023-07-16,82
2023-07-23,73
2023-07-30,82
2023-08-06,81
2023-08-13,86
2023-08-20,73
2023-08-27,77
2023-09-03,64
2023-09-10,75
2023-09-17,72
2023-09-24,87
2023-10-01,80
2023-10-08,69
2023-10-15,75
2023-10-22,66
2023-10-29,62
2023-11-05,69
2023-11-12,70
2023-11-19,74
2023-11-26,72
2023-12-03,68
2023-12-10,75
2023-12-17,73
2023-12-24,77
2023-12-31,67
2024-01-07,79
2024-01-14,72
2024-01-21,82
2024-01-28,80
2024-02-04,81
2024-02-11,82
2024-02-18,71
2024-02-25,71
2024-03-03,81
2024-03-10,65
2024-03-17,80
2024-03-24,69
2024-03-31,71
2024-04-07,67
2024-04-14,60
2024-04-21,70
2024-04-28,75
2024-05-05,66
2024-05-12,80
2024-05-19,73
2024-05-26,69
2024-06-02,72
2024-06-09,77
2024-06-16,79
2024-06-23,70
2024-06-30,75
2024-07-07,63
2024-07-14,86
2024-07-21,80
2024-07-28,82
2024-08-04,88
2024-08-11,92
2024-08-18,75
2024-08-25,72
2024-09-01,89
2024-09-08,75
2024-09-15,60
2024-09-22,59
2024-09-29,64
2024-10-06,66
2024-10-13,67
2024-10-20,64
2024-10-27,69
2024-11-03,65
2024-11-10,73
2024-11-17,61
2024-11-24,71
2024-12-01,84
2024-12-08,81
2024-12-15,100
2024-12-22,87
2024-12-29,84
2025-01-05,78
2025-01-12,88
2025-01-19,79
2025-01-26,78
2025-02-02,86
2025-02-09,72
2025-02-16,83
2025-02-23,83
2025-03-02,66
2025-03-09,75
2025-03-16,73
2025-03-23,79
2025-03-30,76
2025-04-06,73
2025-04-13,82
2025-04-20,75
2025-04-27,91
2025-05-04,79
2025-05-11,76
2025-05-18,71
2025-05-25,84
2025-06-01,89
2025-06-08,76
2025-06-15,69
2025-06-22,87
2025-06-29,73
2025-07-06,74
2025-07-13,89
2025-07-20,74
2025-07-27,83
2025-08-03,80
2025-08-10,84
2025-08-17,83
2025-08-24,71
2025-08-31,65
2025-09-07,71
2025-09-14,77
2025-09-21,69
2025-09-28,83
2025-10-05,75
2025-10-12,81
2025-10-19,83
2025-10-26,80
2025-11-02,72
2025-11-09,85
2025-11-16,78
2025-11-23,78
2025-11-30,64
2025-12-07,68
2025-12-14,83
2025-12-21,82
2025-12-28,87
