,Luggage & Travel Accessories
2014-12-28,34
2015-01-04,33
2015-01-11,33
2015-01-18,31
2015-01-25,30
2015-02-01,31
2015-02-08,30
2015-02-15,32
2015-02-22,31
2015-03-01,29
2015-03-08,31
2015-03-15,32
2015-03-22,31
2015-03-29,35
2015-04-05,40
2015-04-12,35
2015-04-19,34
2015-04-26,36
2015-05-03,34
2015-05-10,33
2015-05-17,36
2015-05-24,36
2015-05-31,38
2015-06-07,39
2015-06-14,43
2015-06-21,48
2015-06-28,73
2015-07-05,65
2015-07-12,52
2015-07-19,53
2015-07-26,48
2015-08-02,46
2015-08-09,48
2015-08-16,40
2015-08-23,39
2015-08-30,40
2015-09-06,40
2015-09-13,37
2015-09-20,39
2015-09-27,40
2015-10-04,37
2015-10-11,45
2015-10-18,37
2015-10-25,41
2015-11-01,42
2015-11-08,33
2015-11-15,38
2015-11-22,36
2015-11-29,33
2015-12-06,41
2015-12-13,40
2015-12-20,43
2015-12-27,38
2016-01-03,37
2016-01-10,37
2016-01-17,35
2016-01-24,34
2016-01-31,34
2016-02-07,34
2016-02-14,34
2016-02-21,33
2016-02-28,33
2016-03-06,34
2016-03-13,36
2016-03-20,36
2016-03-27,40
2016-04-03,38
2016-04-10,38
2016-04-17,36
2016-04-24,36
2016-05-01,38
2016-05-08,38
2016-05-15,35
2016-05-22,40
2016-05-29,42
2016-06-05,42
2016-06-12,42
2016-06-19,42
2016-06-26,43
2016-07-03,44
2016-07-10,43
2016-07-17,46
2016-07-24,44
2016-07-31,45
2016-08-07,46
2016-08-14,41
2016-08-21,42
2016-08-28,43
2016-09-04,49
2016-09-11,42
2016-09-18,43
2016-09-25,42
2016-10-02,51
2016-10-09,44
2016-10-16,48
2016-10-23,45
2016-10-30,39
2016-11-06,40
2016-11-13,38
2016-11-20,41
2016-11-27,40
2016-12-04,42
2016-12-11,42
2016-12-18,45
2016-12-25,44
2017-01-01,47
2017-01-08,42
2017-01-15,45
2017-01-22,43
2017-01-29,41
2017-02-05,40
2017-02-12,40
2017-02-19,42
2017-02-26,38
2017-03-05,39
2017-03-12,40
2017-03-19,46
2017-03-26,43
2017-04-02,44
2017-04-09,44
2017-04-16,44
2017-04-23,41
2017-04-30,41
2017-05-07,49
2017-05-14,47
2017-05-21,46
2017-05-28,51
2017-06-04,51
2017-06-11,55
2017-06-18,56
2017-06-25,56
2017-07-02,53
2017-07-09,56
2017-07-16,55
2017-07-23,46
2017-07-30,52
2017-08-06,54
2017-08-13,51
2017-08-20,50
2017-08-27,46
2017-09-03,50
2017-09-10,49
2017-09-17,57
2017-09-24,51
2017-10-01,52
2017-10-08,55
2017-10-15,47
2017-10-22,45
2017-10-29,49
2017-11-05,50
2017-11-12,53
2017-11-19,55
2017-11-26,58
2017-12-03,55
2017-12-10,56
2017-12-17,67
2017-12-24,68
2017-12-31,54
2018-01-07,56
2018-01-14,54
2018-01-21,55
2018-01-28,53
2018-02-04,51
2018-02-11,51
2018-02-18,49
2018-02-25,46
2018-03-04,54
2018-03-11,56
2018-03-18,63
2018-03-25,67
2018-04-01,64
2018-04-08,61
2018-04-15,63
2018-04-22,62
2018-04-29,67
2018-05-06,71
2018-05-13,68
2018-05-20,71
2018-05-27,72
2018-06-03,87
2018-06-10,77
2018-06-17,75
2018-06-24,81
2018-07-01,74
2018-07-08,77
2018-07-15,76
2018-07-22,82
2018-07-29,87
2018-08-05,79
2018-08-12,80
2018-08-19,71
2018-08-26,78
2018-09-02,84
2018-09-09,78
2018-09-16,83
2018-09-23,80
2018-09-30,81
2018-10-07,100
2018-10-14,87
2018-10-21,89
2018-10-28,97
2018-11-04,75
2018-11-11,79
2018-11-18,84
2018-11-25,83
2018-12-02,78
2018-12-09,82
2018-12-16,89
2018-12-23,95
2018-12-30,82
2019-01-06,87
2019-01-13,78
2019-01-20,81
2019-01-27,79
2019-02-03,73
2019-02-10,75
2019-02-17,75
2019-02-24,73
2019-03-03,77
2019-03-10,79
2019-03-17,80
2019-03-24,81
2019-03-31,72
2019-04-07,68
2019-04-14,76
2019-04-21,71
2019-04-28,75
2019-05-05,79
2019-05-12,82
2019-05-19,79
2019-05-26,83
2019-06-02,83
2019-06-09,82
2019-06-16,85
2019-06-23,86
2019-06-30,79
2019-07-07,82
2019-07-14,89
2019-07-21,83
2019-07-28,89
2019-08-04,82
2019-08-11,80
2019-08-18,79
2019-08-25,77
2019-09-01,72
2019-09-08,80
2019-09-15,77
2019-09-22,81
2019-09-29,92
2019-10-06,75
2019-10-13,79
2019-10-20,84
2019-10-27,66
2019-11-03,83
2019-11-10,80
2019-11-17,74
2019-11-24,70
2019-12-01,74
2019-12-08,66
2019-12-15,73
2019-12-22,79
2019-12-29,75
2020-01-05,74
