,Construction & Maintenance
2023-01-01,63
2023-01-08,59
2023-01-15,60
2023-01-22,68
2023-01-29,71
2023-02-05,68
2023-02-12,70
2023-02-19,72
2023-02-26,65
2023-03-05,67
2023-03-12,62
2023-03-19,72
2023-03-26,71
2023-04-02,58
2023-04-09,71
2023-04-16,54
2023-04-23,64
2023-04-30,71
2023-05-07,70
2023-05-14,69
2023-05-21,67
2023-05-28,64
2023-06-04,67
2023-06-11,68
2023-06-18,65
2023-06-25,52
2023-07-02,57
2023-07-09,64
2023-07-16,70
2023-07-23,58
2023-07-30,61
2023-08-06,71
2023-08-13,75
2023-08-20,76
2023-08-27,78
2023-09-03,66
2023-09-10,64
2023-09-17,73
2023-09-24,73
2023-10-01,68
2023-10-08,74
2023-10-15,71
2023-10-22,73
2023-10-29,70
2023-11-05,73
2023-11-12,79
2023-11-19,79
2023-11-26,84
2023-12-03,79
2023-12-10,83
2023-12-17,84
2023-12-24,77
2023-12-31,67
2024-01-07,79
2024-01-14,74
2024-01-21,86
2024-01-28,80
2024-02-04,75
2024-02-11,87
2024-02-18,77
2024-02-25,88
2024-03-03,100
2024-03-10,71
2024-03-17,79
2024-03-24,89
2024-03-31,76
2024-04-07,74
2024-04-14,83
2024-04-21,79
2024-04-28,81
2024-05-05,74
2024-05-12,69
2024-05-19,85
2024-05-26,91
2024-06-02,83
2024-06-09,78
2024-06-16,60
2024-06-23,82
2024-06-30,77
2024-07-07,73
2024-07-14,82
2024-07-21,89
2024-07-28,88
2024-08-04,84
2024-08-11,88
2024-08-18,89
2024-08-25,86
2024-09-01,84
2024-09-08,80
2024-09-15,87
2024-09-22,83
2024-09-29,70
2024-10-06,88
2024-10-13,100
2024-10-20,83
2024-10-27,87
2024-11-03,84
2024-11-10,85
2024-11-17,78
2024-11-24,83
2024-12-01,86
2024-12-08,98
2024-12-15,89
2024-12-22,87
2024-12-29,85
2025-01-05,90
2025-01-12,86
2025-01-19,87
2025-01-26,89
2025-02-02,87
2025-02-09,83
2025-02-16,96
2025-02-23,90
2025-03-02,77
2025-03-09,83
2025-03-16,76
2025-03-23,72
2025-03-30,68
2025-04-06,93
2025-04-13,93
2025-04-20,93
2025-04-27,77
2025-05-04,80
2025-05-11,85
2025-05-18,76
2025-05-25,86
2025-06-01,73
2025-06-08,82
2025-06-15,87
2025-06-22,83
2025-06-29,91
2025-07-06,90
2025-07-13,89
2025-07-20,91
2025-07-27,84
2025-08-03,83
2025-08-10,86
2025-08-17,87
2025-08-24,77
2025-08-31,84
2025-09-07,75
2025-09-14,82
2025-09-21,67
2025-09-28,76
2025-10-05,81
2025-10-12,84
2025-10-19,91
2025-10-26,77
2025-11-02,75
2025-11-09,82
2025-11-16,87
2025-11-23,80
2025-11-30,96
2025-12-07,91
2025-12-14,92
2025-12-21,92
2025-12-28,84
2026-01-04,89
