,Acting & Theater
2023-01-01,58
2023-01-08,79
2023-01-15,83
2023-01-22,100
2023-01-29,77
2023-02-05,74
2023-02-12,78
2023-02-19,74
2023-02-26,72
2023-03-05,67
2023-03-12,68
2023-03-19,93
2023-03-26,56
2023-04-02,44
2023-04-09,52
2023-04-16,58
2023-04-23,64
2023-04-30,62
2023-05-07,62
2023-05-14,67
2023-05-21,73
2023-05-28,49
2023-06-04,71
2023-06-11,66
2023-06-18,74
2023-06-25,67
2023-07-02,73
2023-07-09,74
2023-07-16,80
2023-07-23,58
2023-07-30,68
2023-08-06,74
2023-08-13,66
2023-08-20,75
2023-08-27,65
2023-09-03,64
2023-09-10,65
2023-09-17,80
2023-09-24,54
2023-10-01,71
2023-10-08,73
2023-10-15,69
2023-10-22,71
2023-10-29,68
2023-11-05,68
2023-11-12,93
2023-11-19,88
2023-11-26,64
2023-12-03,61
2023-12-10,79
2023-12-17,67
2023-12-24,72
2023-12-31,64
2024-01-07,63
2024-01-14,70
2024-01-21,64
2024-01-28,74
2024-02-04,78
2024-02-11,70
2024-02-18,67
2024-02-25,70
2024-03-03,65
2024-03-10,69
2024-03-17,67
2024-03-24,66
2024-03-31,60
2024-04-07,54
2024-04-14,55
2024-04-21,66
2024-04-28,64
2024-05-05,70
2024-05-12,69
2024-05-19,53
2024-05-26,63
2024-06-02,63
2024-06-09,70
2024-06-16,78
2024-06-23,69
2024-06-30,63
2024-07-07,57
2024-07-14,67
2024-07-21,70
2024-07-28,59
2024-08-04,73
2024-08-11,62
2024-08-18,72
2024-08-25,61
2024-09-01,81
2024-09-08,70
2024-09-15,72
2024-09-22,71
2024-09-29,62
2024-10-06,76
2024-10-13,61
2024-10-20,68
2024-10-27,68
2024-11-03,51
2024-11-10,57
2024-11-17,56
2024-11-24,63
2024-12-01,63
2024-12-08,60
2024-12-15,63
2024-12-22,51
2024-12-29,57
2025-01-05,61
2025-01-12,52
2025-01-19,76
2025-01-26,67
2025-02-02,66
2025-02-09,77
2025-02-16,57
2025-02-23,64
2025-03-02,58
2025-03-09,70
2025-03-16,66
2025-03-23,70
2025-03-30,63
2025-04-06,55
2025-04-13,57
2025-04-20,67
2025-04-27,64
2025-05-04,68
2025-05-11,61
2025-05-18,75
2025-05-25,57
2025-06-01,64
2025-06-08,57
2025-06-15,67
2025-06-22,62
2025-06-29,57
2025-07-06,60
2025-07-13,68
2025-07-20,79
2025-07-27,86
2025-08-03,77
2025-08-10,75
2025-08-17,76
2025-08-24,78
2025-08-31,86
2025-09-07,83
2025-09-14,63
2025-09-21,65
2025-09-28,68
2025-10-05,66
2025-10-12,73
2025-10-19,67
2025-10-26,72
2025-11-02,71
2025-11-09,61
2025-11-16,84
2025-11-23,65
2025-11-30,50
2025-12-07,58
2025-12-14,58
2025-12-21,77
2025-12-28,78
