,Luxury Goods
2023-01-01,0
2023-01-08,27
2023-01-15,24
2023-01-22,26
2023-01-29,30
2023-02-05,0
2023-02-12,33
2023-02-19,25
2023-02-26,0
2023-03-05,0
2023-03-12,26
2023-03-19,30
2023-03-26,30
2023-04-02,51
2023-04-09,48
2023-04-16,24
2023-04-23,44
2023-04-30,39
2023-05-07,28
2023-05-14,41
2023-05-21,27
2023-05-28,32
2023-06-04,0
2023-06-11,32
2023-06-18,35
2023-06-25,39
2023-07-02,28
2023-07-09,28
2023-07-16,0
2023-07-23,38
2023-07-30,32
2023-08-06,0
2023-08-13,34
2023-08-20,27
2023-08-27,38
2023-09-03,0
2023-09-10,30
2023-09-17,38
2023-09-24,31
2023-10-01,0
2023-10-08,33
2023-10-15,0
2023-10-22,40
2023-10-29,36
2023-11-05,0
2023-11-12,29
2023-11-19,35
2023-11-26,37
2023-12-03,34
2023-12-10,43
2023-12-17,36
2023-12-24,64
2023-12-31,41
2024-01-07,35
2024-01-14,33
2024-01-21,52
2024-01-28,34
2024-02-04,36
2024-02-11,47
2024-02-18,48
2024-02-25,41
2024-03-03,53
2024-03-10,32
2024-03-17,37
2024-03-24,39
2024-03-31,37
2024-04-07,32
2024-04-14,36
2024-04-21,0
2024-04-28,39
2024-05-05,31
2024-05-12,44
2024-05-19,30
2024-05-26,45
2024-06-02,0
2024-06-09,38
2024-06-16,44
2024-06-23,56
2024-06-30,0
2024-07-07,47
2024-07-14,0
2024-07-21,40
2024-07-28,54
2024-08-04,53
2024-08-11,55
2024-08-18,47
2024-08-25,0
2024-09-01,33
2024-09-08,40
2024-09-15,0
2024-09-22,31
2024-09-29,31
2024-10-06,36
2024-10-13,30
2024-10-20,66
2024-10-27,34
2024-11-03,0
2024-11-10,38
2024-11-17,29
2024-11-24,60
2024-12-01,0
2024-12-08,0
2024-12-15,37
2024-12-22,60
2024-12-29,70
2025-01-05,52
2025-01-12,54
2025-01-19,49
2025-01-26,77
2025-02-02,53
2025-02-09,0
2025-02-16,49
2025-02-23,0
2025-03-02,30
2025-03-09,0
2025-03-16,0
2025-03-23,41
2025-03-30,38
2025-04-06,52
2025-04-13,100
2025-04-20,53
2025-04-27,41
2025-05-04,55
2025-05-11,37
2025-05-18,46
2025-05-25,0
2025-06-01,0
2025-06-08,34
2025-06-15,39
2025-06-22,0
2025-06-29,0
2025-07-06,52
2025-07-13,49
2025-07-20,0
2025-07-27,0
2025-08-03,38
2025-08-10,49
2025-08-17,0
2025-08-24,0
2025-08-31,33
2025-09-07,0
2025-09-14,43
2025-09-21,46
2025-09-28,0
2025-10-05,33
2025-10-12,36
2025-10-19,52
2025-10-26,32
2025-11-02,44
2025-11-09,48
2025-11-16,59
2025-11-23,0
2025-11-30,28
2025-12-07,28
2025-12-14,45
2025-12-21,63
2025-12-28,50
2026-01-04,35
