,Apartments & Residential Rentals
2023-01-01,85
2023-01-08,87
2023-01-15,84
2023-01-22,82
2023-01-29,88
2023-02-05,87
2023-02-12,86
2023-02-19,80
2023-02-26,83
2023-03-05,78
2023-03-12,77
2023-03-19,82
2023-03-26,71
2023-04-02,84
2023-04-09,60
2023-04-16,83
2023-04-23,84
2023-04-30,86
2023-05-07,89
2023-05-14,94
2023-05-21,94
2023-05-28,88
2023-06-04,92
2023-06-11,93
2023-06-18,88
2023-06-25,87
2023-07-02,93
2023-07-09,90
2023-07-16,92
2023-07-23,85
2023-07-30,91
2023-08-06,90
2023-08-13,88
2023-08-20,86
2023-08-27,86
2023-09-03,85
2023-09-10,84
2023-09-17,85
2023-09-24,82
2023-10-01,87
2023-10-08,84
2023-10-15,84
2023-10-22,77
2023-10-29,79
2023-11-05,75
2023-11-12,85
2023-11-19,83
2023-11-26,89
2023-12-03,84
2023-12-10,89
2023-12-17,93
2023-12-24,89
2023-12-31,90
2024-01-07,94
2024-01-14,89
2024-01-21,85
2024-01-28,94
2024-02-04,88
2024-02-11,83
2024-02-18,84
2024-02-25,85
2024-03-03,81
2024-03-10,79
2024-03-17,73
2024-03-24,83
2024-03-31,73
2024-04-07,66
2024-04-14,78
2024-04-21,83
2024-04-28,91
2024-05-05,91
2024-05-12,85
2024-05-19,82
2024-05-26,84
2024-06-02,85
2024-06-09,81
2024-06-16,77
2024-06-23,87
2024-06-30,93
2024-07-07,86
2024-07-14,94
2024-07-21,85
2024-07-28,91
2024-08-04,94
2024-08-11,100
2024-08-18,91
2024-08-25,86
2024-09-01,84
2024-09-08,81
2024-09-15,66
2024-09-22,78
2024-09-29,80
2024-10-06,84
2024-10-13,85
2024-10-20,85
2024-10-27,91
2024-11-03,90
2024-11-10,83
2024-11-17,84
2024-11-24,86
2024-12-01,91
2024-12-08,90
2024-12-15,92
2024-12-22,89
2024-12-29,94
2025-01-05,95
2025-01-12,94
2025-01-19,91
2025-01-26,84
2025-02-02,87
2025-02-09,75
2025-02-16,87
2025-02-23,84
2025-03-02,79
2025-03-09,77
2025-03-16,79
2025-03-23,87
2025-03-30,85
2025-04-06,73
2025-04-13,76
2025-04-20,89
2025-04-27,92
2025-05-04,86
2025-05-11,89
2025-05-18,89
2025-05-25,94
2025-06-01,99
2025-06-08,96
2025-06-15,98
2025-06-22,89
2025-06-29,89
2025-07-06,95
2025-07-13,95
2025-07-20,89
2025-07-27,86
2025-08-03,81
2025-08-10,90
2025-08-17,100
2025-08-24,87
2025-08-31,92
2025-09-07,87
2025-09-14,88
2025-09-21,84
2025-09-28,83
2025-10-05,78
2025-10-12,86
2025-10-19,81
2025-10-26,88
2025-11-02,91
2025-11-09,84
2025-11-16,85
2025-11-23,74
2025-11-30,81
2025-12-07,83
2025-12-14,88
2025-12-21,85
2025-12-28,88
