,Gifts & Special Event Items
2014-12-28,44
2015-01-04,45
2015-01-11,42
2015-01-18,40
2015-01-25,44
2015-02-01,40
2015-02-08,47
2015-02-15,48
2015-02-22,44
2015-03-01,44
2015-03-08,48
2015-03-15,42
2015-03-22,38
2015-03-29,50
2015-04-05,53
2015-04-12,47
2015-04-19,40
2015-04-26,50
2015-05-03,65
2015-05-10,68
2015-05-17,46
2015-05-24,44
2015-05-31,50
2015-06-07,41
2015-06-14,43
2015-06-21,53
2015-06-28,56
2015-07-05,59
2015-07-12,57
2015-07-19,48
2015-07-26,46
2015-08-02,52
2015-08-09,52
2015-08-16,55
2015-08-23,53
2015-08-30,49
2015-09-06,49
2015-09-13,45
2015-09-20,41
2015-09-27,53
2015-10-04,75
2015-10-11,54
2015-10-18,50
2015-10-25,51
2015-11-01,52
2015-11-08,57
2015-11-15,60
2015-11-22,50
2015-11-29,46
2015-12-06,47
2015-12-13,50
2015-12-20,57
2015-12-27,61
2016-01-03,57
2016-01-10,53
2016-01-17,45
2016-01-24,39
2016-01-31,47
2016-02-07,55
2016-02-14,51
2016-02-21,47
2016-02-28,46
2016-03-06,56
2016-03-13,57
2016-03-20,48
2016-03-27,50
2016-04-03,56
2016-04-10,56
2016-04-17,53
2016-04-24,49
2016-05-01,64
2016-05-08,81
2016-05-15,50
2016-05-22,48
2016-05-29,48
2016-06-05,58
2016-06-12,59
2016-06-19,73
2016-06-26,62
2016-07-03,57
2016-07-10,53
2016-07-17,55
2016-07-24,51
2016-07-31,55
2016-08-07,37
2016-08-14,52
2016-08-21,55
2016-08-28,33
2016-09-04,53
2016-09-11,39
2016-09-18,30
2016-09-25,20
2016-10-02,29
2016-10-09,22
2016-10-16,18
2016-10-23,21
2016-10-30,19
2016-11-06,13
2016-11-13,23
2016-11-20,19
2016-11-27,16
2016-12-04,19
2016-12-11,19
2016-12-18,25
2016-12-25,20
2017-01-01,27
2017-01-08,21
2017-01-15,16
2017-01-22,20
2017-01-29,31
2017-02-05,51
2017-02-12,54
2017-02-19,50
2017-02-26,48
2017-03-05,49
2017-03-12,50
2017-03-19,56
2017-03-26,52
2017-04-02,47
2017-04-09,59
2017-04-16,54
2017-04-23,51
2017-04-30,58
2017-05-07,71
2017-05-14,53
2017-05-21,42
2017-05-28,47
2017-06-04,51
2017-06-11,49
2017-06-18,45
2017-06-25,30
2017-07-02,41
2017-07-09,48
2017-07-16,48
2017-07-23,34
2017-07-30,39
2017-08-06,39
2017-08-13,48
2017-08-20,40
2017-08-27,47
2017-09-03,40
2017-09-10,39
2017-09-17,47
2017-09-24,53
2017-10-01,75
2017-10-08,47
2017-10-15,44
2017-10-22,41
2017-10-29,43
2017-11-05,45
2017-11-12,51
2017-11-19,63
2017-11-26,48
2017-12-03,43
2017-12-10,46
2017-12-17,46
2017-12-24,45
2017-12-31,41
2018-01-07,36
2018-01-14,40
2018-01-21,40
2018-01-28,37
2018-02-04,43
2018-02-11,50
2018-02-18,48
2018-02-25,43
2018-03-04,50
2018-03-11,42
2018-03-18,39
2018-03-25,46
2018-04-01,47
2018-04-08,56
2018-04-15,45
2018-04-22,50
2018-04-29,52
2018-05-06,63
2018-05-13,48
2018-05-20,44
2018-05-27,45
2018-06-03,40
2018-06-10,45
2018-06-17,49
2018-06-24,45
2018-07-01,48
2018-07-08,44
2018-07-15,50
2018-07-22,49
2018-07-29,44
2018-08-05,45
2018-08-12,42
2018-08-19,33
2018-08-26,41
2018-09-02,50
2018-09-09,49
2018-09-16,45
2018-09-23,48
2018-09-30,100
2018-10-07,52
2018-10-14,47
2018-10-21,51
2018-10-28,51
2018-11-04,52
2018-11-11,44
2018-11-18,59
2018-11-25,47
2018-12-02,49
2018-12-09,47
2018-12-16,45
2018-12-23,58
2018-12-30,49
2019-01-06,48
2019-01-13,40
2019-01-20,47
2019-01-27,45
2019-02-03,44
2019-02-10,56
2019-02-17,52
2019-02-24,45
2019-03-03,49
2019-03-10,46
2019-03-17,51
2019-03-24,56
2019-03-31,51
2019-04-07,53
2019-04-14,51
2019-04-21,47
2019-04-28,41
2019-05-05,54
2019-05-12,52
2019-05-19,43
2019-05-26,40
2019-06-02,40
2019-06-09,44
2019-06-16,50
2019-06-23,47
2019-06-30,43
2019-07-07,50
2019-07-14,51
2019-07-21,41
2019-07-28,43
2019-08-04,38
2019-08-11,33
2019-08-18,49
2019-08-25,40
2019-09-01,47
2019-09-08,49
2019-09-15,43
2019-09-22,41
2019-09-29,78
2019-10-06,49
2019-10-13,47
2019-10-20,51
2019-10-27,40
2019-11-03,53
2019-11-10,47
2019-11-17,48
2019-11-24,41
2019-12-01,39
2019-12-08,45
2019-12-15,44
2019-12-22,51
2019-12-29,50
2020-01-05,40
