,Gifts & Special Event Items
2023-01-01,57
2023-01-08,55
2023-01-15,57
2023-01-22,57
2023-01-29,59
2023-02-05,60
2023-02-12,61
2023-02-19,53
2023-02-26,54
2023-03-05,54
2023-03-12,55
2023-03-19,54
2023-03-26,52
2023-04-02,50
2023-04-09,94
2023-04-16,54
2023-04-23,53
2023-04-30,66
2023-05-07,66
2023-05-14,70
2023-05-21,61
2023-05-28,53
2023-06-04,55
2023-06-11,55
2023-06-18,65
2023-06-25,55
2023-07-02,53
2023-07-09,58
2023-07-16,54
2023-07-23,66
2023-07-30,55
2023-08-06,52
2023-08-13,57
2023-08-20,51
2023-08-27,56
2023-09-03,58
2023-09-10,56
2023-09-17,54
2023-09-24,58
2023-10-01,100
2023-10-08,56
2023-10-15,59
2023-10-22,54
2023-10-29,50
2023-11-05,50
2023-11-12,58
2023-11-19,55
2023-11-26,53
2023-12-03,56
2023-12-10,57
2023-12-17,63
2023-12-24,62
2023-12-31,65
2024-01-07,51
2024-01-14,55
2024-01-21,55
2024-01-28,54
2024-02-04,55
2024-02-11,60
2024-02-18,50
2024-02-25,50
2024-03-03,55
2024-03-10,50
2024-03-17,52
2024-03-24,52
2024-03-31,52
2024-04-07,76
2024-04-14,51
2024-04-21,50
2024-04-28,54
2024-05-05,61
2024-05-12,69
2024-05-19,56
2024-05-26,53
2024-06-02,55
2024-06-09,57
2024-06-16,56
2024-06-23,50
2024-06-30,52
2024-07-07,53
2024-07-14,54
2024-07-21,59
2024-07-28,53
2024-08-04,50
2024-08-11,50
2024-08-18,50
2024-08-25,51
2024-09-01,52
2024-09-08,51
2024-09-15,45
2024-09-22,49
2024-09-29,63
2024-10-06,66
2024-10-13,51
2024-10-20,51
2024-10-27,59
2024-11-03,51
2024-11-10,50
2024-11-17,52
2024-11-24,53
2024-12-01,54
2024-12-08,56
2024-12-15,56
2024-12-22,61
2024-12-29,64
2025-01-05,53
2025-01-12,58
2025-01-19,54
2025-01-26,55
2025-02-02,53
2025-02-09,60
2025-02-16,50
2025-02-23,49
2025-03-02,53
2025-03-09,48
2025-03-16,48
2025-03-23,50
2025-03-30,51
2025-04-06,49
2025-04-13,70
2025-04-20,46
2025-04-27,49
2025-05-04,59
2025-05-11,63
2025-05-18,49
2025-05-25,49
2025-06-01,50
2025-06-08,54
2025-06-15,55
2025-06-22,48
2025-06-29,48
2025-07-06,46
2025-07-13,47
2025-07-20,47
2025-07-27,47
2025-08-03,49
2025-08-10,46
2025-08-17,48
2025-08-24,50
2025-08-31,48
2025-09-07,46
2025-09-14,44
2025-09-21,51
2025-09-28,57
2025-10-05,61
2025-10-12,51
2025-10-19,53
2025-10-26,47
2025-11-02,46
2025-11-09,45
2025-11-16,47
2025-11-23,43
2025-11-30,40
2025-12-07,49
2025-12-14,53
2025-12-21,61
2025-12-28,62
