,Data Management
2014-12-28,0
2015-01-04,0
2015-01-11,65
2015-01-18,0
2015-01-25,60
2015-02-01,0
2015-02-08,63
2015-02-15,65
2015-02-22,72
2015-03-01,54
2015-03-08,0
2015-03-15,53
2015-03-22,59
2015-03-29,64
2015-04-05,66
2015-04-12,85
2015-04-19,0
2015-04-26,57
2015-05-03,0
2015-05-10,80
2015-05-17,0
2015-05-24,59
2015-05-31,71
2015-06-07,70
2015-06-14,0
2015-06-21,54
2015-06-28,88
2015-07-05,0
2015-07-12,0
2015-07-19,81
2015-07-26,0
2015-08-02,58
2015-08-09,60
2015-08-16,81
2015-08-23,61
2015-08-30,0
2015-09-06,0
2015-09-13,56
2015-09-20,0
2015-09-27,76
2015-10-04,67
2015-10-11,54
2015-10-18,70
2015-10-25,72
2015-11-01,0
2015-11-08,74
2015-11-15,0
2015-11-22,72
2015-11-29,53
2015-12-06,81
2015-12-13,60
2015-12-20,0
2015-12-27,0
2016-01-03,71
2016-01-10,0
2016-01-17,0
2016-01-24,0
2016-01-31,68
2016-02-07,0
2016-02-14,66
2016-02-21,63
2016-02-28,71
2016-03-06,88
2016-03-13,85
2016-03-20,64
2016-03-27,64
2016-04-03,60
2016-04-10,63
2016-04-17,61
2016-04-24,0
2016-05-01,62
2016-05-08,58
2016-05-15,74
2016-05-22,0
2016-05-29,93
2016-06-05,72
2016-06-12,0
2016-06-19,52
2016-06-26,0
2016-07-03,0
2016-07-10,0
2016-07-17,75
2016-07-24,58
2016-07-31,0
2016-08-07,0
2016-08-14,64
2016-08-21,0
2016-08-28,0
2016-09-04,62
2016-09-11,65
2016-09-18,0
2016-09-25,0
2016-10-02,0
2016-10-09,0
2016-10-16,74
2016-10-23,0
2016-10-30,0
2016-11-06,0
2016-11-13,98
2016-11-20,0
2016-11-27,0
2016-12-04,0
2016-12-11,0
2016-12-18,0
2016-12-25,0
2017-01-01,0
2017-01-08,0
2017-01-15,0
2017-01-22,0
2017-01-29,0
2017-02-05,54
2017-02-12,67
2017-02-19,64
2017-02-26,68
2017-03-05,51
2017-03-12,77
2017-03-19,51
2017-03-26,68
2017-04-02,52
2017-04-09,0
2017-04-16,49
2017-04-23,70
2017-04-30,100
2017-05-07,64
2017-05-14,0
2017-05-21,0
2017-05-28,0
2017-06-04,72
2017-06-11,0
2017-06-18,0
2017-06-25,0
2017-07-02,0
2017-07-09,0
2017-07-16,0
2017-07-23,0
2017-07-30,0
2017-08-06,0
2017-08-13,63
2017-08-20,0
2017-08-27,0
2017-09-03,53
2017-09-10,70
2017-09-17,0
2017-09-24,59
2017-10-01,48
2017-10-08,54
2017-10-15,68
2017-10-22,0
2017-10-29,0
2017-11-05,53
2017-11-12,49
2017-11-19,89
2017-11-26,82
2017-12-03,0
2017-12-10,0
2017-12-17,0
2017-12-24,58
2017-12-31,0
2018-01-07,60
2018-01-14,62
2018-01-21,64
2018-01-28,49
2018-02-04,0
2018-02-11,47
2018-02-18,64
2018-02-25,68
2018-03-04,49
2018-03-11,0
2018-03-18,0
2018-03-25,68
2018-04-01,66
2018-04-08,44
2018-04-15,64
2018-04-22,0
2018-04-29,0
2018-05-06,0
2018-05-13,0
2018-05-20,54
2018-05-27,49
2018-06-03,0
2018-06-10,0
2018-06-17,0
2018-06-24,46
2018-07-01,0
2018-07-08,59
2018-07-15,55
2018-07-22,0
2018-07-29,47
2018-08-05,55
2018-08-12,0
2018-08-19,0
2018-08-26,0
2018-09-02,71
2018-09-09,0
2018-09-16,52
2018-09-23,0
2018-09-30,0
2018-10-07,58
2018-10-14,48
2018-10-21,99
2018-10-28,61
2018-11-04,57
2018-11-11,0
2018-11-18,0
2018-11-25,72
2018-12-02,46
2018-12-09,60
2018-12-16,66
2018-12-23,79
2018-12-30,0
2019-01-06,0
2019-01-13,0
2019-01-20,0
2019-01-27,0
2019-02-03,61
2019-02-10,47
2019-02-17,0
2019-02-24,0
2019-03-03,45
2019-03-10,0
2019-03-17,62
2019-03-24,63
2019-03-31,0
2019-04-07,0
2019-04-14,0
2019-04-21,69
2019-04-28,0
2019-05-05,54
2019-05-12,0
2019-05-19,0
2019-05-26,51
2019-06-02,0
2019-06-09,60
2019-06-16,45
2019-06-23,0
2019-06-30,45
2019-07-07,0
2019-07-14,59
2019-07-21,0
2019-07-28,0
2019-08-04,0
2019-08-11,0
2019-08-18,64
2019-08-25,57
2019-09-01,49
2019-09-08,46
2019-09-15,0
2019-09-22,71
2019-09-29,45
2019-10-06,74
2019-10-13,49
2019-10-20,71
2019-10-27,79
2019-11-03,84
2019-11-10,41
2019-11-17,55
2019-11-24,0
2019-12-01,64
2019-12-08,0
2019-12-15,87
2019-12-22,45
2019-12-29,0
2020-01-05,71
