,Footwear
2023-01-01,78
2023-01-08,73
2023-01-15,66
2023-01-22,76
2023-01-29,74
2023-02-05,76
2023-02-12,78
2023-02-19,72
2023-02-26,80
2023-03-05,75
2023-03-12,71
2023-03-19,70
2023-03-26,74
2023-04-02,89
2023-04-09,79
2023-04-16,79
2023-04-23,71
2023-04-30,68
2023-05-07,73
2023-05-14,66
2023-05-21,73
2023-05-28,70
2023-06-04,73
2023-06-11,74
2023-06-18,77
2023-06-25,83
2023-07-02,78
2023-07-09,78
2023-07-16,78
2023-07-23,76
2023-07-30,74
2023-08-06,79
2023-08-13,82
2023-08-20,83
2023-08-27,82
2023-09-03,76
2023-09-10,65
2023-09-17,67
2023-09-24,74
2023-10-01,71
2023-10-08,67
2023-10-15,65
2023-10-22,72
2023-10-29,71
2023-11-05,82
2023-11-12,89
2023-11-19,100
2023-11-26,85
2023-12-03,82
2023-12-10,89
2023-12-17,98
2023-12-24,89
2023-12-31,81
2024-01-07,76
2024-01-14,72
2024-01-21,71
2024-01-28,73
2024-02-04,76
2024-02-11,76
2024-02-18,73
2024-02-25,74
2024-03-03,73
2024-03-10,66
2024-03-17,73
2024-03-24,85
2024-03-31,86
2024-04-07,77
2024-04-14,64
2024-04-21,65
2024-04-28,70
2024-05-05,70
2024-05-12,69
2024-05-19,62
2024-05-26,66
2024-06-02,72
2024-06-09,75
2024-06-16,72
2024-06-23,68
2024-06-30,73
2024-07-07,78
2024-07-14,74
2024-07-21,73
2024-07-28,75
2024-08-04,75
2024-08-11,80
2024-08-18,75
2024-08-25,71
2024-09-01,72
2024-09-08,72
2024-09-15,61
2024-09-22,60
2024-09-29,67
2024-10-06,75
2024-10-13,69
2024-10-20,72
2024-10-27,72
2024-11-03,79
2024-11-10,81
2024-11-17,89
2024-11-24,99
2024-12-01,84
2024-12-08,80
2024-12-15,86
2024-12-22,85
2024-12-29,81
2025-01-05,74
2025-01-12,72
2025-01-19,70
2025-01-26,73
2025-02-02,72
2025-02-09,64
2025-02-16,71
2025-02-23,70
2025-03-02,70
2025-03-09,74
2025-03-16,76
2025-03-23,78
2025-03-30,74
2025-04-06,69
2025-04-13,57
2025-04-20,63
2025-04-27,57
2025-05-04,61
2025-05-11,61
2025-05-18,66
2025-05-25,64
2025-06-01,71
2025-06-08,65
2025-06-15,67
2025-06-22,68
2025-06-29,70
2025-07-06,66
2025-07-13,69
2025-07-20,69
2025-07-27,72
2025-08-03,74
2025-08-10,70
2025-08-17,68
2025-08-24,69
2025-08-31,65
2025-09-07,62
2025-09-14,59
2025-09-21,66
2025-09-28,65
2025-10-05,59
2025-10-12,66
2025-10-19,72
2025-10-26,64
2025-11-02,74
2025-11-09,71
2025-11-16,67
2025-11-23,66
2025-11-30,60
2025-12-07,73
2025-12-14,79
2025-12-21,82
2025-12-28,79
