,Footwear
2014-12-28,29
2015-01-04,37
2015-01-11,33
2015-01-18,53
2015-01-25,36
2015-02-01,58
2015-02-08,53
2015-02-15,51
2015-02-22,43
2015-03-01,39
2015-03-08,55
2015-03-15,47
2015-03-22,35
2015-03-29,46
2015-04-05,57
2015-04-12,55
2015-04-19,61
2015-04-26,40
2015-05-03,57
2015-05-10,46
2015-05-17,46
2015-05-24,62
2015-05-31,67
2015-06-07,48
2015-06-14,37
2015-06-21,21
2015-06-28,49
2015-07-05,53
2015-07-12,56
2015-07-19,49
2015-07-26,54
2015-08-02,62
2015-08-09,59
2015-08-16,51
2015-08-23,56
2015-08-30,53
2015-09-06,55
2015-09-13,66
2015-09-20,49
2015-09-27,44
2015-10-04,52
2015-10-11,63
2015-10-18,48
2015-10-25,62
2015-11-01,42
2015-11-08,62
2015-11-15,56
2015-11-22,45
2015-11-29,48
2015-12-06,51
2015-12-13,51
2015-12-20,65
2015-12-27,66
2016-01-03,56
2016-01-10,58
2016-01-17,45
2016-01-24,64
2016-01-31,58
2016-02-07,63
2016-02-14,30
2016-02-21,49
2016-02-28,66
2016-03-06,70
2016-03-13,58
2016-03-20,53
2016-03-27,55
2016-04-03,56
2016-04-10,66
2016-04-17,60
2016-04-24,43
2016-05-01,55
2016-05-08,64
2016-05-15,48
2016-05-22,74
2016-05-29,57
2016-06-05,51
2016-06-12,65
2016-06-19,48
2016-06-26,76
2016-07-03,61
2016-07-10,70
2016-07-17,63
2016-07-24,65
2016-07-31,94
2016-08-07,58
2016-08-14,81
2016-08-21,64
2016-08-28,44
2016-09-04,53
2016-09-11,39
2016-09-18,19
2016-09-25,27
2016-10-02,23
2016-10-09,0
2016-10-16,41
2016-10-23,0
2016-10-30,28
2016-11-06,25
2016-11-13,0
2016-11-20,24
2016-11-27,0
2016-12-04,16
2016-12-11,24
2016-12-18,24
2016-12-25,17
2017-01-01,0
2017-01-08,25
2017-01-15,30
2017-01-22,0
2017-01-29,29
2017-02-05,64
2017-02-12,57
2017-02-19,51
2017-02-26,45
2017-03-05,47
2017-03-12,56
2017-03-19,64
2017-03-26,63
2017-04-02,67
2017-04-09,70
2017-04-16,59
2017-04-23,46
2017-04-30,53
2017-05-07,44
2017-05-14,51
2017-05-21,47
2017-05-28,41
2017-06-04,46
2017-06-11,33
2017-06-18,39
2017-06-25,49
2017-07-02,52
2017-07-09,62
2017-07-16,68
2017-07-23,38
2017-07-30,47
2017-08-06,39
2017-08-13,47
2017-08-20,69
2017-08-27,43
2017-09-03,47
2017-09-10,53
2017-09-17,44
2017-09-24,48
2017-10-01,38
2017-10-08,47
2017-10-15,36
2017-10-22,57
2017-10-29,47
2017-11-05,59
2017-11-12,53
2017-11-19,58
2017-11-26,62
2017-12-03,32
2017-12-10,56
2017-12-17,66
2017-12-24,68
2017-12-31,66
2018-01-07,46
2018-01-14,52
2018-01-21,65
2018-01-28,51
2018-02-04,51
2018-02-11,73
2018-02-18,63
2018-02-25,57
2018-03-04,63
2018-03-11,68
2018-03-18,67
2018-03-25,75
2018-04-01,72
2018-04-08,66
2018-04-15,57
2018-04-22,56
2018-04-29,55
2018-05-06,68
2018-05-13,53
2018-05-20,50
2018-05-27,52
2018-06-03,49
2018-06-10,43
2018-06-17,60
2018-06-24,49
2018-07-01,52
2018-07-08,66
2018-07-15,78
2018-07-22,68
2018-07-29,71
2018-08-05,56
2018-08-12,73
2018-08-19,46
2018-08-26,64
2018-09-02,45
2018-09-09,60
2018-09-16,58
2018-09-23,55
2018-09-30,75
2018-10-07,84
2018-10-14,77
2018-10-21,61
2018-10-28,73
2018-11-04,61
2018-11-11,54
2018-11-18,81
2018-11-25,69
2018-12-02,54
2018-12-09,76
2018-12-16,68
2018-12-23,99
2018-12-30,81
2019-01-06,76
2019-01-13,73
2019-01-20,82
2019-01-27,73
2019-02-03,66
2019-02-10,82
2019-02-17,78
2019-02-24,79
2019-03-03,76
2019-03-10,85
2019-03-17,83
2019-03-24,71
2019-03-31,61
2019-04-07,61
2019-04-14,72
2019-04-21,81
2019-04-28,70
2019-05-05,46
2019-05-12,51
2019-05-19,71
2019-05-26,76
2019-06-02,72
2019-06-09,100
2019-06-16,63
2019-06-23,75
2019-06-30,69
2019-07-07,89
2019-07-14,77
2019-07-21,68
2019-07-28,83
2019-08-04,67
2019-08-11,62
2019-08-18,81
2019-08-25,81
2019-09-01,66
2019-09-08,67
2019-09-15,72
2019-09-22,65
2019-09-29,58
2019-10-06,69
2019-10-13,74
2019-10-20,78
2019-10-27,79
2019-11-03,66
2019-11-10,75
2019-11-17,56
2019-11-24,79
2019-12-01,61
2019-12-08,84
2019-12-15,70
2019-12-22,92
2019-12-29,93
2020-01-05,75
