,Home Appliances
2023-01-01,39
2023-01-08,43
2023-01-15,51
2023-01-22,48
2023-01-29,41
2023-02-05,36
2023-02-12,53
2023-02-19,53
2023-02-26,45
2023-03-05,64
2023-03-12,65
2023-03-19,55
2023-03-26,48
2023-04-02,39
2023-04-09,45
2023-04-16,42
2023-04-23,39
2023-04-30,46
2023-05-07,46
2023-05-14,37
2023-05-21,42
2023-05-28,50
2023-06-04,59
2023-06-11,43
2023-06-18,34
2023-06-25,35
2023-07-02,33
2023-07-09,46
2023-07-16,39
2023-07-23,47
2023-07-30,44
2023-08-06,52
2023-08-13,43
2023-08-20,53
2023-08-27,45
2023-09-03,53
2023-09-10,47
2023-09-17,44
2023-09-24,35
2023-10-01,58
2023-10-08,64
2023-10-15,50
2023-10-22,58
2023-10-29,60
2023-11-05,48
2023-11-12,46
2023-11-19,51
2023-11-26,58
2023-12-03,51
2023-12-10,47
2023-12-17,49
2023-12-24,54
2023-12-31,55
2024-01-07,59
2024-01-14,63
2024-01-21,54
2024-01-28,64
2024-02-04,71
2024-02-11,100
2024-02-18,69
2024-02-25,69
2024-03-03,70
2024-03-10,67
2024-03-17,68
2024-03-24,58
2024-03-31,55
2024-04-07,47
2024-04-14,43
2024-04-21,54
2024-04-28,60
2024-05-05,49
2024-05-12,54
2024-05-19,54
2024-05-26,49
2024-06-02,55
2024-06-09,55
2024-06-16,56
2024-06-23,59
2024-06-30,56
2024-07-07,55
2024-07-14,51
2024-07-21,58
2024-07-28,64
2024-08-04,54
2024-08-11,49
2024-08-18,69
2024-08-25,60
2024-09-01,56
2024-09-08,53
2024-09-15,55
2024-09-22,55
2024-09-29,46
2024-10-06,65
2024-10-13,58
2024-10-20,56
2024-10-27,62
2024-11-03,62
2024-11-10,50
2024-11-17,57
2024-11-24,63
2024-12-01,63
2024-12-08,55
2024-12-15,59
2024-12-22,62
2024-12-29,60
2025-01-05,61
2025-01-12,63
2025-01-19,61
2025-01-26,63
2025-02-02,72
2025-02-09,75
2025-02-16,69
2025-02-23,77
2025-03-02,58
2025-03-09,69
2025-03-16,59
2025-03-23,48
2025-03-30,58
2025-04-06,59
2025-04-13,48
2025-04-20,61
2025-04-27,55
2025-05-04,50
2025-05-11,51
2025-05-18,41
2025-05-25,57
2025-06-01,56
2025-06-08,47
2025-06-15,48
2025-06-22,53
2025-06-29,52
2025-07-06,69
2025-07-13,43
2025-07-20,44
2025-07-27,46
2025-08-03,60
2025-08-10,60
2025-08-17,62
2025-08-24,55
2025-08-31,63
2025-09-07,60
2025-09-14,57
2025-09-21,51
2025-09-28,49
2025-10-05,54
2025-10-12,59
2025-10-19,51
2025-10-26,58
2025-11-02,58
2025-11-09,59
2025-11-16,64
2025-11-23,62
2025-11-30,58
2025-12-07,58
2025-12-14,58
2025-12-21,63
2025-12-28,59
2026-01-04,71
