,Business & Industrial
2023-01-01,66
2023-01-08,67
2023-01-15,66
2023-01-22,75
2023-01-29,69
2023-02-05,73
2023-02-12,76
2023-02-19,73
2023-02-26,84
2023-03-05,73
2023-03-12,72
2023-03-19,71
2023-03-26,69
2023-04-02,65
2023-04-09,73
2023-04-16,61
2023-04-23,65
2023-04-30,71
2023-05-07,70
2023-05-14,75
2023-05-21,69
2023-05-28,73
2023-06-04,68
2023-06-11,70
2023-06-18,76
2023-06-25,52
2023-07-02,64
2023-07-09,67
2023-07-16,68
2023-07-23,60
2023-07-30,69
2023-08-06,74
2023-08-13,83
2023-08-20,85
2023-08-27,82
2023-09-03,75
2023-09-10,71
2023-09-17,78
2023-09-24,70
2023-10-01,68
2023-10-08,73
2023-10-15,75
2023-10-22,75
2023-10-29,77
2023-11-05,76
2023-11-12,79
2023-11-19,80
2023-11-26,81
2023-12-03,85
2023-12-10,81
2023-12-17,85
2023-12-24,80
2023-12-31,77
2024-01-07,79
2024-01-14,83
2024-01-21,88
2024-01-28,91
2024-02-04,85
2024-02-11,93
2024-02-18,82
2024-02-25,89
2024-03-03,89
2024-03-10,78
2024-03-17,80
2024-03-24,87
2024-03-31,85
2024-04-07,72
2024-04-14,83
2024-04-21,77
2024-04-28,78
2024-05-05,79
2024-05-12,81
2024-05-19,83
2024-05-26,85
2024-06-02,82
2024-06-09,78
2024-06-16,68
2024-06-23,87
2024-06-30,84
2024-07-07,85
2024-07-14,92
2024-07-21,87
2024-07-28,99
2024-08-04,88
2024-08-11,98
2024-08-18,90
2024-08-25,86
2024-09-01,90
2024-09-08,80
2024-09-15,84
2024-09-22,84
2024-09-29,81
2024-10-06,90
2024-10-13,90
2024-10-20,86
2024-10-27,90
2024-11-03,86
2024-11-10,84
2024-11-17,86
2024-11-24,90
2024-12-01,86
2024-12-08,92
2024-12-15,88
2024-12-22,100
2024-12-29,89
2025-01-05,91
2025-01-12,89
2025-01-19,87
2025-01-26,90
2025-02-02,91
2025-02-09,86
2025-02-16,84
2025-02-23,82
2025-03-02,76
2025-03-09,82
2025-03-16,81
2025-03-23,73
2025-03-30,83
2025-04-06,88
2025-04-13,97
2025-04-20,91
2025-04-27,90
2025-05-04,94
2025-05-11,93
2025-05-18,90
2025-05-25,87
2025-06-01,86
2025-06-08,88
2025-06-15,91
2025-06-22,90
2025-06-29,88
2025-07-06,97
2025-07-13,82
2025-07-20,79
2025-07-27,88
2025-08-03,95
2025-08-10,90
2025-08-17,94
2025-08-24,85
2025-08-31,85
2025-09-07,79
2025-09-14,82
2025-09-21,76
2025-09-28,87
2025-10-05,82
2025-10-12,90
2025-10-19,86
2025-10-26,80
2025-11-02,87
2025-11-09,84
2025-11-16,87
2025-11-23,87
2025-11-30,85
2025-12-07,87
2025-12-14,84
2025-12-21,87
2025-12-28,84
2026-01-04,85
