,Business & Industrial
2014-12-28,60
2015-01-04,58
2015-01-11,67
2015-01-18,67
2015-01-25,70
2015-02-01,73
2015-02-08,78
2015-02-15,77
2015-02-22,73
2015-03-01,71
2015-03-08,75
2015-03-15,73
2015-03-22,69
2015-03-29,76
2015-04-05,80
2015-04-12,73
2015-04-19,77
2015-04-26,74
2015-05-03,72
2015-05-10,71
2015-05-17,72
2015-05-24,67
2015-05-31,69
2015-06-07,65
2015-06-14,58
2015-06-21,66
2015-06-28,67
2015-07-05,69
2015-07-12,68
2015-07-19,65
2015-07-26,61
2015-08-02,86
2015-08-09,81
2015-08-16,84
2015-08-23,75
2015-08-30,72
2015-09-06,77
2015-09-13,72
2015-09-20,53
2015-09-27,74
2015-10-04,77
2015-10-11,79
2015-10-18,73
2015-10-25,80
2015-11-01,74
2015-11-08,75
2015-11-15,74
2015-11-22,69
2015-11-29,69
2015-12-06,63
2015-12-13,64
2015-12-20,69
2015-12-27,71
2016-01-03,67
2016-01-10,71
2016-01-17,79
2016-01-24,77
2016-01-31,79
2016-02-07,82
2016-02-14,86
2016-02-21,79
2016-02-28,84
2016-03-06,88
2016-03-13,83
2016-03-20,81
2016-03-27,87
2016-04-03,86
2016-04-10,87
2016-04-17,80
2016-04-24,85
2016-05-01,85
2016-05-08,87
2016-05-15,88
2016-05-22,84
2016-05-29,76
2016-06-05,67
2016-06-12,77
2016-06-19,86
2016-06-26,79
2016-07-03,70
2016-07-10,93
2016-07-17,92
2016-07-24,81
2016-07-31,94
2016-08-07,70
2016-08-14,95
2016-08-21,94
2016-08-28,59
2016-09-04,80
2016-09-11,66
2016-09-18,48
2016-09-25,32
2016-10-02,29
2016-10-09,31
2016-10-16,33
2016-10-23,33
2016-10-30,32
2016-11-06,32
2016-11-13,32
2016-11-20,32
2016-11-27,31
2016-12-04,31
2016-12-11,30
2016-12-18,31
2016-12-25,29
2017-01-01,31
2017-01-08,32
2017-01-15,33
2017-01-22,38
2017-01-29,47
2017-02-05,80
2017-02-12,88
2017-02-19,86
2017-02-26,85
2017-03-05,80
2017-03-12,77
2017-03-19,79
2017-03-26,81
2017-04-02,83
2017-04-09,89
2017-04-16,83
2017-04-23,83
2017-04-30,81
2017-05-07,77
2017-05-14,72
2017-05-21,67
2017-05-28,59
2017-06-04,65
2017-06-11,64
2017-06-18,60
2017-06-25,49
2017-07-02,78
2017-07-09,75
2017-07-16,84
2017-07-23,69
2017-07-30,79
2017-08-06,78
2017-08-13,78
2017-08-20,74
2017-08-27,61
2017-09-03,65
2017-09-10,76
2017-09-17,69
2017-09-24,78
2017-10-01,75
2017-10-08,79
2017-10-15,82
2017-10-22,79
2017-10-29,79
2017-11-05,78
2017-11-12,79
2017-11-19,75
2017-11-26,74
2017-12-03,69
2017-12-10,68
2017-12-17,69
2017-12-24,71
2017-12-31,67
2018-01-07,73
2018-01-14,78
2018-01-21,74
2018-01-28,78
2018-02-04,79
2018-02-11,83
2018-02-18,84
2018-02-25,85
2018-03-04,84
2018-03-11,85
2018-03-18,89
2018-03-25,85
2018-04-01,89
2018-04-08,92
2018-04-15,90
2018-04-22,84
2018-04-29,84
2018-05-06,82
2018-05-13,64
2018-05-20,70
2018-05-27,69
2018-06-03,68
2018-06-10,59
2018-06-17,64
2018-06-24,84
2018-07-01,82
2018-07-08,78
2018-07-15,81
2018-07-22,79
2018-07-29,80
2018-08-05,84
2018-08-12,83
2018-08-19,59
2018-08-26,80
2018-09-02,82
2018-09-09,80
2018-09-16,77
2018-09-23,76
2018-09-30,86
2018-10-07,88
2018-10-14,90
2018-10-21,94
2018-10-28,90
2018-11-04,82
2018-11-11,78
2018-11-18,71
2018-11-25,75
2018-12-02,76
2018-12-09,78
2018-12-16,80
2018-12-23,91
2018-12-30,80
2019-01-06,83
2019-01-13,81
2019-01-20,82
2019-01-27,94
2019-02-03,91
2019-02-10,92
2019-02-17,99
2019-02-24,100
2019-03-03,95
2019-03-10,85
2019-03-17,98
2019-03-24,95
2019-03-31,86
2019-04-07,83
2019-04-14,88
2019-04-21,88
2019-04-28,80
2019-05-05,70
2019-05-12,75
2019-05-19,73
2019-05-26,77
2019-06-02,69
2019-06-09,88
2019-06-16,92
2019-06-23,91
2019-06-30,91
2019-07-07,90
2019-07-14,92
2019-07-21,90
2019-07-28,85
2019-08-04,82
2019-08-11,68
2019-08-18,87
2019-08-25,84
2019-09-01,84
2019-09-08,91
2019-09-15,86
2019-09-22,86
2019-09-29,86
2019-10-06,86
2019-10-13,90
2019-10-20,91
2019-10-27,85
2019-11-03,84
2019-11-10,81
2019-11-17,88
2019-11-24,82
2019-12-01,85
2019-12-08,81
2019-12-15,84
2019-12-22,89
2019-12-29,78
2020-01-05,87
