,Shopping
2023-01-01,74
2023-01-08,70
2023-01-15,72
2023-01-22,75
2023-01-29,75
2023-02-05,75
2023-02-12,77
2023-02-19,74
2023-02-26,74
2023-03-05,73
2023-03-12,74
2023-03-19,77
2023-03-26,75
2023-04-02,76
2023-04-09,76
2023-04-16,71
2023-04-23,74
2023-04-30,72
2023-05-07,77
2023-05-14,79
2023-05-21,77
2023-05-28,75
2023-06-04,77
2023-06-11,79
2023-06-18,77
2023-06-25,79
2023-07-02,77
2023-07-09,77
2023-07-16,80
2023-07-23,78
2023-07-30,89
2023-08-06,89
2023-08-13,100
2023-08-20,86
2023-08-27,77
2023-09-03,77
2023-09-10,74
2023-09-17,73
2023-09-24,76
2023-10-01,80
2023-10-08,70
2023-10-15,81
2023-10-22,75
2023-10-29,73
2023-11-05,75
2023-11-12,75
2023-11-19,76
2023-11-26,76
2023-12-03,75
2023-12-10,84
2023-12-17,92
2023-12-24,87
2023-12-31,85
2024-01-07,79
2024-01-14,70
2024-01-21,76
2024-01-28,78
2024-02-04,77
2024-02-11,78
2024-02-18,76
2024-02-25,74
2024-03-03,74
2024-03-10,71
2024-03-17,77
2024-03-24,83
2024-03-31,76
2024-04-07,76
2024-04-14,73
2024-04-21,76
2024-04-28,78
2024-05-05,80
2024-05-12,77
2024-05-19,75
2024-05-26,76
2024-06-02,76
2024-06-09,79
2024-06-16,74
2024-06-23,78
2024-06-30,97
2024-07-07,88
2024-07-14,97
2024-07-21,86
2024-07-28,79
2024-08-04,79
2024-08-11,83
2024-08-18,76
2024-08-25,76
2024-09-01,79
2024-09-08,78
2024-09-15,70
2024-09-22,67
2024-09-29,74
2024-10-06,80
2024-10-13,78
2024-10-20,80
2024-10-27,82
2024-11-03,77
2024-11-10,78
2024-11-17,82
2024-11-24,91
2024-12-01,80
2024-12-08,85
2024-12-15,86
2024-12-22,87
2024-12-29,87
2025-01-05,78
2025-01-12,78
2025-01-19,79
2025-01-26,77
2025-02-02,75
2025-02-09,77
2025-02-16,78
2025-02-23,79
2025-03-02,78
2025-03-09,78
2025-03-16,81
2025-03-23,83
2025-03-30,83
2025-04-06,81
2025-04-13,73
2025-04-20,79
2025-04-27,75
2025-05-04,75
2025-05-11,72
2025-05-18,78
2025-05-25,75
2025-06-01,77
2025-06-08,75
2025-06-15,77
2025-06-22,76
2025-06-29,77
2025-07-06,76
2025-07-13,78
2025-07-20,78
2025-07-27,75
2025-08-03,79
2025-08-10,81
2025-08-17,76
2025-08-24,74
2025-08-31,77
2025-09-07,76
2025-09-14,74
2025-09-21,73
2025-09-28,74
2025-10-05,77
2025-10-12,78
2025-10-19,78
2025-10-26,74
2025-11-02,78
2025-11-09,81
2025-11-16,80
2025-11-23,74
2025-11-30,67
