,Shopping
2014-12-28,79
2015-01-04,73
2015-01-11,77
2015-01-18,75
2015-01-25,78
2015-02-01,75
2015-02-08,78
2015-02-15,78
2015-02-22,76
2015-03-01,82
2015-03-08,78
2015-03-15,76
2015-03-22,76
2015-03-29,86
2015-04-05,86
2015-04-12,82
2015-04-19,84
2015-04-26,85
2015-05-03,88
2015-05-10,86
2015-05-17,80
2015-05-24,79
2015-05-31,78
2015-06-07,70
2015-06-14,61
2015-06-21,73
2015-06-28,80
2015-07-05,90
2015-07-12,90
2015-07-19,87
2015-07-26,82
2015-08-02,93
2015-08-09,92
2015-08-16,93
2015-08-23,89
2015-08-30,88
2015-09-06,93
2015-09-13,83
2015-09-20,72
2015-09-27,89
2015-10-04,92
2015-10-11,88
2015-10-18,86
2015-10-25,86
2015-11-01,86
2015-11-08,94
2015-11-15,88
2015-11-22,84
2015-11-29,84
2015-12-06,85
2015-12-13,82
2015-12-20,86
2015-12-27,92
2016-01-03,91
2016-01-10,86
2016-01-17,84
2016-01-24,83
2016-01-31,88
2016-02-07,88
2016-02-14,85
2016-02-21,75
2016-02-28,86
2016-03-06,84
2016-03-13,86
2016-03-20,84
2016-03-27,84
2016-04-03,90
2016-04-10,87
2016-04-17,90
2016-04-24,91
2016-05-01,92
2016-05-08,98
2016-05-15,88
2016-05-22,84
2016-05-29,83
2016-06-05,73
2016-06-12,83
2016-06-19,91
2016-06-26,89
2016-07-03,87
2016-07-10,98
2016-07-17,97
2016-07-24,91
2016-07-31,100
2016-08-07,69
2016-08-14,97
2016-08-21,97
2016-08-28,60
2016-09-04,88
2016-09-11,77
2016-09-18,46
2016-09-25,31
2016-10-02,35
2016-10-09,31
2016-10-16,30
2016-10-23,29
2016-10-30,30
2016-11-06,29
2016-11-13,34
2016-11-20,30
2016-11-27,29
2016-12-04,32
2016-12-11,33
2016-12-18,31
2016-12-25,35
2017-01-01,34
2017-01-08,31
2017-01-15,33
2017-01-22,32
2017-01-29,44
2017-02-05,80
2017-02-12,79
2017-02-19,78
2017-02-26,75
2017-03-05,76
2017-03-12,83
2017-03-19,80
2017-03-26,82
2017-04-02,80
2017-04-09,85
2017-04-16,83
2017-04-23,80
2017-04-30,84
2017-05-07,83
2017-05-14,68
2017-05-21,62
2017-05-28,62
2017-06-04,64
2017-06-11,67
2017-06-18,62
2017-06-25,56
2017-07-02,69
2017-07-09,73
2017-07-16,78
2017-07-23,63
2017-07-30,72
2017-08-06,73
2017-08-13,77
2017-08-20,70
2017-08-27,58
2017-09-03,57
2017-09-10,66
2017-09-17,65
2017-09-24,71
2017-10-01,78
2017-10-08,69
2017-10-15,70
2017-10-22,71
2017-10-29,75
2017-11-05,77
2017-11-12,81
2017-11-19,82
2017-11-26,75
2017-12-03,76
2017-12-10,71
2017-12-17,72
2017-12-24,81
2017-12-31,76
2018-01-07,72
2018-01-14,71
2018-01-21,71
2018-01-28,74
2018-02-04,70
2018-02-11,79
2018-02-18,78
2018-02-25,74
2018-03-04,75
2018-03-11,78
2018-03-18,78
2018-03-25,78
2018-04-01,82
2018-04-08,80
2018-04-15,82
2018-04-22,82
2018-04-29,85
2018-05-06,78
2018-05-13,64
2018-05-20,67
2018-05-27,67
2018-06-03,68
2018-06-10,68
2018-06-17,69
2018-06-24,72
2018-07-01,78
2018-07-08,73
2018-07-15,78
2018-07-22,76
2018-07-29,74
2018-08-05,80
2018-08-12,75
2018-08-19,63
2018-08-26,72
2018-09-02,71
2018-09-09,75
2018-09-16,73
2018-09-23,70
2018-09-30,85
2018-10-07,83
2018-10-14,78
2018-10-21,83
2018-10-28,82
2018-11-04,78
2018-11-11,75
2018-11-18,79
2018-11-25,74
2018-12-02,70
2018-12-09,77
2018-12-16,77
2018-12-23,88
2018-12-30,83
2019-01-06,79
2019-01-13,76
2019-01-20,78
2019-01-27,81
2019-02-03,78
2019-02-10,81
2019-02-17,81
2019-02-24,81
2019-03-03,77
2019-03-10,77
2019-03-17,83
2019-03-24,81
2019-03-31,77
2019-04-07,75
2019-04-14,82
2019-04-21,77
2019-04-28,73
2019-05-05,65
2019-05-12,70
2019-05-19,71
2019-05-26,71
2019-06-02,69
2019-06-09,80
2019-06-16,77
2019-06-23,78
2019-06-30,77
2019-07-07,78
2019-07-14,80
2019-07-21,75
2019-07-28,73
2019-08-04,70
2019-08-11,66
2019-08-18,77
2019-08-25,74
2019-09-01,72
2019-09-08,74
2019-09-15,69
2019-09-22,72
2019-09-29,77
2019-10-06,75
2019-10-13,74
2019-10-20,77
2019-10-27,74
2019-11-03,79
2019-11-10,74
2019-11-17,77
2019-11-24,77
2019-12-01,72
2019-12-08,76
2019-12-15,78
2019-12-22,86
2019-12-29,82
2020-01-05,81
