,Government
2014-12-28,43
2015-01-04,42
2015-01-11,42
2015-01-18,47
2015-01-25,49
2015-02-01,44
2015-02-08,44
2015-02-15,44
2015-02-22,51
2015-03-01,46
2015-03-08,49
2015-03-15,49
2015-03-22,48
2015-03-29,46
2015-04-05,49
2015-04-12,45
2015-04-19,46
2015-04-26,46
2015-05-03,46
2015-05-10,49
2015-05-17,47
2015-05-24,44
2015-05-31,45
2015-06-07,47
2015-06-14,48
2015-06-21,53
2015-06-28,62
2015-07-05,61
2015-07-12,59
2015-07-19,66
2015-07-26,64
2015-08-02,63
2015-08-09,60
2015-08-16,60
2015-08-23,57
2015-08-30,59
2015-09-06,60
2015-09-13,58
2015-09-20,57
2015-09-27,57
2015-10-04,60
2015-10-11,57
2015-10-18,48
2015-10-25,58
2015-11-01,55
2015-11-08,44
2015-11-15,53
2015-11-22,53
2015-11-29,51
2015-12-06,53
2015-12-13,59
2015-12-20,54
2015-12-27,50
2016-01-03,51
2016-01-10,48
2016-01-17,50
2016-01-24,50
2016-01-31,50
2016-02-07,51
2016-02-14,51
2016-02-21,56
2016-02-28,65
2016-03-06,51
2016-03-13,53
2016-03-20,47
2016-03-27,54
2016-04-03,53
2016-04-10,51
2016-04-17,51
2016-04-24,54
2016-05-01,56
2016-05-08,54
2016-05-15,55
2016-05-22,57
2016-05-29,59
2016-06-05,61
2016-06-12,63
2016-06-19,64
2016-06-26,69
2016-07-03,95
2016-07-10,95
2016-07-17,81
2016-07-24,79
2016-07-31,75
2016-08-07,66
2016-08-14,58
2016-08-21,66
2016-08-28,65
2016-09-04,62
2016-09-11,60
2016-09-18,69
2016-09-25,64
2016-10-02,63
2016-10-09,55
2016-10-16,62
2016-10-23,57
2016-10-30,55
2016-11-06,70
2016-11-13,68
2016-11-20,60
2016-11-27,64
2016-12-04,59
2016-12-11,60
2016-12-18,64
2016-12-25,65
2017-01-01,66
2017-01-08,59
2017-01-15,63
2017-01-22,63
2017-01-29,80
2017-02-05,64
2017-02-12,63
2017-02-19,58
2017-02-26,59
2017-03-05,59
2017-03-12,59
2017-03-19,63
2017-03-26,63
2017-04-02,61
2017-04-09,64
2017-04-16,64
2017-04-23,67
2017-04-30,60
2017-05-07,60
2017-05-14,63
2017-05-21,65
2017-05-28,65
2017-06-04,66
2017-06-11,69
2017-06-18,70
2017-06-25,72
2017-07-02,74
2017-07-09,76
2017-07-16,80
2017-07-23,78
2017-07-30,75
2017-08-06,73
2017-08-13,73
2017-08-20,68
2017-08-27,71
2017-09-03,78
2017-09-10,70
2017-09-17,69
2017-09-24,60
2017-10-01,62
2017-10-08,73
2017-10-15,55
2017-10-22,70
2017-10-29,67
2017-11-05,68
2017-11-12,70
2017-11-19,66
2017-11-26,67
2017-12-03,66
2017-12-10,67
2017-12-17,72
2017-12-24,67
2017-12-31,68
2018-01-07,68
2018-01-14,69
2018-01-21,67
2018-01-28,82
2018-02-04,69
2018-02-11,71
2018-02-18,72
2018-02-25,64
2018-03-04,73
2018-03-11,77
2018-03-18,76
2018-03-25,74
2018-04-01,77
2018-04-08,77
2018-04-15,76
2018-04-22,70
2018-04-29,69
2018-05-06,72
2018-05-13,81
2018-05-20,80
2018-05-27,76
2018-06-03,79
2018-06-10,78
2018-06-17,78
2018-06-24,76
2018-07-01,78
2018-07-08,83
2018-07-15,83
2018-07-22,86
2018-07-29,85
2018-08-05,81
2018-08-12,90
2018-08-19,82
2018-08-26,82
2018-09-02,86
2018-09-09,82
2018-09-16,83
2018-09-23,88
2018-09-30,85
2018-10-07,85
2018-10-14,76
2018-10-21,85
2018-10-28,95
2018-11-04,65
2018-11-11,86
2018-11-18,80
2018-11-25,79
2018-12-02,80
2018-12-09,85
2018-12-16,85
2018-12-23,85
2018-12-30,81
2019-01-06,90
2019-01-13,84
2019-01-20,85
2019-01-27,89
2019-02-03,84
2019-02-10,87
2019-02-17,88
2019-02-24,89
2019-03-03,79
2019-03-10,84
2019-03-17,78
2019-03-24,86
2019-03-31,79
2019-04-07,76
2019-04-14,74
2019-04-21,75
2019-04-28,73
2019-05-05,75
2019-05-12,75
2019-05-19,87
2019-05-26,98
2019-06-02,84
2019-06-09,86
2019-06-16,85
2019-06-23,94
2019-06-30,100
2019-07-07,92
2019-07-14,96
2019-07-21,92
2019-07-28,87
2019-08-04,94
2019-08-11,78
2019-08-18,88
2019-08-25,92
2019-09-01,87
2019-09-08,82
2019-09-15,89
2019-09-22,88
2019-09-29,80
2019-10-06,78
2019-10-13,83
2019-10-20,71
2019-10-27,69
2019-11-03,82
2019-11-10,81
2019-11-17,89
2019-11-24,84
2019-12-01,83
2019-12-08,86
2019-12-15,95
2019-12-22,84
2019-12-29,82
2020-01-05,85
