,Government
2023-01-01,66
2023-01-08,66
2023-01-15,63
2023-01-22,65
2023-01-29,70
2023-02-05,68
2023-02-12,66
2023-02-19,68
2023-02-26,69
2023-03-05,59
2023-03-12,67
2023-03-19,67
2023-03-26,65
2023-04-02,62
2023-04-09,62
2023-04-16,60
2023-04-23,62
2023-04-30,63
2023-05-07,64
2023-05-14,64
2023-05-21,60
2023-05-28,65
2023-06-04,67
2023-06-11,65
2023-06-18,69
2023-06-25,68
2023-07-02,74
2023-07-09,71
2023-07-16,77
2023-07-23,73
2023-07-30,76
2023-08-06,74
2023-08-13,68
2023-08-20,68
2023-08-27,68
2023-09-03,71
2023-09-10,74
2023-09-17,69
2023-09-24,71
2023-10-01,67
2023-10-08,75
2023-10-15,69
2023-10-22,65
2023-10-29,79
2023-11-05,76
2023-11-12,69
2023-11-19,68
2023-11-26,65
2023-12-03,67
2023-12-10,71
2023-12-17,72
2023-12-24,67
2023-12-31,69
2024-01-07,64
2024-01-14,63
2024-01-21,61
2024-01-28,68
2024-02-04,68
2024-02-11,63
2024-02-18,65
2024-02-25,66
2024-03-03,67
2024-03-10,70
2024-03-17,67
2024-03-24,58
2024-03-31,64
2024-04-07,56
2024-04-14,57
2024-04-21,55
2024-04-28,59
2024-05-05,59
2024-05-12,58
2024-05-19,64
2024-05-26,62
2024-06-02,80
2024-06-09,100
2024-06-16,78
2024-06-23,73
2024-06-30,68
2024-07-07,69
2024-07-14,74
2024-07-21,78
2024-07-28,73
2024-08-04,69
2024-08-11,71
2024-08-18,70
2024-08-25,67
2024-09-01,67
2024-09-08,66
2024-09-15,66
2024-09-22,65
2024-09-29,59
2024-10-06,56
2024-10-13,60
2024-10-20,61
2024-10-27,46
2024-11-03,60
2024-11-10,60
2024-11-17,59
2024-11-24,59
2024-12-01,61
2024-12-08,61
2024-12-15,62
2024-12-22,66
2024-12-29,62
2025-01-05,61
2025-01-12,51
2025-01-19,60
2025-01-26,63
2025-02-02,60
2025-02-09,60
2025-02-16,62
2025-02-23,63
2025-03-02,62
2025-03-09,56
2025-03-16,61
2025-03-23,64
2025-03-30,64
2025-04-06,68
2025-04-13,57
2025-04-20,65
2025-04-27,59
2025-05-04,82
2025-05-11,94
2025-05-18,76
2025-05-25,81
2025-06-01,68
2025-06-08,71
2025-06-15,76
2025-06-22,90
2025-06-29,91
2025-07-06,72
2025-07-13,66
2025-07-20,64
2025-07-27,67
2025-08-03,61
2025-08-10,55
2025-08-17,65
2025-08-24,60
2025-08-31,59
2025-09-07,67
2025-09-14,66
2025-09-21,64
2025-09-28,63
2025-10-05,66
2025-10-12,54
2025-10-19,44
2025-10-26,55
2025-11-02,59
2025-11-09,61
2025-11-16,59
2025-11-23,53
2025-11-30,57
2025-12-07,58
2025-12-14,65
2025-12-21,84
2025-12-28,74
2026-01-04,65
