,Luggage
2023-01-01,53
2023-01-08,59
2023-01-15,64
2023-01-22,59
2023-01-29,54
2023-02-05,58
2023-02-12,53
2023-02-19,59
2023-02-26,59
2023-03-05,56
2023-03-12,52
2023-03-19,57
2023-03-26,51
2023-04-02,53
2023-04-09,57
2023-04-16,53
2023-04-23,53
2023-04-30,65
2023-05-07,59
2023-05-14,61
2023-05-21,50
2023-05-28,50
2023-06-04,60
2023-06-11,60
2023-06-18,63
2023-06-25,63
2023-07-02,63
2023-07-09,65
2023-07-16,73
2023-07-23,65
2023-07-30,72
2023-08-06,69
2023-08-13,77
2023-08-20,77
2023-08-27,62
2023-09-03,74
2023-09-10,65
2023-09-17,71
2023-09-24,75
2023-10-01,60
2023-10-08,55
2023-10-15,52
2023-10-22,47
2023-10-29,48
2023-11-05,57
2023-11-12,61
2023-11-19,61
2023-11-26,62
2023-12-03,70
2023-12-10,67
2023-12-17,63
2023-12-24,63
2023-12-31,62
2024-01-07,71
2024-01-14,68
2024-01-21,76
2024-01-28,57
2024-02-04,55
2024-02-11,52
2024-02-18,76
2024-02-25,68
2024-03-03,65
2024-03-10,64
2024-03-17,59
2024-03-24,60
2024-03-31,68
2024-04-07,72
2024-04-14,64
2024-04-21,65
2024-04-28,76
2024-05-05,53
2024-05-12,54
2024-05-19,65
2024-05-26,47
2024-06-02,55
2024-06-09,66
2024-06-16,71
2024-06-23,58
2024-06-30,76
2024-07-07,63
2024-07-14,71
2024-07-21,74
2024-07-28,68
2024-08-04,84
2024-08-11,88
2024-08-18,83
2024-08-25,70
2024-09-01,86
2024-09-08,68
2024-09-15,54
2024-09-22,58
2024-09-29,60
2024-10-06,54
2024-10-13,60
2024-10-20,56
2024-10-27,57
2024-11-03,84
2024-11-10,68
2024-11-17,56
2024-11-24,72
2024-12-01,65
2024-12-08,65
2024-12-15,80
2024-12-22,65
2024-12-29,75
2025-01-05,86
2025-01-12,86
2025-01-19,83
2025-01-26,82
2025-02-02,66
2025-02-09,75
2025-02-16,70
2025-02-23,76
2025-03-02,65
2025-03-09,67
2025-03-16,68
2025-03-23,69
2025-03-30,71
2025-04-06,68
2025-04-13,73
2025-04-20,66
2025-04-27,66
2025-05-04,52
2025-05-11,71
2025-05-18,56
2025-05-25,67
2025-06-01,59
2025-06-08,68
2025-06-15,59
2025-06-22,58
2025-06-29,76
2025-07-06,56
2025-07-13,68
2025-07-20,78
2025-07-27,75
2025-08-03,83
2025-08-10,90
2025-08-17,75
2025-08-24,65
2025-08-31,67
2025-09-07,73
2025-09-14,78
2025-09-21,65
2025-09-28,78
2025-10-05,74
2025-10-12,71
2025-10-19,49
2025-10-26,65
2025-11-02,80
2025-11-09,97
2025-11-16,82
2025-11-23,94
2025-11-30,100
2025-12-07,91
2025-12-14,85
2025-12-21,81
2025-12-28,92
