,Web Hosting & Domain Registration
2014-12-28,71
2015-01-04,65
2015-01-11,57
2015-01-18,67
2015-01-25,57
2015-02-01,64
2015-02-08,65
2015-02-15,66
2015-02-22,65
2015-03-01,62
2015-03-08,66
2015-03-15,65
2015-03-22,67
2015-03-29,66
2015-04-05,68
2015-04-12,64
2015-04-19,63
2015-04-26,60
2015-05-03,62
2015-05-10,65
2015-05-17,62
2015-05-24,62
2015-05-31,62
2015-06-07,66
2015-06-14,67
2015-06-21,76
2015-06-28,85
2015-07-05,81
2015-07-12,80
2015-07-19,84
2015-07-26,83
2015-08-02,81
2015-08-09,77
2015-08-16,80
2015-08-23,73
2015-08-30,76
2015-09-06,80
2015-09-13,77
2015-09-20,76
2015-09-27,76
2015-10-04,78
2015-10-11,80
2015-10-18,70
2015-10-25,72
2015-11-01,72
2015-11-08,57
2015-11-15,73
2015-11-22,70
2015-11-29,76
2015-12-06,70
2015-12-13,74
2015-12-20,75
2015-12-27,74
2016-01-03,70
2016-01-10,67
2016-01-17,71
2016-01-24,68
2016-01-31,77
2016-02-07,70
2016-02-14,67
2016-02-21,69
2016-02-28,68
2016-03-06,71
2016-03-13,71
2016-03-20,56
2016-03-27,64
2016-04-03,65
2016-04-10,68
2016-04-17,67
2016-04-24,65
2016-05-01,67
2016-05-08,64
2016-05-15,63
2016-05-22,65
2016-05-29,66
2016-06-05,66
2016-06-12,76
2016-06-19,83
2016-06-26,86
2016-07-03,74
2016-07-10,72
2016-07-17,73
2016-07-24,68
2016-07-31,72
2016-08-07,70
2016-08-14,62
2016-08-21,74
2016-08-28,78
2016-09-04,69
2016-09-11,69
2016-09-18,74
2016-09-25,68
2016-10-02,68
2016-10-09,62
2016-10-16,72
2016-10-23,67
2016-10-30,59
2016-11-06,66
2016-11-13,67
2016-11-20,67
2016-11-27,71
2016-12-04,69
2016-12-11,69
2016-12-18,75
2016-12-25,69
2017-01-01,74
2017-01-08,71
2017-01-15,76
2017-01-22,74
2017-01-29,73
2017-02-05,100
2017-02-12,87
2017-02-19,73
2017-02-26,72
2017-03-05,70
2017-03-12,72
2017-03-19,79
2017-03-26,77
2017-04-02,78
2017-04-09,80
2017-04-16,76
2017-04-23,75
2017-04-30,71
2017-05-07,72
2017-05-14,70
2017-05-21,75
2017-05-28,70
2017-06-04,72
2017-06-11,78
2017-06-18,82
2017-06-25,75
2017-07-02,88
2017-07-09,83
2017-07-16,77
2017-07-23,74
2017-07-30,77
2017-08-06,70
2017-08-13,72
2017-08-20,75
2017-08-27,70
2017-09-03,75
2017-09-10,80
2017-09-17,77
2017-09-24,68
2017-10-01,74
2017-10-08,77
2017-10-15,59
2017-10-22,75
2017-10-29,76
2017-11-05,76
2017-11-12,73
2017-11-19,74
2017-11-26,72
2017-12-03,74
2017-12-10,74
2017-12-17,76
2017-12-24,74
2017-12-31,76
2018-01-07,84
2018-01-14,83
2018-01-21,71
2018-01-28,76
2018-02-04,75
2018-02-11,75
2018-02-18,80
2018-02-25,68
2018-03-04,77
2018-03-11,79
2018-03-18,97
2018-03-25,95
2018-04-01,84
2018-04-08,78
2018-04-15,79
2018-04-22,77
2018-04-29,76
2018-05-06,77
2018-05-13,74
2018-05-20,76
2018-05-27,76
2018-06-03,74
2018-06-10,76
2018-06-17,77
2018-06-24,88
2018-07-01,87
2018-07-08,86
2018-07-15,82
2018-07-22,85
2018-07-29,86
2018-08-05,91
2018-08-12,81
2018-08-19,84
2018-08-26,92
2018-09-02,91
2018-09-09,90
2018-09-16,91
2018-09-23,94
2018-09-30,86
2018-10-07,86
2018-10-14,78
2018-10-21,84
2018-10-28,89
2018-11-04,64
2018-11-11,88
2018-11-18,82
2018-11-25,90
2018-12-02,83
2018-12-09,82
2018-12-16,88
2018-12-23,86
2018-12-30,91
2019-01-06,93
2019-01-13,79
2019-01-20,81
2019-01-27,86
2019-02-03,76
2019-02-10,82
2019-02-17,84
2019-02-24,80
2019-03-03,81
2019-03-10,84
2019-03-17,75
2019-03-24,87
2019-03-31,89
2019-04-07,88
2019-04-14,78
2019-04-21,77
2019-04-28,78
2019-05-05,85
2019-05-12,83
2019-05-19,79
2019-05-26,83
2019-06-02,84
2019-06-09,87
2019-06-16,95
2019-06-23,90
2019-06-30,83
2019-07-07,85
2019-07-14,85
2019-07-21,87
2019-07-28,91
2019-08-04,85
2019-08-11,80
2019-08-18,92
2019-08-25,85
2019-09-01,81
2019-09-08,85
2019-09-15,83
2019-09-22,90
2019-09-29,83
2019-10-06,78
2019-10-13,85
2019-10-20,79
2019-10-27,68
2019-11-03,81
2019-11-10,80
2019-11-17,90
2019-11-24,83
2019-12-01,83
2019-12-08,82
2019-12-15,86
2019-12-22,86
2019-12-29,86
2020-01-05,90
