,Business & Industrial
2023-01-01,77
2023-01-08,79
2023-01-15,78
2023-01-22,76
2023-01-29,89
2023-02-05,87
2023-02-12,81
2023-02-19,82
2023-02-26,83
2023-03-05,70
2023-03-12,79
2023-03-19,79
2023-03-26,77
2023-04-02,78
2023-04-09,79
2023-04-16,76
2023-04-23,82
2023-04-30,77
2023-05-07,77
2023-05-14,78
2023-05-21,83
2023-05-28,78
2023-06-04,81
2023-06-11,91
2023-06-18,86
2023-06-25,79
2023-07-02,92
2023-07-09,91
2023-07-16,90
2023-07-23,83
2023-07-30,87
2023-08-06,88
2023-08-13,82
2023-08-20,100
2023-08-27,86
2023-09-03,82
2023-09-10,85
2023-09-17,81
2023-09-24,87
2023-10-01,83
2023-10-08,82
2023-10-15,78
2023-10-22,69
2023-10-29,77
2023-11-05,72
2023-11-12,68
2023-11-19,84
2023-11-26,81
2023-12-03,83
2023-12-10,88
2023-12-17,91
2023-12-24,87
2023-12-31,85
2024-01-07,86
2024-01-14,84
2024-01-21,79
2024-01-28,85
2024-02-04,83
2024-02-11,82
2024-02-18,81
2024-02-25,85
2024-03-03,85
2024-03-10,85
2024-03-17,80
2024-03-24,71
2024-03-31,77
2024-04-07,72
2024-04-14,71
2024-04-21,74
2024-04-28,77
2024-05-05,75
2024-05-12,79
2024-05-19,77
2024-05-26,82
2024-06-02,76
2024-06-09,80
2024-06-16,81
2024-06-23,76
2024-06-30,83
2024-07-07,85
2024-07-14,87
2024-07-21,87
2024-07-28,85
2024-08-04,83
2024-08-11,81
2024-08-18,82
2024-08-25,81
2024-09-01,82
2024-09-08,80
2024-09-15,81
2024-09-22,87
2024-09-29,79
2024-10-06,81
2024-10-13,77
2024-10-20,81
2024-10-27,63
2024-11-03,72
2024-11-10,73
2024-11-17,73
2024-11-24,73
2024-12-01,76
2024-12-08,74
2024-12-15,76
2024-12-22,80
2024-12-29,78
2025-01-05,77
2025-01-12,68
2025-01-19,71
2025-01-26,77
2025-02-02,75
2025-02-09,70
2025-02-16,73
2025-02-23,70
2025-03-02,69
2025-03-09,64
2025-03-16,75
2025-03-23,75
2025-03-30,80
2025-04-06,76
2025-04-13,74
2025-04-20,81
2025-04-27,82
2025-05-04,79
2025-05-11,89
2025-05-18,82
2025-05-25,84
2025-06-01,82
2025-06-08,87
2025-06-15,90
2025-06-22,95
2025-06-29,87
2025-07-06,85
2025-07-13,87
2025-07-20,78
2025-07-27,76
2025-08-03,77
2025-08-10,69
2025-08-17,81
2025-08-24,74
2025-08-31,71
2025-09-07,76
2025-09-14,73
2025-09-21,73
2025-09-28,61
2025-10-05,71
2025-10-12,68
2025-10-19,56
2025-10-26,66
2025-11-02,70
2025-11-09,67
2025-11-16,71
2025-11-23,65
2025-11-30,69
2025-12-07,68
2025-12-14,71
2025-12-21,68
2025-12-28,66
2026-01-04,69
