,Government
2014-12-28,40
2015-01-04,55
2015-01-11,53
2015-01-18,64
2015-01-25,51
2015-02-01,51
2015-02-08,48
2015-02-15,47
2015-02-22,47
2015-03-01,51
2015-03-08,51
2015-03-15,47
2015-03-22,49
2015-03-29,46
2015-04-05,52
2015-04-12,39
2015-04-19,44
2015-04-26,48
2015-05-03,49
2015-05-10,46
2015-05-17,50
2015-05-24,45
2015-05-31,37
2015-06-07,41
2015-06-14,36
2015-06-21,41
2015-06-28,48
2015-07-05,49
2015-07-12,45
2015-07-19,49
2015-07-26,35
2015-08-02,49
2015-08-09,49
2015-08-16,49
2015-08-23,43
2015-08-30,47
2015-09-06,44
2015-09-13,51
2015-09-20,33
2015-09-27,50
2015-10-04,46
2015-10-11,47
2015-10-18,48
2015-10-25,54
2015-11-01,44
2015-11-08,42
2015-11-15,47
2015-11-22,46
2015-11-29,41
2015-12-06,44
2015-12-13,48
2015-12-20,40
2015-12-27,47
2016-01-03,44
2016-01-10,47
2016-01-17,42
2016-01-24,49
2016-01-31,47
2016-02-07,50
2016-02-14,51
2016-02-21,44
2016-02-28,46
2016-03-06,47
2016-03-13,49
2016-03-20,46
2016-03-27,48
2016-04-03,45
2016-04-10,48
2016-04-17,51
2016-04-24,51
2016-05-01,47
2016-05-08,47
2016-05-15,50
2016-05-22,43
2016-05-29,45
2016-06-05,39
2016-06-12,45
2016-06-19,51
2016-06-26,46
2016-07-03,46
2016-07-10,57
2016-07-17,52
2016-07-24,45
2016-07-31,57
2016-08-07,40
2016-08-14,62
2016-08-21,46
2016-08-28,31
2016-09-04,51
2016-09-11,32
2016-09-18,28
2016-09-25,24
2016-10-02,20
2016-10-09,25
2016-10-16,17
2016-10-23,16
2016-10-30,24
2016-11-06,29
2016-11-13,22
2016-11-20,18
2016-11-27,16
2016-12-04,18
2016-12-11,17
2016-12-18,23
2016-12-25,19
2017-01-01,19
2017-01-08,22
2017-01-15,25
2017-01-22,23
2017-01-29,28
2017-02-05,43
2017-02-12,46
2017-02-19,55
2017-02-26,51
2017-03-05,46
2017-03-12,58
2017-03-19,46
2017-03-26,52
2017-04-02,43
2017-04-09,52
2017-04-16,52
2017-04-23,44
2017-04-30,45
2017-05-07,48
2017-05-14,41
2017-05-21,40
2017-05-28,35
2017-06-04,37
2017-06-11,38
2017-06-18,35
2017-06-25,24
2017-07-02,38
2017-07-09,44
2017-07-16,48
2017-07-23,45
2017-07-30,38
2017-08-06,43
2017-08-13,55
2017-08-20,47
2017-08-27,35
2017-09-03,34
2017-09-10,47
2017-09-17,39
2017-09-24,49
2017-10-01,52
2017-10-08,41
2017-10-15,44
2017-10-22,47
2017-10-29,51
2017-11-05,52
2017-11-12,50
2017-11-19,48
2017-11-26,48
2017-12-03,42
2017-12-10,36
2017-12-17,48
2017-12-24,44
2017-12-31,39
2018-01-07,42
2018-01-14,46
2018-01-21,39
2018-01-28,54
2018-02-04,60
2018-02-11,51
2018-02-18,50
2018-02-25,49
2018-03-04,45
2018-03-11,51
2018-03-18,50
2018-03-25,49
2018-04-01,56
2018-04-08,50
2018-04-15,51
2018-04-22,52
2018-04-29,55
2018-05-06,65
2018-05-13,75
2018-05-20,80
2018-05-27,53
2018-06-03,55
2018-06-10,44
2018-06-17,46
2018-06-24,52
2018-07-01,57
2018-07-08,45
2018-07-15,63
2018-07-22,49
2018-07-29,46
2018-08-05,51
2018-08-12,53
2018-08-19,34
2018-08-26,49
2018-09-02,46
2018-09-09,46
2018-09-16,52
2018-09-23,50
2018-09-30,54
2018-10-07,100
2018-10-14,61
2018-10-21,55
2018-10-28,54
2018-11-04,66
2018-11-11,61
2018-11-18,52
2018-11-25,53
2018-12-02,58
2018-12-09,50
2018-12-16,44
2018-12-23,53
2018-12-30,54
2019-01-06,57
2019-01-13,50
2019-01-20,52
2019-01-27,57
2019-02-03,53
2019-02-10,63
2019-02-17,65
2019-02-24,62
2019-03-03,65
2019-03-10,59
2019-03-17,65
2019-03-24,60
2019-03-31,61
2019-04-07,57
2019-04-14,61
2019-04-21,57
2019-04-28,55
2019-05-05,46
2019-05-12,49
2019-05-19,52
2019-05-26,54
2019-06-02,48
2019-06-09,67
2019-06-16,68
2019-06-23,64
2019-06-30,67
2019-07-07,68
2019-07-14,69
2019-07-21,60
2019-07-28,57
2019-08-04,59
2019-08-11,36
2019-08-18,60
2019-08-25,59
2019-09-01,57
2019-09-08,64
2019-09-15,67
2019-09-22,56
2019-09-29,60
2019-10-06,57
2019-10-13,60
2019-10-20,61
2019-10-27,56
2019-11-03,62
2019-11-10,51
2019-11-17,64
2019-11-24,57
2019-12-01,58
2019-12-08,62
2019-12-15,68
2019-12-22,71
2019-12-29,60
2020-01-05,69
