,Fitness
2014-12-28,27
2015-01-04,26
2015-01-11,26
2015-01-18,26
2015-01-25,25
2015-02-01,25
2015-02-08,26
2015-02-15,27
2015-02-22,26
2015-03-01,25
2015-03-08,27
2015-03-15,28
2015-03-22,28
2015-03-29,28
2015-04-05,29
2015-04-12,27
2015-04-19,26
2015-04-26,27
2015-05-03,26
2015-05-10,27
2015-05-17,27
2015-05-24,26
2015-05-31,29
2015-06-07,31
2015-06-14,42
2015-06-21,50
2015-06-28,42
2015-07-05,43
2015-07-12,39
2015-07-19,39
2015-07-26,40
2015-08-02,39
2015-08-09,38
2015-08-16,38
2015-08-23,36
2015-08-30,38
2015-09-06,40
2015-09-13,38
2015-09-20,38
2015-09-27,37
2015-10-04,38
2015-10-11,37
2015-10-18,33
2015-10-25,35
2015-11-01,32
2015-11-08,27
2015-11-15,33
2015-11-22,33
2015-11-29,35
2015-12-06,34
2015-12-13,37
2015-12-20,36
2015-12-27,35
2016-01-03,36
2016-01-10,35
2016-01-17,35
2016-01-24,32
2016-01-31,36
2016-02-07,36
2016-02-14,37
2016-02-21,37
2016-02-28,35
2016-03-06,36
2016-03-13,36
2016-03-20,36
2016-03-27,39
2016-04-03,37
2016-04-10,36
2016-04-17,36
2016-04-24,37
2016-05-01,39
2016-05-08,39
2016-05-15,36
2016-05-22,39
2016-05-29,40
2016-06-05,44
2016-06-12,45
2016-06-19,59
2016-06-26,45
2016-07-03,45
2016-07-10,44
2016-07-17,47
2016-07-24,47
2016-07-31,46
2016-08-07,45
2016-08-14,42
2016-08-21,47
2016-08-28,45
2016-09-04,45
2016-09-11,48
2016-09-18,50
2016-09-25,46
2016-10-02,47
2016-10-09,41
2016-10-16,45
2016-10-23,41
2016-10-30,39
2016-11-06,41
2016-11-13,40
2016-11-20,43
2016-11-27,45
2016-12-04,43
2016-12-11,45
2016-12-18,47
2016-12-25,47
2017-01-01,48
2017-01-08,46
2017-01-15,50
2017-01-22,50
2017-01-29,53
2017-02-05,60
2017-02-12,54
2017-02-19,51
2017-02-26,50
2017-03-05,47
2017-03-12,54
2017-03-19,59
2017-03-26,52
2017-04-02,50
2017-04-09,53
2017-04-16,47
2017-04-23,57
2017-04-30,49
2017-05-07,47
2017-05-14,49
2017-05-21,51
2017-05-28,50
2017-06-04,50
2017-06-11,56
2017-06-18,76
2017-06-25,55
2017-07-02,58
2017-07-09,60
2017-07-16,59
2017-07-23,57
2017-07-30,58
2017-08-06,56
2017-08-13,56
2017-08-20,54
2017-08-27,54
2017-09-03,52
2017-09-10,52
2017-09-17,54
2017-09-24,52
2017-10-01,49
2017-10-08,49
2017-10-15,40
2017-10-22,47
2017-10-29,52
2017-11-05,53
2017-11-12,54
2017-11-19,50
2017-11-26,52
2017-12-03,54
2017-12-10,53
2017-12-17,54
2017-12-24,57
2017-12-31,54
2018-01-07,53
2018-01-14,55
2018-01-21,53
2018-01-28,57
2018-02-04,55
2018-02-11,55
2018-02-18,57
2018-02-25,53
2018-03-04,57
2018-03-11,57
2018-03-18,60
2018-03-25,66
2018-04-01,61
2018-04-08,57
2018-04-15,54
2018-04-22,54
2018-04-29,57
2018-05-06,57
2018-05-13,57
2018-05-20,60
2018-05-27,69
2018-06-03,63
2018-06-10,66
2018-06-17,88
2018-06-24,70
2018-07-01,67
2018-07-08,68
2018-07-15,65
2018-07-22,70
2018-07-29,72
2018-08-05,68
2018-08-12,69
2018-08-19,71
2018-08-26,71
2018-09-02,76
2018-09-09,75
2018-09-16,76
2018-09-23,76
2018-09-30,78
2018-10-07,82
2018-10-14,73
2018-10-21,76
2018-10-28,78
2018-11-04,64
2018-11-11,75
2018-11-18,72
2018-11-25,76
2018-12-02,77
2018-12-09,68
2018-12-16,71
2018-12-23,79
2018-12-30,78
2019-01-06,74
2019-01-13,69
2019-01-20,69
2019-01-27,68
2019-02-03,71
2019-02-10,70
2019-02-17,69
2019-02-24,66
2019-03-03,75
2019-03-10,76
2019-03-17,68
2019-03-24,74
2019-03-31,71
2019-04-07,67
2019-04-14,70
2019-04-21,68
2019-04-28,69
2019-05-05,68
2019-05-12,64
2019-05-19,68
2019-05-26,73
2019-06-02,71
2019-06-09,76
2019-06-16,100
2019-06-23,76
2019-06-30,77
2019-07-07,74
2019-07-14,77
2019-07-21,76
2019-07-28,75
2019-08-04,70
2019-08-11,67
2019-08-18,73
2019-08-25,72
2019-09-01,68
2019-09-08,75
2019-09-15,71
2019-09-22,72
2019-09-29,67
2019-10-06,62
2019-10-13,69
2019-10-20,65
2019-10-27,59
2019-11-03,70
2019-11-10,71
2019-11-17,75
2019-11-24,68
2019-12-01,66
2019-12-08,64
2019-12-15,64
2019-12-22,73
2019-12-29,68
2020-01-05,66
