,Economy News
2023-01-01,71
2023-01-08,70
2023-01-15,74
2023-01-22,70
2023-01-29,78
2023-02-05,72
2023-02-12,69
2023-02-19,70
2023-02-26,65
2023-03-05,60
2023-03-12,79
2023-03-19,66
2023-03-26,63
2023-04-02,59
2023-04-09,67
2023-04-16,60
2023-04-23,56
2023-04-30,57
2023-05-07,58
2023-05-14,58
2023-05-21,61
2023-05-28,65
2023-06-04,57
2023-06-11,62
2023-06-18,59
2023-06-25,67
2023-07-02,60
2023-07-09,64
2023-07-16,65
2023-07-23,64
2023-07-30,71
2023-08-06,66
2023-08-13,62
2023-08-20,61
2023-08-27,59
2023-09-03,57
2023-09-10,64
2023-09-17,55
2023-09-24,62
2023-10-01,59
2023-10-08,58
2023-10-15,58
2023-10-22,54
2023-10-29,57
2023-11-05,51
2023-11-12,47
2023-11-19,64
2023-11-26,59
2023-12-03,61
2023-12-10,67
2023-12-17,68
2023-12-24,66
2023-12-31,65
2024-01-07,65
2024-01-14,65
2024-01-21,57
2024-01-28,67
2024-02-04,62
2024-02-11,71
2024-02-18,65
2024-02-25,72
2024-03-03,64
2024-03-10,65
2024-03-17,61
2024-03-24,51
2024-03-31,61
2024-04-07,54
2024-04-14,52
2024-04-21,50
2024-04-28,53
2024-05-05,53
2024-05-12,64
2024-05-19,54
2024-05-26,60
2024-06-02,64
2024-06-09,64
2024-06-16,55
2024-06-23,54
2024-06-30,55
2024-07-07,56
2024-07-14,60
2024-07-21,69
2024-07-28,64
2024-08-04,94
2024-08-11,60
2024-08-18,54
2024-08-25,59
2024-09-01,62
2024-09-08,59
2024-09-15,57
2024-09-22,56
2024-09-29,59
2024-10-06,51
2024-10-13,56
2024-10-20,52
2024-10-27,45
2024-11-03,49
2024-11-10,51
2024-11-17,50
2024-11-24,55
2024-12-01,57
2024-12-08,50
2024-12-15,57
2024-12-22,56
2024-12-29,57
2025-01-05,57
2025-01-12,55
2025-01-19,54
2025-01-26,68
2025-02-02,60
2025-02-09,61
2025-02-16,60
2025-02-23,59
2025-03-02,53
2025-03-09,50
2025-03-16,52
2025-03-23,52
2025-03-30,59
2025-04-06,61
2025-04-13,47
2025-04-20,50
2025-04-27,51
2025-05-04,100
2025-05-11,59
2025-05-18,55
2025-05-25,61
2025-06-01,52
2025-06-08,53
2025-06-15,56
2025-06-22,59
2025-06-29,55
2025-07-06,50
2025-07-13,51
2025-07-20,48
2025-07-27,52
2025-08-03,54
2025-08-10,50
2025-08-17,52
2025-08-24,57
2025-08-31,55
2025-09-07,58
2025-09-14,52
2025-09-21,49
2025-09-28,43
2025-10-05,52
2025-10-12,46
2025-10-19,34
2025-10-26,45
2025-11-02,46
2025-11-09,47
2025-11-16,48
2025-11-23,50
2025-11-30,53
2025-12-07,49
2025-12-14,50
2025-12-21,49
2025-12-28,53
2026-01-04,52
