,Welfare & Unemployment
2023-01-01,81
2023-01-08,80
2023-01-15,76
2023-01-22,77
2023-01-29,80
2023-02-05,75
2023-02-12,76
2023-02-19,76
2023-02-26,78
2023-03-05,80
2023-03-12,93
2023-03-19,78
2023-03-26,79
2023-04-02,83
2023-04-09,77
2023-04-16,73
2023-04-23,75
2023-04-30,73
2023-05-07,76
2023-05-14,78
2023-05-21,79
2023-05-28,82
2023-06-04,79
2023-06-11,82
2023-06-18,83
2023-06-25,80
2023-07-02,77
2023-07-09,81
2023-07-16,79
2023-07-23,83
2023-07-30,83
2023-08-06,79
2023-08-13,76
2023-08-20,82
2023-08-27,76
2023-09-03,79
2023-09-10,80
2023-09-17,83
2023-09-24,78
2023-10-01,72
2023-10-08,75
2023-10-15,75
2023-10-22,66
2023-10-29,74
2023-11-05,74
2023-11-12,63
2023-11-19,72
2023-11-26,77
2023-12-03,77
2023-12-10,77
2023-12-17,79
2023-12-24,81
2023-12-31,79
2024-01-07,72
2024-01-14,68
2024-01-21,65
2024-01-28,75
2024-02-04,78
2024-02-11,70
2024-02-18,71
2024-02-25,71
2024-03-03,72
2024-03-10,72
2024-03-17,72
2024-03-24,63
2024-03-31,72
2024-04-07,67
2024-04-14,69
2024-04-21,71
2024-04-28,74
2024-05-05,70
2024-05-12,72
2024-05-19,70
2024-05-26,73
2024-06-02,73
2024-06-09,80
2024-06-16,79
2024-06-23,80
2024-06-30,79
2024-07-07,80
2024-07-14,76
2024-07-21,75
2024-07-28,74
2024-08-04,75
2024-08-11,75
2024-08-18,74
2024-08-25,72
2024-09-01,72
2024-09-08,70
2024-09-15,73
2024-09-22,79
2024-09-29,70
2024-10-06,63
2024-10-13,66
2024-10-20,70
2024-10-27,60
2024-11-03,67
2024-11-10,72
2024-11-17,70
2024-11-24,69
2024-12-01,69
2024-12-08,74
2024-12-15,71
2024-12-22,83
2024-12-29,76
2025-01-05,75
2025-01-12,72
2025-01-19,74
2025-01-26,75
2025-02-02,73
2025-02-09,71
2025-02-16,78
2025-02-23,71
2025-03-02,71
2025-03-09,68
2025-03-16,82
2025-03-23,76
2025-03-30,76
2025-04-06,76
2025-04-13,74
2025-04-20,98
2025-04-27,100
2025-05-04,81
2025-05-11,77
2025-05-18,81
2025-05-25,80
2025-06-01,82
2025-06-08,84
2025-06-15,81
2025-06-22,83
2025-06-29,85
2025-07-06,77
2025-07-13,82
2025-07-20,79
2025-07-27,79
2025-08-03,79
2025-08-10,76
2025-08-17,84
2025-08-24,77
2025-08-31,73
2025-09-07,81
2025-09-14,79
2025-09-21,80
2025-09-28,67
2025-10-05,73
2025-10-12,75
2025-10-19,58
2025-10-26,77
2025-11-02,76
2025-11-09,75
2025-11-16,79
2025-11-23,79
2025-11-30,93
2025-12-07,84
2025-12-14,81
2025-12-21,74
2025-12-28,76
2026-01-04,78
