,Welfare & Unemployment
2023-01-01,49
2023-01-08,45
2023-01-15,37
2023-01-22,36
2023-01-29,40
2023-02-05,42
2023-02-12,31
2023-02-19,41
2023-02-26,40
2023-03-05,43
2023-03-12,35
2023-03-19,35
2023-03-26,27
2023-04-02,23
2023-04-09,22
2023-04-16,27
2023-04-23,30
2023-04-30,34
2023-05-07,42
2023-05-14,45
2023-05-21,45
2023-05-28,41
2023-06-04,41
2023-06-11,35
2023-06-18,90
2023-06-25,86
2023-07-02,69
2023-07-09,63
2023-07-16,48
2023-07-23,48
2023-07-30,40
2023-08-06,42
2023-08-13,47
2023-08-20,39
2023-08-27,39
2023-09-03,62
2023-09-10,55
2023-09-17,51
2023-09-24,42
2023-10-01,51
2023-10-08,42
2023-10-15,45
2023-10-22,37
2023-10-29,54
2023-11-05,40
2023-11-12,51
2023-11-19,44
2023-11-26,48
2023-12-03,60
2023-12-10,56
2023-12-17,49
2023-12-24,39
2023-12-31,43
2024-01-07,49
2024-01-14,49
2024-01-21,40
2024-01-28,49
2024-02-04,43
2024-02-11,48
2024-02-18,39
2024-02-25,43
2024-03-03,45
2024-03-10,52
2024-03-17,38
2024-03-24,44
2024-03-31,40
2024-04-07,36
2024-04-14,41
2024-04-21,43
2024-04-28,43
2024-05-05,42
2024-05-12,50
2024-05-19,39
2024-05-26,57
2024-06-02,70
2024-06-09,81
2024-06-16,60
2024-06-23,79
2024-06-30,73
2024-07-07,100
2024-07-14,93
2024-07-21,88
2024-07-28,76
2024-08-04,75
2024-08-11,61
2024-08-18,69
2024-08-25,67
2024-09-01,64
2024-09-08,60
2024-09-15,35
2024-09-22,38
2024-09-29,46
2024-10-06,53
2024-10-13,48
2024-10-20,44
2024-10-27,46
2024-11-03,38
2024-11-10,38
2024-11-17,37
2024-11-24,60
2024-12-01,67
2024-12-08,55
2024-12-15,44
2024-12-22,47
2024-12-29,52
2025-01-05,53
2025-01-12,47
2025-01-19,50
2025-01-26,46
2025-02-02,41
2025-02-09,39
2025-02-16,44
2025-02-23,37
2025-03-02,48
2025-03-09,42
2025-03-16,48
2025-03-23,33
2025-03-30,33
2025-04-06,39
2025-04-13,26
2025-04-20,36
2025-04-27,62
2025-05-04,68
2025-05-11,61
2025-05-18,76
2025-05-25,61
2025-06-01,61
2025-06-08,42
2025-06-15,49
2025-06-22,41
2025-06-29,65
2025-07-06,66
2025-07-13,66
2025-07-20,46
2025-07-27,50
2025-08-03,64
2025-08-10,64
2025-08-17,45
2025-08-24,55
2025-08-31,40
2025-09-07,42
2025-09-14,44
2025-09-21,52
2025-09-28,38
2025-10-05,40
2025-10-12,38
2025-10-19,38
2025-10-26,61
2025-11-02,48
2025-11-09,48
2025-11-16,63
2025-11-23,46
2025-11-30,45
2025-12-07,49
2025-12-14,43
2025-12-21,44
2025-12-28,45
