,Medical Facilities & Services
2023-01-01,81
2023-01-08,78
2023-01-15,77
2023-01-22,82
2023-01-29,82
2023-02-05,87
2023-02-12,86
2023-02-19,90
2023-02-26,88
2023-03-05,77
2023-03-12,80
2023-03-19,85
2023-03-26,77
2023-04-02,74
2023-04-09,64
2023-04-16,79
2023-04-23,83
2023-04-30,69
2023-05-07,83
2023-05-14,83
2023-05-21,83
2023-05-28,81
2023-06-04,89
2023-06-11,88
2023-06-18,93
2023-06-25,87
2023-07-02,87
2023-07-09,95
2023-07-16,89
2023-07-23,89
2023-07-30,88
2023-08-06,83
2023-08-13,91
2023-08-20,90
2023-08-27,83
2023-09-03,100
2023-09-10,84
2023-09-17,85
2023-09-24,78
2023-10-01,80
2023-10-08,87
2023-10-15,89
2023-10-22,79
2023-10-29,78
2023-11-05,83
2023-11-12,86
2023-11-19,87
2023-11-26,85
2023-12-03,84
2023-12-10,84
2023-12-17,88
2023-12-24,85
2023-12-31,84
2024-01-07,85
2024-01-14,83
2024-01-21,79
2024-01-28,91
2024-02-04,85
2024-02-11,96
2024-02-18,89
2024-02-25,88
2024-03-03,83
2024-03-10,88
2024-03-17,89
2024-03-24,92
2024-03-31,85
2024-04-07,74
2024-04-14,78
2024-04-21,86
2024-04-28,90
2024-05-05,88
2024-05-12,90
2024-05-19,76
2024-05-26,94
2024-06-02,90
2024-06-09,93
2024-06-16,90
2024-06-23,89
2024-06-30,91
2024-07-07,95
2024-07-14,95
2024-07-21,97
2024-07-28,86
2024-08-04,88
2024-08-11,92
2024-08-18,95
2024-08-25,86
2024-09-01,88
2024-09-08,87
2024-09-15,76
2024-09-22,86
2024-09-29,87
2024-10-06,95
2024-10-13,81
2024-10-20,85
2024-10-27,92
2024-11-03,83
2024-11-10,79
2024-11-17,83
2024-11-24,85
2024-12-01,79
2024-12-08,89
2024-12-15,84
2024-12-22,82
2024-12-29,84
2025-01-05,83
2025-01-12,81
2025-01-19,88
2025-01-26,86
2025-02-02,89
2025-02-09,88
2025-02-16,88
2025-02-23,85
2025-03-02,85
2025-03-09,84
2025-03-16,88
2025-03-23,83
2025-03-30,81
2025-04-06,73
2025-04-13,68
2025-04-20,88
2025-04-27,83
2025-05-04,84
2025-05-11,83
2025-05-18,87
2025-05-25,88
2025-06-01,90
2025-06-08,90
2025-06-15,96
2025-06-22,85
2025-06-29,84
2025-07-06,84
2025-07-13,90
2025-07-20,85
2025-07-27,86
2025-08-03,86
2025-08-10,83
2025-08-17,88
2025-08-24,86
2025-08-31,84
2025-09-07,85
2025-09-14,86
2025-09-21,81
2025-09-28,85
2025-10-05,81
2025-10-12,91
2025-10-19,80
2025-10-26,83
2025-11-02,83
2025-11-09,84
2025-11-16,81
2025-11-23,74
2025-11-30,74
2025-12-07,82
2025-12-14,87
2025-12-21,89
2025-12-28,91
