,Fire & Security Services
2014-12-28,23.0
2015-01-04,22.0
2015-01-11,20.0
2015-01-18,21.0
2015-01-25,22.0
2015-02-01,16.0
2015-02-08,15.0
2015-02-15,16.0
2015-02-22,15.0
2015-03-01,14.0
2015-03-08,13.0
2015-03-15,15.0
2015-03-22,12.0
2015-03-29,13.0
2015-04-05,12.0
2015-04-12,9.0
2015-04-19,13.0
2015-04-26,19.0
2015-05-03,17.0
2015-05-10,16.0
2015-05-17,21.0
2015-05-24,17.0
2015-05-31,16.0
2015-06-07,10.0
2015-06-14,10.0
2015-06-21,10.0
2015-06-28,10.0
2015-07-05,10.0
2015-07-12,14.0
2015-07-19,20.0
2015-07-26,22.0
2015-08-02,22.0
2015-08-09,20.0
2015-08-16,28.0
2015-08-23,22.0
2015-08-30,22.0
2015-09-06,21.0
2015-09-13,20.0
2015-09-20,20.0
2015-09-27,17.0
2015-10-04,15.0
2015-10-11,15.0
2015-10-18,14.0
2015-10-25,13.0
2015-11-01,9.0
2015-11-08,9.0
2015-11-15,12.0
2015-11-22,11.0
2015-11-29,10.0
2015-12-06,11.0
2015-12-13,14.0
2015-12-20,10.0
2015-12-27,10.0
2016-01-03,9.0
2016-01-10,9.0
2016-01-17,13.0
2016-01-24,16.0
2016-01-31,18.0
2016-02-07,17.0
2016-02-14,16.0
2016-02-21,16.0
2016-02-28,18.0
2016-03-06,16.0
2016-03-13,19.0
2016-03-20,17.0
2016-03-27,13.0
2016-04-03,12.0
2016-04-10,7.0
2016-04-17,9.0
2016-04-24,11.0
2016-05-01,13.0
2016-05-08,12.0
2016-05-15,12.0
2016-05-22,12.0
2016-05-29,11.0
2016-06-05,14.0
2016-06-12,13.0
2016-06-19,14.0
2016-06-26,14.0
2016-07-03,15.0
2016-07-10,16.0
2016-07-17,18.0
2016-07-24,16.0
2016-07-31,16.0
2016-08-07,16.0
2016-08-14,15.0
2016-08-21,13.0
2016-08-28,11.0
2016-09-04,12.0
2016-09-11,10.0
2016-09-18,13.0
2016-09-25,10.0
2016-10-02,11.0
2016-10-09,11.0
2016-10-16,13.0
2016-10-23,17.0
2016-10-30,19.0
2016-11-06,18.0
2016-11-13,18.0
2016-11-20,19.0
2016-11-27,18.0
2016-12-04,22.0
2016-12-11,18.0
2016-12-18,20.0
2016-12-25,16.0
2017-01-01,18.0
