,Home Furnishings
2014-12-28,56.0
2015-01-04,42.0
2015-01-11,52.0
2015-01-18,58.0
2015-01-25,55.0
2015-02-01,53.0
2015-02-08,60.0
2015-02-15,67.0
2015-02-22,57.0
2015-03-01,59.0
2015-03-08,62.0
2015-03-15,62.0
2015-03-22,64.0
2015-03-29,58.0
2015-04-05,57.0
2015-04-12,44.0
2015-04-19,60.0
2015-04-26,56.0
2015-05-03,60.0
2015-05-10,68.0
2015-05-17,65.0
2015-05-24,66.0
2015-05-31,59.0
2015-06-07,64.0
2015-06-14,63.0
2015-06-21,69.0
2015-06-28,65.0
2015-07-05,63.0
2015-07-12,67.0
2015-07-19,63.0
2015-07-26,61.0
2015-08-02,66.0
2015-08-09,67.0
2015-08-16,54.0
2015-08-23,64.0
2015-08-30,66.0
2015-09-06,71.0
2015-09-13,62.0
2015-09-20,66.0
2015-09-27,61.0
2015-10-04,68.0
2015-10-11,72.0
2015-10-18,66.0
2015-10-25,65.0
2015-11-01,70.0
2015-11-08,70.0
2015-11-15,67.0
2015-11-22,64.0
2015-11-29,68.0
2015-12-06,72.0
2015-12-13,71.0
2015-12-20,68.0
2015-12-27,66.0
2016-01-03,69.0
2016-01-10,67.0
2016-01-17,67.0
2016-01-24,63.0
2016-01-31,65.0
2016-02-07,67.0
2016-02-14,70.0
2016-02-21,62.0
2016-02-28,73.0
2016-03-06,69.0
2016-03-13,70.0
2016-03-20,66.0
2016-03-27,74.0
2016-04-03,69.0
2016-04-10,51.0
2016-04-17,65.0
2016-04-24,67.0
2016-05-01,69.0
2016-05-08,69.0
2016-05-15,66.0
2016-05-22,65.0
2016-05-29,70.0
2016-06-05,74.0
2016-06-12,73.0
2016-06-19,75.0
2016-06-26,70.0
2016-07-03,74.0
2016-07-10,75.0
2016-07-17,78.0
2016-07-24,75.0
2016-07-31,77.0
2016-08-07,75.0
2016-08-14,74.0
2016-08-21,77.0
2016-08-28,75.0
2016-09-04,72.0
2016-09-11,69.0
2016-09-18,82.0
2016-09-25,69.0
2016-10-02,74.0
2016-10-09,77.0
2016-10-16,77.0
2016-10-23,79.0
2016-10-30,74.0
2016-11-06,74.0
2016-11-13,77.0
2016-11-20,73.0
2016-11-27,77.0
2016-12-04,75.0
2016-12-11,82.0
2016-12-18,79.0
2016-12-25,77.0
2017-01-01,76.0
2017-01-08,72.0
2017-01-15,70.0
2017-01-22,79.0
2017-01-29,74.0
2017-02-05,69.0
2017-02-12,72.0
2017-02-19,82.0
2017-02-26,74.0
2017-03-05,74.0
2017-03-12,82.0
2017-03-19,76.0
2017-03-26,82.0
2017-04-02,78.0
2017-04-09,58.0
2017-04-16,70.0
2017-04-23,74.0
2017-04-30,77.0
2017-05-07,64.0
2017-05-14,77.0
2017-05-21,70.0
2017-05-28,73.0
2017-06-04,69.0
2017-06-11,73.0
2017-06-18,73.0
2017-06-25,74.0
2017-07-02,78.0
2017-07-09,80.0
2017-07-16,74.0
2017-07-23,71.0
2017-07-30,73.0
2017-08-06,74.0
2017-08-13,73.0
2017-08-20,73.0
2017-08-27,77.0
2017-09-03,76.0
2017-09-10,77.0
2017-09-17,80.0
2017-09-24,77.0
2017-10-01,76.0
2017-10-08,79.0
2017-10-15,77.0
2017-10-22,74.0
2017-10-29,69.0
2017-11-05,75.0
