,Distribution & Logistics
2022-03-13,98.01271860095387
2022-03-20,81.6772655007949
2022-03-27,87.12241653418123
2022-04-03,98.01271860095387
2022-04-10,49.00635930047694
2022-04-17,81.6772655007949
2022-04-24,65.34181240063592
2022-05-01,87.12241653418123
2022-05-08,87.12241653418123
2022-05-15,65.34181240063592
2022-05-22,174.24483306836245
2022-05-29,544.5151033386327
2022-06-05,332.1542130365659
2022-06-12,228.69634340222572
2022-06-19,168.79968203497612
2022-06-26,212.36089030206674
2022-07-03,223.25119236883938
2022-07-10,364.8251192368839
2022-07-17,288.59300476947533
2022-07-24,343.0445151033386
2022-07-31,190.58028616852144
2022-08-07,130.68362480127183
2022-08-14,92.56756756756755
2022-08-21,108.90302066772654
2022-08-28,98.01271860095387
2022-09-04,92.56756756756755
2022-09-11,81.6772655007949
2022-09-18,65.34181240063592
2022-09-25,98.01271860095387
2022-10-02,87.12241653418123
2022-10-09,49.00635930047694
2022-10-16,92.56756756756755
2022-10-23,87.12241653418123
2022-10-30,119.79332273449918
2022-11-06,81.6772655007949
2022-11-13,87.12241653418123
2022-11-20,87.12241653418123
2022-11-27,103.45786963434021
2022-12-04,92.56756756756755
2022-12-11,65.34181240063592
2022-12-18,65.34181240063592
2022-12-25,87.12241653418123
2023-01-01,103.45786963434021
2023-01-08,98.01271860095387
2023-01-15,87.12241653418123
2023-01-22,114.34817170111286
2023-01-29,103.45786963434021
2023-02-05,70.78696343402224
2023-02-12,87.12241653418123
2023-02-19,87.12241653418123
2023-02-26,76.23211446740858
2023-03-05,103.45786963434021
2023-03-12,103.45786963434021
2023-03-19,92.56756756756755
2023-03-26,103.45786963434021
2023-04-02,70.78696343402224
2023-04-09,59.89666136724959
2023-04-16,98.01271860095387
2023-04-23,92.56756756756755
2023-04-30,70.78696343402224
2023-05-07,98.01271860095387
2023-05-14,65.34181240063592
2023-05-21,81.6772655007949
2023-05-28,70.78696343402224
2023-06-04,108.90302066772654
2023-06-11,114.34817170111286
2023-06-18,81.6772655007949
2023-06-25,108.90302066772654
2023-07-02,103.45786963434021
2023-07-09,103.45786963434021
2023-07-16,70.78696343402224
2023-07-23,92.56756756756755
2023-07-30,103.45786963434021
2023-08-06,70.78696343402224
2023-08-13,98.01271860095387
2023-08-20,103.45786963434021
2023-08-27,98.01271860095387
2023-09-03,103.45786963434021
2023-09-10,103.45786963434021
2023-09-17,87.12241653418123
2023-09-24,92.56756756756755
2023-10-01,92.56756756756755
2023-10-08,103.45786963434021
2023-10-15,81.6772655007949
2023-10-22,70.78696343402224
2023-10-29,87.12241653418123
2023-11-05,81.6772655007949
2023-11-12,76.23211446740858
2023-11-19,92.56756756756755
2023-11-26,76.23211446740858
2023-12-03,87.12241653418123
2023-12-10,70.78696343402224
2023-12-17,87.12241653418123
2023-12-24,81.6772655007949
2023-12-31,108.90302066772654
2024-01-07,122.31000204259229
2024-01-14,110.21340843398427
2024-01-21,98.11681482537624
2024-01-28,104.83714460793625
2024-02-04,116.93373821654428
2024-02-11,102.14901269491224
2024-02-18,94.08461695584023
2024-02-25,99.46088078188824
2024-03-03,124.9981339556163
2024-03-10,94.08461695584023
2024-03-17,96.77274886886423
2024-03-24,110.21340843398427
2024-03-31,65.85923186908816
2024-04-07,49.73044039094412
2024-04-14,73.92362760816017
2024-04-21,75.26769356467219
2024-04-28,103.49307865142424
2024-05-05,98.11681482537624
2024-05-12,104.83714460793625
2024-05-19,68.54736378211217
2024-05-26,115.58967226003227
2024-06-02,110.21340843398427
2024-06-09,96.77274886886423
2024-06-16,102.14901269491224
2024-06-23,83.3320893037442
2024-06-30,108.86934247747226
2024-07-07,111.55747439049627
2024-07-14,94.08461695584023
2024-07-21,116.93373821654428
2024-07-28,124.9981339556163
2024-08-04,98.11681482537624
2024-08-11,122.31000204259229
2024-08-18,95.42868291235223
2024-08-25,110.21340843398427
2024-09-01,115.58967226003227
2024-09-08,103.49307865142424
2024-09-15,71.23549569513617
2024-09-22,95.42868291235223
2024-09-29,95.42868291235223
2024-10-06,115.58967226003227
2024-10-13,106.18121056444825
2024-10-20,114.24560630352028
2024-10-27,95.42868291235223
2024-11-03,102.14901269491224
2024-11-10,90.05241908630421
2024-11-17,104.83714460793625
2024-11-24,119.6218701295683
2024-12-01,75.26769356467219
2024-12-08,92.74055099932822
2024-12-15,126.34219991212831
2024-12-22,69.89142973862417
2024-12-29,83.3320893037442
2025-01-05,111.55747439049627
2025-01-12,100.80494673840025
2025-01-19,100.80494673840025
2025-01-26,106.18121056444825
2025-02-02,103.49307865142424
2025-02-09,116.93373821654428
2025-02-16,111.55747439049627
2025-02-23,103.49307865142424
2025-03-02,106.18121056444825
2025-03-09,116.93373821654428
2025-03-16,103.49307865142424
2025-03-23,83.3320893037442
2025-03-30,102.14901269491224
2025-04-06,75.26769356467219
2025-04-13,47.042308477920116
2025-04-20,96.77274886886423
2025-04-27,102.14901269491224
2025-05-04,73.92362760816017
2025-05-11,94.08461695584023
2025-05-18,104.83714460793625
2025-05-25,96.77274886886423
2025-06-01,119.6218701295683
2025-06-08,88.70835312979221
2025-06-15,110.21340843398427
2025-06-22,111.55747439049627
2025-06-29,119.6218701295683
2025-07-06,68.54736378211217
2025-07-13,103.49307865142424
2025-07-20,123.6540679991043
2025-07-27,98.11681482537624
2025-08-03,99.46088078188824
2025-08-10,87.3642871732802
2025-08-17,94.08461695584023
2025-08-24,86.0202212167682
2025-08-31,64.51516591257615
2025-09-07,119.6218701295683
2025-09-14,99.46088078188824
2025-09-21,71.23549569513617
2025-09-28,116.93373821654428
2025-10-05,84.67615526025621
2025-10-12,108.86934247747226
2025-10-19,114.24560630352028
2025-10-26,98.11681482537624
2025-11-02,81.9880233472322
2025-11-09,134.40659565120032
2025-11-16,69.89142973862417
2025-11-23,68.54736378211217
2025-11-30,79.29989143420819
2025-12-07,103.49307865142424
2025-12-14,120.96593608608029
2025-12-21,81.9880233472322
2025-12-28,77.95582547769618
