,Manufacturing
2020-05-24,96.219221604448
2020-05-31,91.4082605242256
2020-06-07,86.5972994440032
2020-06-14,96.219221604448
2020-06-21,94.61556791104053
2020-06-28,91.4082605242256
2020-07-05,89.80460683081813
2020-07-12,112.25575853852266
2020-07-19,97.82287529785546
2020-07-26,91.4082605242256
2020-08-02,84.99364575059573
2020-08-09,94.61556791104053
2020-08-16,96.219221604448
2020-08-23,94.61556791104053
2020-08-30,86.5972994440032
2020-09-06,96.219221604448
2020-09-13,93.01191421763306
2020-09-20,89.80460683081813
2020-09-27,83.38999205718827
2020-10-04,105.84114376489279
2020-10-11,109.04845115170772
2020-10-18,117.06671961874505
2020-10-25,113.85941223193012
2020-11-01,96.219221604448
2020-11-08,109.04845115170772
2020-11-15,94.61556791104053
2020-11-22,94.61556791104053
2020-11-29,88.20095313741066
2020-12-06,97.82287529785546
2020-12-13,84.99364575059573
2020-12-20,84.99364575059573
2020-12-27,80.18268467037333
2021-01-03,78.57903097696587
2021-01-10,88.20095313741066
2021-01-17,99.42652899126293
2021-01-24,89.80460683081813
2021-01-31,84.99364575059573
2021-02-07,86.5972994440032
2021-02-14,97.82287529785546
2021-02-21,81.7863383637808
2021-02-28,99.42652899126293
2021-03-07,97.82287529785546
2021-03-14,83.38999205718827
2021-03-21,93.01191421763306
2021-03-28,86.5972994440032
2021-04-04,81.7863383637808
2021-04-11,49.71326449563146
2021-04-18,110.65210484511519
2021-04-25,120.27402700555999
2021-05-02,123.48133439237492
2021-05-09,120.27402700555999
2021-05-16,112.25575853852266
2021-05-23,104.23749007148533
2021-05-30,112.25575853852266
2021-06-06,97.82287529785546
2021-06-13,101.0301826846704
2021-06-20,128.29229547259732
2021-06-27,99.42652899126293
2021-07-04,105.84114376489279
2021-07-11,93.01191421763306
2021-07-18,99.42652899126293
2021-07-25,99.42652899126293
2021-08-01,105.84114376489279
2021-08-08,107.44479745830026
2021-08-15,157.15806195393174
2021-08-22,96.219221604448
2021-08-29,96.219221604448
2021-09-05,102.63383637807786
2021-09-12,104.23749007148533
2021-09-19,94.61556791104053
2021-09-26,101.0301826846704
2021-10-03,96.219221604448
2021-10-10,105.84114376489279
2021-10-17,86.5972994440032
2021-10-24,88.20095313741066
2021-10-31,86.5972994440032
2021-11-07,91.4082605242256
2021-11-14,105.84114376489279
2021-11-21,97.82287529785546
2021-11-28,86.5972994440032
2021-12-05,102.63383637807786
2021-12-12,89.80460683081813
2021-12-19,91.4082605242256
2021-12-26,97.82287529785546
2022-01-02,126.68864177918985
2022-01-09,115.46306592533759
2022-01-16,96.219221604448
2022-01-23,125.08498808578238
2022-01-30,120.27402700555999
2022-02-06,126.68864177918985
2022-02-13,123.48133439237492
2022-02-20,160.36536934074667
2022-02-27,110.65210484511519
2022-03-06,112.25575853852266
2022-03-13,112.25575853852266
2022-03-20,121.87768069896745
2022-03-27,102.63383637807786
2022-04-03,80.18268467037333
2022-04-10,62.54249404289119
2022-04-17,101.0301826846704
2022-04-24,113.85941223193012
2022-05-01,117.06671961874505
2022-05-08,105.84114376489279
2022-05-15,102.63383637807786
2022-05-22,157.15806195393174
2022-05-29,109.04845115170772
2022-06-05,105.84114376489279
2022-06-12,80.18268467037333
2022-06-19,101.0301826846704
2022-06-26,99.42652899126293
2022-07-03,91.4082605242256
2022-07-10,81.7863383637808
2022-07-17,91.4082605242256
2022-07-24,91.4082605242256
2022-07-31,105.84114376489279
2022-08-07,101.0301826846704
2022-08-14,104.23749007148533
2022-08-21,101.0301826846704
2022-08-28,110.65210484511519
2022-09-04,94.61556791104053
2022-09-11,99.42652899126293
2022-09-18,101.0301826846704
2022-09-25,94.61556791104053
2022-10-02,86.5972994440032
2022-10-09,107.44479745830026
2022-10-16,101.0301826846704
2022-10-23,99.42652899126293
2022-10-30,102.63383637807786
2022-11-06,94.61556791104053
2022-11-13,104.23749007148533
2022-11-20,99.42652899126293
2022-11-27,99.42652899126293
2022-12-04,101.0301826846704
2022-12-11,102.63383637807786
2022-12-18,97.82287529785546
2022-12-25,88.20095313741066
2023-01-01,94.61556791104053
2023-01-08,109.04845115170772
2023-01-15,94.61556791104053
2023-01-22,93.01191421763306
2023-01-29,102.63383637807786
2023-02-05,115.46306592533759
2023-02-12,102.63383637807786
2023-02-19,101.0301826846704
2023-02-26,110.65210484511519
2023-03-05,88.20095313741066
2023-03-12,104.23749007148533
2023-03-19,96.219221604448
2023-03-26,102.63383637807786
2023-04-02,76.9753772835584
2023-04-09,64.14614773629866
2023-04-16,88.20095313741066
2023-04-23,105.84114376489279
2023-04-30,97.82287529785546
2023-05-07,109.04845115170772
2023-05-14,105.84114376489279
2023-05-21,126.68864177918985
2023-05-28,133.10325655281972
2023-06-04,115.46306592533759
2023-06-11,109.04845115170772
2023-06-18,121.87768069896745
2023-06-25,107.44479745830026
2023-07-02,101.0301826846704
2023-07-09,102.63383637807786
2023-07-16,115.46306592533759
2023-07-23,117.06671961874505
2023-07-30,94.61556791104053
2023-08-06,110.65210484511519
2023-08-13,105.84114376489279
2023-08-20,97.82287529785546
2023-08-27,94.61556791104053
2023-09-03,113.85941223193012
2023-09-10,96.219221604448
2023-09-17,102.63383637807786
2023-09-24,96.219221604448
2023-10-01,94.61556791104053
2023-10-08,94.61556791104053
2023-10-15,105.84114376489279
2023-10-22,89.80460683081813
2023-10-29,102.63383637807786
2023-11-05,97.82287529785546
2023-11-12,112.25575853852266
2023-11-19,105.84114376489279
2023-11-26,104.23749007148533
2023-12-03,105.84114376489279
2023-12-10,112.25575853852266
2023-12-17,97.82287529785546
2023-12-24,93.01191421763306
2023-12-31,102.63383637807786
2024-01-07,110.34136226092552
2024-01-14,98.23072493960443
2024-01-21,98.23072493960443
2024-01-28,104.95885678478281
2024-02-04,111.6869886299612
2024-02-11,115.72386773706823
2024-02-18,96.88509857056876
2024-02-25,111.6869886299612
2024-03-03,102.26760404671145
2024-03-10,92.84821946346172
2024-03-17,108.99573589188985
2024-03-24,121.10637321321094
2024-03-31,96.88509857056876
2024-04-07,92.84821946346172
2024-04-14,91.50259309442605
2024-04-21,96.88509857056876
2024-04-28,107.65010952285417
2024-05-05,113.03261499899688
2024-05-12,107.65010952285417
2024-05-19,91.50259309442605
2024-05-26,104.95885678478281
2024-06-02,99.57635130864011
2024-06-09,123.7976259512823
2024-06-16,125.14325232031797
2024-06-23,103.61323041574714
2024-06-30,113.03261499899688
2024-07-07,108.99573589188985
2024-07-14,115.72386773706823
2024-07-21,108.99573589188985
2024-07-28,113.03261499899688
2024-08-04,107.65010952285417
2024-08-11,106.3044831538185
2024-08-18,98.23072493960443
2024-08-25,118.41512047513959
2024-09-01,99.57635130864011
2024-09-08,102.26760404671145
2024-09-15,87.465713987319
2024-09-22,84.77446124924766
2024-09-29,108.99573589188985
2024-10-06,106.3044831538185
2024-10-13,100.92197767767578
2024-10-20,118.41512047513959
2024-10-27,107.65010952285417
2024-11-03,106.3044831538185
2024-11-10,92.84821946346172
2024-11-17,118.41512047513959
2024-11-24,114.37824136803256
2024-12-01,121.10637321321094
2024-12-08,117.0694941061039
2024-12-15,96.88509857056876
2024-12-22,98.23072493960443
2024-12-29,107.65010952285417
2025-01-05,103.61323041574714
2025-01-12,108.99573589188985
2025-01-19,111.6869886299612
2025-01-26,114.37824136803256
2025-02-02,107.65010952285417
2025-02-09,98.23072493960443
2025-02-16,114.37824136803256
2025-02-23,111.6869886299612
2025-03-02,115.72386773706823
2025-03-09,115.72386773706823
2025-03-16,121.10637321321094
2025-03-23,95.53947220153307
2025-03-30,103.61323041574714
2025-04-06,92.84821946346172
2025-04-13,69.97257118985522
2025-04-20,100.92197767767578
2025-04-27,106.3044831538185
2025-05-04,95.53947220153307
