,Agricultural Equipment
2014-12-28,23.0
2015-01-04,24.0
2015-01-11,33.0
2015-01-18,41.0
2015-01-25,29.0
2015-02-01,29.0
2015-02-08,39.0
2015-02-15,39.0
2015-02-22,36.0
2015-03-01,38.0
2015-03-08,37.0
2015-03-15,44.0
2015-03-22,45.0
2015-03-29,35.0
2015-04-05,34.0
2015-04-12,36.0
2015-04-19,35.0
2015-04-26,36.0
2015-05-03,32.0
2015-05-10,32.0
2015-05-17,54.0
2015-05-24,38.0
2015-05-31,40.0
2015-06-07,45.0
2015-06-14,37.0
2015-06-21,37.0
2015-06-28,37.0
2015-07-05,52.0
2015-07-12,40.0
2015-07-19,53.0
2015-07-26,37.0
2015-08-02,39.0
2015-08-09,39.0
2015-08-16,35.0
2015-08-23,40.0
2015-08-30,37.0
2015-09-06,38.0
2015-09-13,44.0
2015-09-20,44.0
2015-09-27,42.0
2015-10-04,51.0
2015-10-11,48.0
2015-10-18,49.0
2015-10-25,55.0
2015-11-01,46.0
2015-11-08,36.0
2015-11-15,41.0
2015-11-22,30.0
2015-11-29,46.0
2015-12-06,39.0
2015-12-13,39.0
2015-12-20,40.0
2015-12-27,52.0
2016-01-03,59.0
2016-01-10,61.0
2016-01-17,40.0
2016-01-24,64.0
2016-01-31,37.0
2016-02-07,60.0
2016-02-14,67.0
2016-02-21,53.0
2016-02-28,47.0
2016-03-06,55.0
2016-03-13,58.0
2016-03-20,61.0
2016-03-27,59.0
2016-04-03,47.0
2016-04-10,36.0
2016-04-17,44.0
2016-04-24,45.0
2016-05-01,50.0
2016-05-08,38.0
2016-05-15,37.0
2016-05-22,42.0
2016-05-29,57.0
2016-06-05,60.0
2016-06-12,52.0
2016-06-19,56.0
2016-06-26,63.0
2016-07-03,56.0
2016-07-10,50.0
2016-07-17,48.0
2016-07-24,55.0
2016-07-31,57.0
2016-08-07,52.0
2016-08-14,60.0
2016-08-21,48.0
2016-08-28,55.0
2016-09-04,58.0
2016-09-11,58.0
2016-09-18,57.0
2016-09-25,57.0
2016-10-02,59.0
2016-10-09,58.0
2016-10-16,64.0
2016-10-23,75.0
2016-10-30,63.0
2016-11-06,59.0
2016-11-13,61.0
2016-11-20,68.0
2016-11-27,55.0
2016-12-04,54.0
2016-12-11,60.0
2016-12-18,50.0
2016-12-25,66.0
2017-01-01,59.0
2017-01-08,30.0
2017-01-15,42.0
2017-01-22,36.0
2017-01-29,56.0
2017-02-05,43.0
2017-02-12,55.0
2017-02-19,46.0
2017-02-26,52.0
2017-03-05,50.0
2017-03-12,60.0
2017-03-19,64.0
2017-03-26,62.0
2017-04-02,63.0
2017-04-09,52.0
2017-04-16,48.0
2017-04-23,56.0
2017-04-30,55.0
2017-05-07,47.0
2017-05-14,53.0
2017-05-21,49.0
2017-05-28,60.0
2017-06-04,51.0
2017-06-11,50.0
2017-06-18,59.0
2017-06-25,62.0
2017-07-02,53.0
2017-07-09,55.0
2017-07-16,64.0
2017-07-23,56.0
2017-07-30,60.0
2017-08-06,61.0
2017-08-13,80.0
2017-08-20,57.0
2017-08-27,57.0
2017-09-03,57.0
2017-09-10,77.0
2017-09-17,65.0
2017-09-24,73.0
2017-10-01,70.0
2017-10-08,67.0
2017-10-15,72.0
2017-10-22,54.0
2017-10-29,75.0
2017-11-05,67.0
2017-11-12,72.0
2017-11-19,77.0
2017-11-26,71.0
2017-12-03,65.0
2017-12-10,63.0
2017-12-17,61.0
2017-12-24,58.0
2017-12-31,66.0
2018-01-07,58.0
2018-01-14,61.0
2018-01-21,68.0
2018-01-28,66.0
2018-02-04,64.0
2018-02-11,66.0
2018-02-18,63.0
2018-02-25,60.0
2018-03-04,67.0
2018-03-11,58.0
2018-03-18,66.0
2018-03-25,68.0
2018-04-01,59.0
2018-04-08,44.0
2018-04-15,45.0
2018-04-22,62.0
2018-04-29,49.0
2018-05-06,55.0
2018-05-13,65.0
2018-05-20,64.0
2018-05-27,76.0
2018-06-03,72.0
2018-06-10,60.0
2018-06-17,62.0
2018-06-24,50.0
2018-07-01,58.0
2018-07-08,60.0
2018-07-15,62.0
2018-07-22,68.0
2018-07-29,63.0
2018-08-05,76.0
2018-08-12,73.0
