,Fashion & Style
2014-12-28,68.0
2015-01-04,66.0
2015-01-11,72.0
2015-01-18,65.0
2015-01-25,58.0
2015-02-01,61.0
2015-02-08,57.0
2015-02-15,64.0
2015-02-22,66.0
2015-03-01,63.0
2015-03-08,68.0
2015-03-15,65.0
2015-03-22,70.0
2015-03-29,67.0
2015-04-05,76.0
2015-04-12,63.0
2015-04-19,78.0
2015-04-26,68.0
2015-05-03,74.0
2015-05-10,80.0
2015-05-17,76.0
2015-05-24,76.0
2015-05-31,66.0
2015-06-07,76.0
2015-06-14,66.0
2015-06-21,71.0
2015-06-28,71.0
2015-07-05,74.0
2015-07-12,79.0
2015-07-19,80.0
2015-07-26,72.0
2015-08-02,74.0
2015-08-09,75.0
2015-08-16,77.0
2015-08-23,74.0
2015-08-30,75.0
2015-09-06,72.0
2015-09-13,69.0
2015-09-20,72.0
2015-09-27,68.0
2015-10-04,72.0
2015-10-11,70.0
2015-10-18,70.0
2015-10-25,66.0
2015-11-01,67.0
2015-11-08,70.0
2015-11-15,67.0
2015-11-22,71.0
2015-11-29,70.0
2015-12-06,73.0
2015-12-13,76.0
2015-12-20,73.0
2015-12-27,77.0
2016-01-03,74.0
2016-01-10,72.0
2016-01-17,72.0
2016-01-24,70.0
2016-01-31,71.0
2016-02-07,76.0
2016-02-14,72.0
2016-02-21,74.0
2016-02-28,71.0
2016-03-06,75.0
2016-03-13,86.0
2016-03-20,90.0
2016-03-27,87.0
2016-04-03,83.0
2016-04-10,69.0
2016-04-17,87.0
2016-04-24,74.0
2016-05-01,85.0
2016-05-08,75.0
2016-05-15,75.0
2016-05-22,78.0
2016-05-29,86.0
2016-06-05,76.0
2016-06-12,77.0
2016-06-19,76.0
2016-06-26,88.0
2016-07-03,91.0
2016-07-10,88.0
2016-07-17,92.0
2016-07-24,100.0
2016-07-31,91.0
2016-08-07,86.0
2016-08-14,84.0
2016-08-21,89.0
2016-08-28,78.0
2016-09-04,88.0
2016-09-11,81.0
2016-09-18,78.0
2016-09-25,84.0
2016-10-02,73.0
2016-10-09,85.0
2016-10-16,74.0
2016-10-23,85.0
2016-10-30,86.0
2016-11-06,76.0
2016-11-13,91.0
2016-11-20,76.0
2016-11-27,85.0
2016-12-04,88.0
2016-12-11,82.0
2016-12-18,86.0
2016-12-25,82.0
2017-01-01,77.0
2017-01-08,81.0
2017-01-15,80.0
2017-01-22,76.0
2017-01-29,72.0
2017-02-05,76.0
2017-02-12,72.0
2017-02-19,69.0
2017-02-26,86.0
2017-03-05,77.0
2017-03-12,80.0
2017-03-19,88.0
2017-03-26,84.0
2017-04-02,89.0
2017-04-09,72.0
2017-04-16,73.0
2017-04-23,77.0
2017-04-30,81.0
2017-05-07,69.0
2017-05-14,68.0
2017-05-21,71.0
2017-05-28,74.0
2017-06-04,76.0
2017-06-11,71.0
2017-06-18,74.0
2017-06-25,75.0
2017-07-02,78.0
2017-07-09,73.0
2017-07-16,77.0
2017-07-23,77.0
2017-07-30,81.0
2017-08-06,85.0
2017-08-13,83.0
2017-08-20,79.0
2017-08-27,80.0
2017-09-03,80.0
2017-09-10,72.0
2017-09-17,81.0
2017-09-24,66.0
2017-10-01,72.0
2017-10-08,73.0
2017-10-15,70.0
2017-10-22,76.0
2017-10-29,72.0
2017-11-05,68.0
2017-11-12,78.0
2017-11-19,75.0
2017-11-26,77.0
2017-12-03,80.0
2017-12-10,77.0
2017-12-17,89.0
2017-12-24,88.0
2017-12-31,72.0
2018-01-07,83.0
2018-01-14,78.0
2018-01-21,72.0
2018-01-28,73.0
2018-02-04,73.0
2018-02-11,78.0
2018-02-18,75.0
2018-02-25,74.0
2018-03-04,83.0
2018-03-11,77.0
2018-03-18,82.0
2018-03-25,92.0
2018-04-01,89.0
2018-04-08,75.0
2018-04-15,80.0
2018-04-22,76.0
2018-04-29,77.0
2018-05-06,83.0
2018-05-13,75.0
2018-05-20,71.0
2018-05-27,81.0
2018-06-03,64.0
2018-06-10,74.0
2018-06-17,71.0
2018-06-24,74.0
2018-07-01,76.0
2018-07-08,79.0
2018-07-15,79.0
2018-07-22,78.0
2018-07-29,77.0
2018-08-05,93.0
2018-08-12,83.0
2018-08-19,85.0
2018-08-26,77.0
2018-09-02,80.0
2018-09-09,76.0
2018-09-16,73.0
2018-09-23,78.0
2018-09-30,76.0
2018-10-07,85.0
2018-10-14,76.0
2018-10-21,80.0
2018-10-28,79.0
2018-11-04,77.0
2018-11-11,79.0
2018-11-18,82.0
2018-11-25,80.0
2018-12-02,87.0
2018-12-09,84.0
2018-12-16,88.0
2018-12-23,89.0
2018-12-30,72.0
2019-01-06,75.0
2019-01-13,83.0
2019-01-20,79.0
2019-01-27,80.0
2019-02-03,75.0
2019-02-10,75.0
2019-02-17,89.0
2019-02-24,90.0
2019-03-03,78.0
2019-03-10,86.0
2019-03-17,80.0
2019-03-24,82.0
2019-03-31,88.0
2019-04-07,79.0
2019-04-14,81.0
2019-04-21,81.0
2019-04-28,78.0
2019-05-05,78.0
2019-05-12,81.0
2019-05-19,79.0
2019-05-26,76.0
2019-06-02,78.0
2019-06-09,86.0
2019-06-16,75.0
2019-06-23,79.0
2019-06-30,76.0
2019-07-07,75.0
2019-07-14,75.0
2019-07-21,82.0
2019-07-28,80.0
2019-08-04,85.0
2019-08-11,88.0
2019-08-18,84.0
2019-08-25,82.0
2019-09-01,82.0
2019-09-08,74.0
2019-09-15,74.0
2019-09-22,74.0
2019-09-29,71.0
2019-10-06,71.0
2019-10-13,68.0
2019-10-20,74.0
2019-10-27,72.0
2019-11-03,66.0
2019-11-10,69.0
2019-11-17,72.0
2019-11-24,73.0
2019-12-01,79.0
2019-12-08,79.0
2019-12-15,81.0
2019-12-22,83.0
2019-12-29,78.0
2020-01-05,70.35952436465377
2020-01-12,70.35952436465377
2020-01-19,73.21193751457216
2020-01-26,65.6055024481231
2020-02-02,67.50711121473536
2020-02-09,64.65469806481697
2020-02-16,63.70389368151084
2020-02-23,63.70389368151084
2020-03-01,63.70389368151084
2020-03-08,69.40871998134763
2020-03-15,61.80228491489858
2020-03-22,57.04826299836792
2020-03-29,57.999067381674045
2020-04-05,54.19584984844952
2020-04-12,49.44182793191886
2020-04-19,61.80228491489858
2020-04-26,58.94987176498018
2020-05-03,59.90067614828631
2020-05-10,65.6055024481231
2020-05-17,65.6055024481231
2020-05-24,60.85148053159244
2020-05-31,70.35952436465377
2020-06-07,63.70389368151084
2020-06-14,76.06435066449055
2020-06-21,69.40871998134763
2020-06-28,73.21193751457216
2020-07-05,68.4579155980415
2020-07-12,76.06435066449055
2020-07-19,77.01515504779668
2020-07-26,77.01515504779668
2020-08-02,70.35952436465377
2020-08-09,75.11354628118443
2020-08-16,72.26113313126602
2020-08-23,67.50711121473536
2020-08-30,62.753089298204706
2020-09-06,70.35952436465377
2020-09-13,70.35952436465377
2020-09-20,67.50711121473536
2020-09-27,66.55630683142924
2020-10-04,66.55630683142924
2020-10-11,77.96595943110282
2020-10-18,71.3103287479599
2020-10-25,68.4579155980415
2020-11-01,63.70389368151084
2020-11-08,67.50711121473536
2020-11-15,70.35952436465377
2020-11-22,68.4579155980415
2020-11-29,70.35952436465377
2020-12-06,75.11354628118443
2020-12-13,78.91676381440895
2020-12-20,79.86756819771509
2020-12-27,77.01515504779668
2021-01-03,75.11354628118443
2021-01-10,73.21193751457216
2021-01-17,71.3103287479599
2021-01-24,66.55630683142924
2021-01-31,68.4579155980415
2021-02-07,72.26113313126602
2021-02-14,71.3103287479599
2021-02-21,69.40871998134763
2021-02-28,70.35952436465377
2021-03-07,69.40871998134763
2021-03-14,69.40871998134763
2021-03-21,68.4579155980415
2021-03-28,83.67078573093961
2021-04-04,76.06435066449055
2021-04-11,63.70389368151084
2021-04-18,73.21193751457216
2021-04-25,75.11354628118443
2021-05-02,70.35952436465377
2021-05-09,69.40871998134763
2021-05-16,74.16274189787829
2021-05-23,67.50711121473536
2021-05-30,75.11354628118443
2021-06-06,71.3103287479599
2021-06-13,74.16274189787829
2021-06-20,69.40871998134763
2021-06-27,70.35952436465377
2021-07-04,77.01515504779668
2021-07-11,77.96595943110282
2021-07-18,77.96595943110282
2021-07-25,70.35952436465377
2021-08-01,74.16274189787829
2021-08-08,72.26113313126602
2021-08-15,72.26113313126602
2021-08-22,69.40871998134763
2021-08-29,69.40871998134763
2021-09-05,72.26113313126602
2021-09-12,76.06435066449055
2021-09-19,73.21193751457216
2021-09-26,61.80228491489858
2021-10-03,77.01515504779668
2021-10-10,65.6055024481231
2021-10-17,62.753089298204706
2021-10-24,68.4579155980415
2021-10-31,74.16274189787829
2021-11-07,72.26113313126602
2021-11-14,73.21193751457216
2021-11-21,74.16274189787829
2021-11-28,72.26113313126602
2021-12-05,73.21193751457216
2021-12-12,71.3103287479599
2021-12-19,78.91676381440895
2021-12-26,76.06435066449055
2022-01-02,85.57239449755187
2022-01-09,78.91676381440895
2022-01-16,71.3103287479599
2022-01-23,77.01515504779668
2022-01-30,82.71998134763348
2022-02-06,77.01515504779668
2022-02-13,82.71998134763348
2022-02-20,82.71998134763348
2022-02-27,87.47400326416414
2022-03-06,82.71998134763348
2022-03-13,85.57239449755187
2022-03-20,86.523198880858
2022-03-27,81.76917696432734
2022-04-03,84.62159011424575
2022-04-10,87.47400326416414
2022-04-17,82.71998134763348
2022-04-24,80.81837258102121
2022-05-01,89.3756120307764
2022-05-08,77.96595943110282
2022-05-15,76.06435066449055
2022-05-22,81.76917696432734
2022-05-29,82.71998134763348
2022-06-05,77.96595943110282
2022-06-12,74.16274189787829
2022-06-19,84.62159011424575
2022-06-26,77.01515504779668
2022-07-03,86.523198880858
2022-07-10,83.67078573093961
2022-07-17,83.67078573093961
2022-07-24,80.81837258102121
2022-07-31,89.3756120307764
2022-08-07,85.57239449755187
2022-08-14,83.67078573093961
2022-08-21,81.76917696432734
2022-08-28,87.47400326416414
2022-09-04,80.81837258102121
2022-09-11,78.91676381440895
2022-09-18,82.71998134763348
2022-09-25,84.62159011424575
2022-10-02,83.67078573093961
2022-10-09,84.62159011424575
2022-10-16,82.71998134763348
2022-10-23,74.16274189787829
2022-10-30,78.91676381440895
2022-11-06,82.71998134763348
2022-11-13,78.91676381440895
2022-11-20,77.96595943110282
2022-11-27,81.76917696432734
2022-12-04,81.76917696432734
2022-12-11,89.3756120307764
2022-12-18,89.3756120307764
2022-12-25,95.08043833061319
2023-01-01,80.81837258102121
2023-01-08,80.81837258102121
2023-01-15,80.81837258102121
2023-01-22,82.71998134763348
2023-01-29,68.4579155980415
2023-02-05,78.91676381440895
2023-02-12,77.01515504779668
2023-02-19,80.81837258102121
2023-02-26,77.96595943110282
2023-03-05,82.71998134763348
2023-03-12,79.86756819771509
2023-03-19,81.76917696432734
2023-03-26,88.42480764747027
2023-04-02,90.32641641408253
2023-04-09,81.76917696432734
2023-04-16,78.91676381440895
2023-04-23,77.01515504779668
2023-04-30,74.16274189787829
2023-05-07,68.4579155980415
2023-05-14,77.96595943110282
2023-05-21,77.01515504779668
2023-05-28,70.35952436465377
2023-06-04,75.11354628118443
2023-06-11,76.06435066449055
2023-06-18,82.71998134763348
2023-06-25,74.16274189787829
2023-07-02,74.16274189787829
2023-07-09,78.91676381440895
2023-07-16,78.91676381440895
2023-07-23,77.01515504779668
2023-07-30,75.11354628118443
2023-08-06,77.96595943110282
2023-08-13,77.01515504779668
2023-08-20,76.06435066449055
2023-08-27,75.11354628118443
2023-09-03,77.96595943110282
2023-09-10,73.21193751457216
2023-09-17,73.21193751457216
2023-09-24,74.16274189787829
2023-10-01,77.01515504779668
2023-10-08,69.40871998134763
2023-10-15,68.4579155980415
2023-10-22,71.3103287479599
2023-10-29,78.91676381440895
2023-11-05,72.26113313126602
2023-11-12,72.26113313126602
2023-11-19,74.16274189787829
2023-11-26,78.91676381440895
2023-12-03,75.11354628118443
2023-12-10,83.67078573093961
2023-12-17,88.42480764747027
2023-12-24,80.81837258102121
2023-12-31,80.81837258102121
2024-01-07,79.18927091149887
2024-01-14,71.38187800473138
2024-01-21,72.4972198485553
2024-01-28,79.18927091149887
2024-02-04,74.72790353620316
2024-02-11,79.18927091149887
2024-02-18,75.84324538002708
2024-02-25,76.95858722385101
2024-03-03,84.76598013061852
2024-03-10,76.95858722385101
2024-03-17,83.65063828679459
2024-03-24,97.03474041268171
2024-03-31,85.88132197444244
2024-04-07,83.65063828679459
2024-04-14,78.07392906767494
2024-04-21,72.4972198485553
2024-04-28,79.18927091149887
2024-05-05,81.41995459914672
