,Jobs
2014-12-28,59.0
2015-01-04,49.0
2015-01-11,57.0
2015-01-18,65.0
2015-01-25,64.0
2015-02-01,59.0
2015-02-08,62.0
2015-02-15,68.0
2015-02-22,68.0
2015-03-01,63.0
2015-03-08,67.0
2015-03-15,63.0
2015-03-22,64.0
2015-03-29,63.0
2015-04-05,66.0
2015-04-12,46.0
2015-04-19,73.0
2015-04-26,69.0
2015-05-03,66.0
2015-05-10,76.0
2015-05-17,68.0
2015-05-24,67.0
2015-05-31,67.0
2015-06-07,74.0
2015-06-14,70.0
2015-06-21,65.0
2015-06-28,72.0
2015-07-05,73.0
2015-07-12,71.0
2015-07-19,75.0
2015-07-26,61.0
2015-08-02,71.0
2015-08-09,67.0
2015-08-16,62.0
2015-08-23,66.0
2015-08-30,66.0
2015-09-06,91.0
2015-09-13,70.0
2015-09-20,71.0
2015-09-27,69.0
2015-10-04,72.0
2015-10-11,70.0
2015-10-18,65.0
2015-10-25,63.0
2015-11-01,66.0
2015-11-08,64.0
2015-11-15,69.0
2015-11-22,64.0
2015-11-29,81.0
2015-12-06,66.0
2015-12-13,67.0
2015-12-20,57.0
2015-12-27,68.0
2016-01-03,79.0
2016-01-10,64.0
2016-01-17,75.0
2016-01-24,73.0
2016-01-31,68.0
2016-02-07,78.0
2016-02-14,70.0
2016-02-21,67.0
2016-02-28,71.0
2016-03-06,65.0
2016-03-13,62.0
2016-03-20,66.0
2016-03-27,64.0
2016-04-03,60.0
2016-04-10,38.0
2016-04-17,66.0
2016-04-24,76.0
2016-05-01,72.0
2016-05-08,69.0
2016-05-15,63.0
2016-05-22,68.0
2016-05-29,77.0
2016-06-05,77.0
2016-06-12,77.0
2016-06-19,75.0
2016-06-26,69.0
2016-07-03,70.0
2016-07-10,73.0
2016-07-17,78.0
2016-07-24,71.0
2016-07-31,70.0
2016-08-07,72.0
2016-08-14,71.0
2016-08-21,72.0
2016-08-28,77.0
2016-09-04,77.0
2016-09-11,75.0
2016-09-18,85.0
2016-09-25,77.0
2016-10-02,74.0
2016-10-09,73.0
2016-10-16,76.0
2016-10-23,71.0
2016-10-30,73.0
2016-11-06,89.0
2016-11-13,73.0
2016-11-20,74.0
2016-11-27,73.0
2016-12-04,63.0
2016-12-11,58.0
2016-12-18,70.0
2016-12-25,67.0
2017-01-01,76.0
2017-01-08,77.0
2017-01-15,78.0
2017-01-22,72.0
2017-01-29,71.0
2017-02-05,70.0
2017-02-12,72.0
2017-02-19,71.0
2017-02-26,73.0
2017-03-05,73.0
2017-03-12,72.0
2017-03-19,70.0
2017-03-26,69.0
2017-04-02,63.0
2017-04-09,42.0
2017-04-16,68.0
2017-04-23,76.0
2017-04-30,67.0
2017-05-07,57.0
2017-05-14,70.0
2017-05-21,71.0
2017-05-28,71.0
2017-06-04,69.0
2017-06-11,68.0
2017-06-18,70.0
2017-06-25,67.0
2017-07-02,78.0
2017-07-09,72.0
2017-07-16,76.0
2017-07-23,70.0
2017-07-30,72.0
2017-08-06,70.0
2017-08-13,75.0
2017-08-20,69.0
2017-08-27,70.0
2017-09-03,64.0
2017-09-10,80.0
2017-09-17,77.0
2017-09-24,74.0
2017-10-01,68.0
2017-10-08,76.0
2017-10-15,75.0
2017-10-22,75.0
2017-10-29,69.0
2017-11-05,71.0
2017-11-12,77.0
2017-11-19,74.0
2017-11-26,72.0
2017-12-03,69.0
2017-12-10,67.0
2017-12-17,77.0
2017-12-24,78.0
2017-12-31,79.0
2018-01-07,79.0
2018-01-14,69.0
2018-01-21,71.0
2018-01-28,70.0
2018-02-04,65.0
2018-02-11,72.0
2018-02-18,74.0
2018-02-25,70.0
2018-03-04,69.0
2018-03-11,67.0
2018-03-18,70.0
2018-03-25,66.0
2018-04-01,67.0
2018-04-08,49.0
2018-04-15,56.0
2018-04-22,75.0
2018-04-29,60.0
2018-05-06,76.0
2018-05-13,73.0
2018-05-20,71.0
2018-05-27,69.0
2018-06-03,71.0
2018-06-10,74.0
2018-06-17,73.0
2018-06-24,69.0
2018-07-01,83.0
2018-07-08,82.0
2018-07-15,81.0
2018-07-22,73.0
2018-07-29,77.0
2018-08-05,72.0
2018-08-12,79.0
2018-08-19,75.0
2018-08-26,79.0
2018-09-02,81.0
2018-09-09,82.0
2018-09-16,74.0
2018-09-23,69.0
2018-09-30,79.0
2018-10-07,85.0
2018-10-14,83.0
2018-10-21,74.0
2018-10-28,72.0
2018-11-04,73.0
2018-11-11,69.0
2018-11-18,60.0
2018-11-25,73.0
2018-12-02,77.0
2018-12-09,71.0
2018-12-16,70.0
2018-12-23,69.0
2018-12-30,88.0
2019-01-06,92.0
2019-01-13,76.0
2019-01-20,84.0
2019-01-27,85.0
2019-02-03,79.0
2019-02-10,81.0
2019-02-17,81.0
2019-02-24,80.0
2019-03-03,83.0
2019-03-10,82.0
2019-03-17,72.0
2019-03-24,79.0
2019-03-31,68.0
2019-04-07,57.0
2019-04-14,57.0
2019-04-21,56.0
2019-04-28,75.0
2019-05-05,90.0
2019-05-12,71.0
2019-05-19,84.0
2019-05-26,96.0
2019-06-02,89.0
2019-06-09,91.0
2019-06-16,91.0
2019-06-23,97.0
2019-06-30,99.0
2019-07-07,95.0
2019-07-14,91.0
2019-07-21,96.0
2019-07-28,99.0
2019-08-04,91.0
2019-08-11,71.0
2019-08-18,88.0
2019-08-25,88.0
2019-09-01,94.0
2019-09-08,90.0
2019-09-15,100.0
2019-09-22,90.0
2019-09-29,88.0
2019-10-06,79.0
2019-10-13,86.0
2019-10-20,83.0
2019-10-27,75.0
2019-11-03,70.0
2019-11-10,59.0
2019-11-17,81.0
2019-11-24,83.0
2019-12-01,78.0
2019-12-08,69.0
2019-12-15,81.0
2019-12-22,64.0
2019-12-29,98.0
2020-01-05,86.59643827346815
2020-01-12,89.18140658013884
2020-01-19,99.52127980682161
2020-01-26,82.71898581346211
2020-02-02,86.59643827346815
2020-02-09,93.05885904014488
2020-02-16,85.3039541201328
2020-02-23,90.47389073347418
2020-03-01,89.18140658013884
2020-03-08,62.03923936009659
2020-03-15,38.77452460006037
2020-03-22,29.727135526712946
2020-03-29,27.142167220042257
2020-04-05,27.142167220042257
2020-04-12,27.142167220042257
2020-04-19,32.31210383338364
2020-04-26,31.019619680048294
2020-05-03,34.89707214005433
2020-05-10,45.23694536673709
2020-05-17,47.821913673407785
2020-05-24,49.11439782674313
2020-05-31,52.99185028674916
2020-06-07,64.62420766676728
2020-06-14,67.20917597343797
2020-06-21,71.086628433444
2020-06-28,74.96408089345005
2020-07-05,74.96408089345005
2020-07-12,67.20917597343797
2020-07-19,68.50166012677332
2020-07-26,63.33172351343193
2020-08-02,52.99185028674916
2020-08-09,78.84153335345607
2020-08-16,84.01146996679746
2020-08-23,80.13401750679142
2020-08-30,77.54904920012073
2020-09-06,84.01146996679746
2020-09-13,87.88892242680349
2020-09-20,81.42650166012676
2020-09-27,64.62420766676728
2020-10-04,62.03923936009659
2020-10-11,64.62420766676728
2020-10-18,63.33172351343193
2020-10-25,52.99185028674916
2020-11-01,43.944461213401745
2020-11-08,59.45427105342589
2020-11-15,59.45427105342589
2020-11-22,63.33172351343193
2020-11-29,71.086628433444
2020-12-06,74.96408089345005
2020-12-13,69.79414428010865
2020-12-20,62.03923936009659
2020-12-27,60.746755206761236
2021-01-03,73.6715967401147
2021-01-10,68.50166012677332
2021-01-17,73.6715967401147
2021-01-24,65.91669182010261
2021-01-31,68.50166012677332
2021-02-07,71.086628433444
2021-02-14,72.37911258677934
2021-02-21,68.50166012677332
2021-02-28,77.54904920012073
2021-03-07,69.79414428010865
2021-03-14,76.25656504678538
2021-03-21,69.79414428010865
2021-03-28,68.50166012677332
2021-04-04,60.746755206761236
2021-04-11,41.359492906731056
2021-04-18,73.6715967401147
2021-04-25,62.03923936009659
2021-05-02,80.13401750679142
2021-05-09,69.79414428010865
2021-05-16,64.62420766676728
2021-05-23,56.8693027467552
2021-05-30,56.8693027467552
2021-06-06,65.91669182010261
2021-06-13,63.33172351343193
2021-06-20,63.33172351343193
2021-06-27,72.37911258677934
2021-07-04,80.13401750679142
2021-07-11,90.47389073347418
2021-07-18,95.64382734681557
2021-07-25,77.54904920012073
2021-08-01,73.6715967401147
2021-08-08,68.50166012677332
2021-08-15,59.45427105342589
2021-08-22,60.746755206761236
2021-08-29,62.03923936009659
2021-09-05,60.746755206761236
2021-09-12,68.50166012677332
2021-09-19,64.62420766676728
2021-09-26,64.62420766676728
2021-10-03,74.96408089345005
2021-10-10,67.20917597343797
2021-10-17,62.03923936009659
2021-10-24,65.91669182010261
2021-10-31,62.03923936009659
2021-11-07,68.50166012677332
2021-11-14,63.33172351343193
2021-11-21,63.33172351343193
2021-11-28,64.62420766676728
2021-12-05,59.45427105342589
2021-12-12,64.62420766676728
2021-12-19,64.62420766676728
2021-12-26,64.62420766676728
2022-01-02,107.27618472683368
2022-01-09,96.93631150015091
2022-01-16,84.01146996679746
2022-01-23,99.52127980682161
2022-01-30,91.76637488680953
2022-02-06,99.52127980682161
2022-02-13,102.1062481134923
2022-02-20,98.22879565348626
2022-02-27,99.52127980682161
2022-03-06,109.86115303350437
2022-03-13,103.39873226682764
2022-03-20,115.03108964684574
2022-03-27,90.47389073347418
2022-04-03,81.42650166012676
2022-04-10,60.746755206761236
2022-04-17,103.39873226682764
2022-04-24,108.56866888016903
2022-05-01,104.69121642016299
2022-05-08,86.59643827346815
2022-05-15,98.22879565348626
2022-05-22,117.61605795351645
2022-05-29,124.07847872019317
2022-06-05,129.24841533353455
2022-06-12,112.44612134017505
2022-06-19,117.61605795351645
2022-06-26,125.37096287352851
2022-07-03,117.61605795351645
2022-07-10,99.52127980682161
2022-07-17,107.27618472683368
2022-07-24,104.69121642016299
2022-07-31,113.7386054935104
2022-08-07,115.03108964684574
2022-08-14,117.61605795351645
2022-08-21,112.44612134017505
2022-08-28,120.20102626018713
2022-09-04,111.15363718683972
2022-09-11,112.44612134017505
2022-09-18,120.20102626018713
2022-09-25,116.3235738001811
2022-10-02,112.44612134017505
2022-10-09,109.86115303350437
2022-10-16,113.7386054935104
2022-10-23,103.39873226682764
2022-10-30,105.98370057349833
2022-11-06,103.39873226682764
2022-11-13,107.27618472683368
2022-11-20,96.93631150015091
2022-11-27,99.52127980682161
2022-12-04,95.64382734681557
2022-12-11,103.39873226682764
2022-12-18,103.39873226682764
2022-12-25,104.69121642016299
2023-01-01,105.98370057349833
2023-01-08,107.27618472683368
2023-01-15,107.27618472683368
2023-01-22,107.27618472683368
2023-01-29,108.56866888016903
2023-02-05,107.27618472683368
2023-02-12,111.15363718683972
2023-02-19,120.20102626018713
2023-02-26,115.03108964684574
2023-03-05,108.56866888016903
2023-03-12,109.86115303350437
2023-03-19,103.39873226682764
2023-03-26,102.1062481134923
2023-04-02,90.47389073347418
2023-04-09,59.45427105342589
2023-04-16,99.52127980682161
2023-04-23,105.98370057349833
2023-04-30,89.18140658013884
2023-05-07,112.44612134017505
2023-05-14,111.15363718683972
2023-05-21,111.15363718683972
2023-05-28,100.81376396015695
2023-06-04,109.86115303350437
2023-06-11,113.7386054935104
2023-06-18,113.7386054935104
2023-06-25,111.15363718683972
2023-07-02,111.15363718683972
2023-07-09,129.24841533353455
2023-07-16,120.20102626018713
2023-07-23,115.03108964684574
2023-07-30,104.69121642016299
2023-08-06,115.03108964684574
2023-08-13,111.15363718683972
2023-08-20,111.15363718683972
2023-08-27,105.98370057349833
2023-09-03,116.3235738001811
2023-09-10,108.56866888016903
2023-09-17,113.7386054935104
2023-09-24,100.81376396015695
2023-10-01,111.15363718683972
2023-10-08,103.39873226682764
2023-10-15,102.1062481134923
2023-10-22,100.81376396015695
2023-10-29,96.93631150015091
2023-11-05,98.22879565348626
2023-11-12,98.22879565348626
2023-11-19,99.52127980682161
2023-11-26,103.39873226682764
