,Aviation
2020-05-24,33.58733031674208
2020-05-31,35.98642533936651
2020-06-07,33.58733031674208
2020-06-14,33.58733031674208
2020-06-21,35.98642533936651
2020-06-28,43.183710407239815
2020-07-05,35.98642533936651
2020-07-12,38.38552036199095
2020-07-19,40.784615384615385
2020-07-26,40.784615384615385
2020-08-02,35.98642533936651
2020-08-09,38.38552036199095
2020-08-16,33.58733031674208
2020-08-23,40.784615384615385
2020-08-30,40.784615384615385
2020-09-06,40.784615384615385
2020-09-13,35.98642533936651
2020-09-20,40.784615384615385
2020-09-27,33.58733031674208
2020-10-04,28.78914027149321
2020-10-11,28.78914027149321
2020-10-18,23.990950226244344
2020-10-25,38.38552036199095
2020-11-01,28.78914027149321
2020-11-08,38.38552036199095
2020-11-15,33.58733031674208
2020-11-22,31.188235294117646
2020-11-29,35.98642533936651
2020-12-06,38.38552036199095
2020-12-13,38.38552036199095
2020-12-20,23.990950226244344
2020-12-27,28.78914027149321
2021-01-03,33.58733031674208
2021-01-10,43.183710407239815
2021-01-17,33.58733031674208
2021-01-24,33.58733031674208
2021-01-31,33.58733031674208
2021-02-07,33.58733031674208
2021-02-14,33.58733031674208
2021-02-21,21.591855203619907
2021-02-28,33.58733031674208
2021-03-07,33.58733031674208
2021-03-14,35.98642533936651
2021-03-21,31.188235294117646
2021-03-28,38.38552036199095
2021-04-04,28.78914027149321
2021-04-11,21.591855203619907
2021-04-18,28.78914027149321
2021-04-25,33.58733031674208
2021-05-02,45.58280542986425
2021-05-09,38.38552036199095
2021-05-16,33.58733031674208
2021-05-23,31.188235294117646
2021-05-30,31.188235294117646
2021-06-06,43.183710407239815
2021-06-13,43.183710407239815
2021-06-20,35.98642533936651
2021-06-27,31.188235294117646
2021-07-04,35.98642533936651
2021-07-11,43.183710407239815
2021-07-18,40.784615384615385
2021-07-25,40.784615384615385
2021-08-01,35.98642533936651
2021-08-08,40.784615384615385
2021-08-15,40.784615384615385
2021-08-22,38.38552036199095
2021-08-29,35.98642533936651
2021-09-05,38.38552036199095
2021-09-12,40.784615384615385
2021-09-19,43.183710407239815
2021-09-26,43.183710407239815
2021-10-03,43.183710407239815
2021-10-10,40.784615384615385
2021-10-17,35.98642533936651
2021-10-24,40.784615384615385
2021-10-31,38.38552036199095
2021-11-07,45.58280542986425
2021-11-14,31.188235294117646
2021-11-21,43.183710407239815
2021-11-28,38.38552036199095
2021-12-05,38.38552036199095
2021-12-12,43.183710407239815
2021-12-19,33.58733031674208
2021-12-26,45.58280542986425
2022-01-02,67.17466063348417
2022-01-09,52.780090497737554
2022-01-16,45.58280542986425
2022-01-23,45.58280542986425
2022-01-30,55.17918552036199
2022-02-06,64.77556561085973
2022-02-13,62.37647058823529
2022-02-20,79.17013574660633
2022-02-27,115.15656108597284
2022-03-06,64.77556561085973
2022-03-13,69.57375565610859
2022-03-20,69.57375565610859
2022-03-27,55.17918552036199
2022-04-03,50.38099547511312
2022-04-10,50.38099547511312
2022-04-17,59.977375565610856
2022-04-24,47.98190045248869
2022-05-01,45.58280542986425
2022-05-08,50.38099547511312
2022-05-15,43.183710407239815
2022-05-22,59.977375565610856
2022-05-29,62.37647058823529
2022-06-05,57.57828054298642
2022-06-12,67.17466063348417
2022-06-19,55.17918552036199
2022-06-26,64.77556561085973
2022-07-03,59.977375565610856
2022-07-10,81.56923076923077
2022-07-17,239.90950226244343
2022-07-24,93.56470588235294
2022-07-31,91.1656108597285
2022-08-07,71.97285067873302
2022-08-14,67.17466063348417
2022-08-21,69.57375565610859
2022-08-28,62.37647058823529
2022-09-04,71.97285067873302
2022-09-11,69.57375565610859
2022-09-18,71.97285067873302
2022-09-25,52.780090497737554
2022-10-02,59.977375565610856
2022-10-09,64.77556561085973
2022-10-16,59.977375565610856
2022-10-23,62.37647058823529
2022-10-30,67.17466063348417
2022-11-06,62.37647058823529
2022-11-13,67.17466063348417
2022-11-20,74.37194570135746
2022-11-27,57.57828054298642
2022-12-04,62.37647058823529
2022-12-11,64.77556561085973
2022-12-18,55.17918552036199
2022-12-25,69.57375565610859
2023-01-01,64.77556561085973
2023-01-08,55.17918552036199
2023-01-15,67.17466063348417
2023-01-22,62.37647058823529
2023-01-29,67.17466063348417
2023-02-05,69.57375565610859
2023-02-12,74.37194570135746
2023-02-19,74.37194570135746
2023-02-26,62.37647058823529
2023-03-05,62.37647058823529
2023-03-12,64.77556561085973
2023-03-19,62.37647058823529
2023-03-26,64.77556561085973
2023-04-02,64.77556561085973
2023-04-09,45.58280542986425
2023-04-16,52.780090497737554
2023-04-23,57.57828054298642
2023-04-30,57.57828054298642
2023-05-07,57.57828054298642
2023-05-14,67.17466063348417
2023-05-21,64.77556561085973
2023-05-28,62.37647058823529
2023-06-04,67.17466063348417
2023-06-11,69.57375565610859
2023-06-18,67.17466063348417
2023-06-25,59.977375565610856
2023-07-02,67.17466063348417
2023-07-09,71.97285067873302
2023-07-16,81.56923076923077
2023-07-23,71.97285067873302
2023-07-30,64.77556561085973
2023-08-06,69.57375565610859
2023-08-13,64.77556561085973
2023-08-20,74.37194570135746
2023-08-27,67.17466063348417
2023-09-03,62.37647058823529
2023-09-10,74.37194570135746
2023-09-17,69.57375565610859
2023-09-24,64.77556561085973
2023-10-01,76.7710407239819
2023-10-08,71.97285067873302
2023-10-15,64.77556561085973
2023-10-22,64.77556561085973
2023-10-29,67.17466063348417
2023-11-05,59.977375565610856
2023-11-12,57.57828054298642
2023-11-19,64.77556561085973
2023-11-26,71.97285067873302
2023-12-03,62.37647058823529
2023-12-10,62.37647058823529
2023-12-17,59.977375565610856
2023-12-24,64.77556561085973
2023-12-31,76.7710407239819
2024-01-07,67.76391204254982
2024-01-14,74.5403032468048
2024-01-21,66.06981424148607
2024-01-28,83.01079225212354
2024-02-04,76.23440104786854
2024-02-11,74.5403032468048
2024-02-18,74.5403032468048
2024-02-25,76.23440104786854
2024-03-03,71.15210764467732
2024-03-10,79.62259664999604
