,Web Hosting & Domain Registration
2018-10-28,53.0
2018-11-04,65.0
2018-11-11,57.0
2018-11-18,59.0
2018-11-25,66.0
2018-12-02,66.0
2018-12-09,57.0
2018-12-16,63.0
2018-12-23,44.0
2018-12-30,57.0
2019-01-06,59.0
2019-01-13,53.0
2019-01-20,50.0
2019-01-27,55.0
2019-02-03,51.0
2019-02-10,55.0
2019-02-17,64.0
2019-02-24,59.0
2019-03-03,54.0
2019-03-10,54.0
2019-03-17,53.0
2019-03-24,45.0
2019-03-31,56.0
2019-04-07,46.0
2019-04-14,37.0
2019-04-21,41.0
2019-04-28,51.0
2019-05-05,56.0
2019-05-12,53.0
2019-05-19,57.0
2019-05-26,53.0
2019-06-02,55.0
2019-06-09,62.0
2019-06-16,53.0
2019-06-23,63.0
2019-06-30,59.0
2019-07-07,54.0
2019-07-14,57.0
2019-07-21,60.0
2019-07-28,61.0
2019-08-04,52.0
2019-08-11,58.0
2019-08-18,64.0
2019-08-25,51.0
2019-09-01,56.0
2019-09-08,50.0
2019-09-15,52.0
2019-09-22,57.0
2019-09-29,57.0
2019-10-06,65.0
2019-10-13,68.0
2019-10-20,66.0
2019-10-27,57.0
2019-11-03,65.0
2019-11-10,58.0
2019-11-17,60.0
2019-11-24,58.0
2019-12-01,56.0
2019-12-08,53.0
2019-12-15,55.0
2019-12-22,58.0
2019-12-29,54.0
2020-01-05,53.50352704064495
2020-01-12,57.39469264360095
2020-01-19,51.55794423916695
2020-01-26,57.39469264360095
2020-02-02,56.42190124286194
2020-02-09,66.14981525025193
2020-02-16,62.25864964729594
2020-02-23,64.20423244877394
2020-03-01,64.20423244877394
2020-03-08,55.449109842122944
2020-03-15,56.42190124286194
2020-03-22,55.449109842122944
2020-03-29,51.55794423916695
2020-04-05,58.367484044339946
2020-04-12,55.449109842122944
2020-04-19,58.367484044339946
2020-04-26,68.09539805172993
2020-05-03,58.367484044339946
2020-05-10,63.23144104803494
2020-05-17,69.06818945246893
2020-05-24,66.14981525025193
2020-05-31,70.04098085320793
2020-06-07,71.01377225394693
2020-06-14,76.85052065838093
2020-06-21,76.85052065838093
2020-06-28,57.39469264360095
2020-07-05,60.31306684581794
2020-07-12,66.14981525025193
2020-07-19,66.14981525025193
2020-07-26,69.06818945246893
2020-08-02,55.449109842122944
2020-08-09,62.25864964729594
2020-08-16,64.20423244877394
2020-08-23,59.340275445078944
2020-08-30,62.25864964729594
2020-09-06,63.23144104803494
2020-09-13,58.367484044339946
2020-09-20,53.50352704064495
2020-09-27,45.72119583473295
2020-10-04,52.53073563990595
2020-10-11,60.31306684581794
2020-10-18,65.17702384951293
2020-10-25,57.39469264360095
2020-11-01,58.367484044339946
2020-11-08,63.23144104803494
2020-11-15,55.449109842122944
2020-11-22,66.14981525025193
2020-11-29,63.23144104803494
2020-12-06,63.23144104803494
2020-12-13,66.14981525025193
2020-12-20,49.61236143768895
2020-12-27,60.31306684581794
2021-01-03,52.53073563990595
2021-01-10,57.39469264360095
2021-01-17,45.72119583473295
2021-01-24,48.639570036949955
2021-01-31,52.53073563990595
2021-02-07,57.39469264360095
2021-02-14,60.31306684581794
2021-02-21,56.42190124286194
2021-02-28,48.639570036949955
2021-03-07,62.25864964729594
2021-03-14,55.449109842122944
2021-03-21,57.39469264360095
2021-03-28,58.367484044339946
2021-04-04,58.367484044339946
2021-04-11,44.748404433993954
2021-04-18,56.42190124286194
2021-04-25,48.639570036949955
2021-05-02,59.340275445078944
2021-05-09,57.39469264360095
2021-05-16,67.12260665099093
2021-05-23,59.340275445078944
2021-05-30,65.17702384951293
2021-06-06,72.95935505542494
2021-06-13,67.12260665099093
2021-06-20,63.23144104803494
2021-06-27,63.23144104803494
2021-07-04,62.25864964729594
2021-07-11,61.28585824655694
2021-07-18,60.31306684581794
2021-07-25,62.25864964729594
2021-08-01,52.53073563990595
2021-08-08,63.23144104803494
2021-08-15,63.23144104803494
2021-08-22,61.28585824655694
2021-08-29,62.25864964729594
2021-09-05,60.31306684581794
2021-09-12,61.28585824655694
2021-09-19,57.39469264360095
2021-09-26,51.55794423916695
2021-10-03,55.449109842122944
2021-10-10,64.20423244877394
2021-10-17,52.53073563990595
2021-10-24,54.476318441383945
2021-10-31,59.340275445078944
2021-11-07,67.12260665099093
2021-11-14,43.775613033254956
2021-11-21,54.476318441383945
2021-11-28,53.50352704064495
2021-12-05,54.476318441383945
2021-12-12,58.367484044339946
2021-12-19,42.80282163251596
2021-12-26,56.42190124286194
2022-01-02,74.90493785690293
2022-01-09,83.66006046355392
2022-01-16,65.17702384951293
2022-01-23,85.60564326503192
2022-01-30,80.74168626133692
2022-02-06,76.85052065838093
2022-02-13,80.74168626133692
2022-02-20,75.87772925764193
2022-02-27,83.66006046355392
2022-03-06,78.79610345985893
2022-03-13,80.74168626133692
2022-03-20,82.68726906281492
2022-03-27,63.23144104803494
2022-04-03,71.01377225394693
2022-04-10,60.31306684581794
2022-04-17,78.79610345985893
2022-04-24,71.98656365468592
2022-05-01,81.71447766207592
2022-05-08,64.20423244877394
2022-05-15,78.79610345985893
2022-05-22,75.87772925764193
2022-05-29,84.63285186429292
2022-06-05,76.85052065838093
2022-06-12,73.93214645616393
2022-06-19,77.82331205911993
2022-06-26,84.63285186429292
2022-07-03,97.27914007389991
2022-07-10,78.79610345985893
2022-07-17,81.71447766207592
2022-07-24,75.87772925764193
2022-07-31,84.63285186429292
2022-08-07,84.63285186429292
2022-08-14,90.46960026872691
2022-08-21,92.4151830702049
2022-08-28,80.74168626133692
2022-09-04,76.85052065838093
2022-09-11,71.98656365468592
2022-09-18,81.71447766207592
2022-09-25,75.87772925764193
2022-10-02,95.33355727242191
2022-10-09,74.90493785690293
2022-10-16,77.82331205911993
2022-10-23,73.93214645616393
2022-10-30,75.87772925764193
2022-11-06,83.66006046355392
2022-11-13,81.71447766207592
2022-11-20,82.68726906281492
2022-11-27,76.85052065838093
2022-12-04,76.85052065838093
2022-12-11,77.82331205911993
2022-12-18,71.98656365468592
2022-12-25,72.95935505542494
2023-01-01,77.82331205911993
2023-01-08,78.79610345985893
2023-01-15,77.82331205911993
2023-01-22,81.71447766207592
2023-01-29,86.57843466577091
2023-02-05,90.46960026872691
2023-02-12,89.49680886798791
2023-02-19,85.60564326503192
2023-02-26,83.66006046355392
2023-03-05,87.55122606650991
2023-03-12,82.68726906281492
2023-03-19,75.87772925764193
2023-03-26,80.74168626133692
2023-04-02,81.71447766207592
2023-04-09,62.25864964729594
2023-04-16,78.79610345985893
2023-04-23,78.79610345985893
2023-04-30,77.82331205911993
2023-05-07,78.79610345985893
2023-05-14,73.93214645616393
2023-05-21,81.71447766207592
2023-05-28,76.85052065838093
2023-06-04,89.49680886798791
2023-06-11,89.49680886798791
2023-06-18,82.68726906281492
2023-06-25,81.71447766207592
2023-07-02,85.60564326503192
2023-07-09,88.52401746724891
2023-07-16,86.57843466577091
2023-07-23,89.49680886798791
2023-07-30,84.63285186429292
2023-08-06,95.33355727242191
2023-08-13,91.4423916694659
2023-08-20,81.71447766207592
2023-08-27,90.46960026872691
2023-09-03,82.68726906281492
2023-09-10,83.66006046355392
2023-09-17,73.93214645616393
2023-09-24,73.93214645616393
2023-10-01,73.93214645616393
2023-10-08,73.93214645616393
2023-10-15,69.06818945246893
2023-10-22,72.95935505542494
2023-10-29,71.01377225394693
2023-11-05,77.82331205911993
2023-11-12,85.60564326503192
2023-11-19,82.68726906281492
2023-11-26,85.60564326503192
2023-12-03,78.79610345985893
2023-12-10,91.4423916694659
2023-12-17,82.68726906281492
2023-12-24,72.95935505542494
2023-12-31,83.66006046355392
2024-01-07,79.26033235774956
2024-01-14,86.05407513127096
2024-01-21,93.98010836704591
2024-01-28,88.31865605577809
2024-02-04,79.26033235774956
2024-02-11,84.9217846690174
2024-02-18,88.31865605577809
2024-02-25,81.52491328225669
2024-03-03,84.9217846690174
2024-03-10,86.05407513127096
2024-03-17,79.26033235774956
2024-03-24,80.39262282000313
2024-03-31,82.65720374451026
2024-04-07,70.20200865972105
2024-04-14,71.33429912197461
2024-04-21,83.78949420676382
2024-04-28,76.99575143324243
2024-05-05,76.99575143324243
2024-05-12,89.45094651803166
2024-05-19,71.33429912197461
2024-05-26,88.31865605577809
2024-06-02,92.84781790479235
2024-06-09,82.65720374451026
2024-06-16,82.65720374451026
2024-06-23,88.31865605577809
2024-06-30,88.31865605577809
2024-07-07,93.98010836704591
2024-07-14,96.24468929155304
2024-07-21,88.31865605577809
2024-07-28,91.71552744253879
2024-08-04,84.9217846690174
2024-08-11,82.65720374451026
2024-08-18,86.05407513127096
2024-08-25,96.24468929155304
2024-09-01,96.24468929155304
2024-09-08,82.65720374451026
2024-09-15,83.78949420676382
2024-09-22,89.45094651803166
2024-09-29,92.84781790479235
2024-10-06,88.31865605577809
2024-10-13,88.31865605577809
2024-10-20,89.45094651803166
2024-10-27,87.18636559352453
2024-11-03,86.05407513127096
2024-11-10,90.58323698028522
2024-11-17,92.84781790479235
2024-11-24,97.37697975380661
2024-12-01,97.37697975380661
2024-12-08,96.24468929155304
2024-12-15,95.11239882929948
2024-12-22,97.37697975380661
2024-12-29,104.170722527328
2025-01-05,91.71552744253879
2025-01-12,93.98010836704591
2025-01-19,95.11239882929948
2025-01-26,99.64156067831374
2025-02-02,99.64156067831374
2025-02-09,90.58323698028522
2025-02-16,99.64156067831374
2025-02-23,84.9217846690174
2025-03-02,97.37697975380661
2025-03-09,89.45094651803166
2025-03-16,98.50927021606017
2025-03-23,92.84781790479235
2025-03-30,91.71552744253879
2025-04-06,80.39262282000313
2025-04-13,76.99575143324243
2025-04-20,90.58323698028522
2025-04-27,84.9217846690174
2025-05-04,81.52491328225669
2025-05-11,91.71552744253879
2025-05-18,101.90614160282087
2025-05-25,100.7738511405673
2025-06-01,97.37697975380661
2025-06-08,97.37697975380661
2025-06-15,110.9644653008494
2025-06-22,101.90614160282087
2025-06-29,98.50927021606017
2025-07-06,87.18636559352453
2025-07-13,95.11239882929948
2025-07-20,90.58323698028522
2025-07-27,98.50927021606017
2025-08-03,100.7738511405673
2025-08-10,113.22904622535653
2025-08-17,108.69988437634225
2025-08-24,92.84781790479235
2025-08-31,93.98010836704591
2025-09-07,82.65720374451026
2025-09-14,83.78949420676382
2025-09-21,96.24468929155304
2025-09-28,103.03843206507443
2025-10-05,92.84781790479235
2025-10-12,95.11239882929948
2025-10-19,90.58323698028522
2025-10-26,83.78949420676382
2025-11-02,98.50927021606017
2025-11-09,97.37697975380661
2025-11-16,89.45094651803166
2025-11-23,91.71552744253879
2025-11-30,67.93742773521392
2025-12-07,100.7738511405673
2025-12-14,100.7738511405673
2025-12-21,97.37697975380661
2025-12-28,91.71552744253879
