,Building Materials & Supplies
2020-05-24,75.18877727745065
2020-05-31,85.93003117422931
2020-06-07,87.46449601662627
2020-06-14,90.53342570142017
2020-06-21,93.60235538621407
2020-06-28,82.86110148943541
2020-07-05,96.67128507100797
2020-07-12,96.67128507100797
2020-07-19,98.20574991340493
2020-07-26,93.60235538621407
2020-08-02,82.86110148943541
2020-08-09,96.67128507100797
2020-08-16,92.06789054381713
2020-08-23,93.60235538621407
2020-08-30,88.99896085902321
2020-09-06,92.06789054381713
2020-09-13,87.46449601662627
2020-09-20,85.93003117422931
2020-09-27,81.32663664703846
2020-10-04,81.32663664703846
2020-10-11,95.13682022861103
2020-10-18,92.06789054381713
2020-10-25,81.32663664703846
2020-11-01,73.6543124350537
2020-11-08,82.86110148943541
2020-11-15,84.39556633183236
2020-11-22,87.46449601662627
2020-11-29,82.86110148943541
2020-12-06,93.60235538621407
2020-12-13,93.60235538621407
2020-12-20,90.53342570142017
2020-12-27,84.39556633183236
2021-01-03,85.93003117422931
2021-01-10,82.86110148943541
2021-01-17,82.86110148943541
2021-01-24,87.46449601662627
2021-01-31,84.39556633183236
2021-02-07,93.60235538621407
2021-02-14,95.13682022861103
2021-02-21,92.06789054381713
2021-02-28,88.99896085902321
2021-03-07,88.99896085902321
2021-03-14,99.74021475580189
2021-03-21,98.20574991340493
2021-03-28,98.20574991340493
2021-04-04,95.13682022861103
2021-04-11,73.6543124350537
2021-04-18,104.34360928299273
2021-04-25,102.80914444059579
2021-05-02,105.87807412538969
2021-05-09,93.60235538621407
2021-05-16,102.80914444059579
2021-05-23,85.93003117422931
2021-05-30,99.74021475580189
2021-06-06,99.74021475580189
2021-06-13,101.27467959819883
2021-06-20,107.41253896778665
2021-06-27,115.0848631797714
2021-07-04,119.68825770696226
2021-07-11,118.1537928645653
2021-07-18,121.2227225493592
2021-07-25,116.61932802216836
2021-08-01,110.48146865258055
2021-08-08,107.41253896778665
2021-08-15,104.34360928299273
2021-08-22,87.46449601662627
2021-08-29,99.74021475580189
2021-09-05,104.34360928299273
2021-09-12,113.55039833737445
2021-09-19,108.94700381018359
2021-09-26,113.55039833737445
2021-10-03,118.1537928645653
2021-10-10,127.36058191894702
2021-10-17,124.29165223415312
2021-10-24,119.68825770696226
2021-10-31,122.75718739175616
2021-11-07,121.2227225493592
2021-11-14,121.2227225493592
2021-11-21,121.2227225493592
2021-11-28,119.68825770696226
2021-12-05,124.29165223415312
2021-12-12,108.94700381018359
2021-12-19,115.0848631797714
2021-12-26,112.0159334949775
2022-01-02,136.56737097332874
2022-01-09,128.89504676134396
2022-01-16,121.2227225493592
2022-01-23,128.89504676134396
2022-01-30,127.36058191894702
2022-02-06,135.0329061309318
2022-02-13,127.36058191894702
2022-02-20,153.4464842396952
2022-02-27,135.0329061309318
2022-03-06,139.63630065812262
2022-03-13,136.56737097332874
2022-03-20,139.63630065812262
2022-03-27,130.42951160374093
2022-04-03,116.61932802216836
2022-04-10,92.06789054381713
2022-04-17,121.2227225493592
2022-04-24,135.0329061309318
2022-05-01,128.89504676134396
2022-05-08,104.34360928299273
2022-05-15,105.87807412538969
2022-05-22,121.2227225493592
2022-05-29,128.89504676134396
2022-06-05,121.2227225493592
2022-06-12,112.0159334949775
2022-06-19,115.0848631797714
2022-06-26,125.82611707655006
2022-07-03,115.0848631797714
2022-07-10,104.34360928299273
2022-07-17,118.1537928645653
2022-07-24,110.48146865258055
2022-07-31,119.68825770696226
2022-08-07,116.61932802216836
2022-08-14,124.29165223415312
2022-08-21,116.61932802216836
2022-08-28,121.2227225493592
2022-09-04,113.55039833737445
2022-09-11,105.87807412538969
2022-09-18,116.61932802216836
2022-09-25,108.94700381018359
2022-10-02,112.0159334949775
2022-10-09,112.0159334949775
2022-10-16,108.94700381018359
2022-10-23,107.41253896778665
2022-10-30,107.41253896778665
2022-11-06,105.87807412538969
2022-11-13,113.55039833737445
2022-11-20,104.34360928299273
2022-11-27,102.80914444059579
2022-12-04,105.87807412538969
2022-12-11,107.41253896778665
2022-12-18,110.48146865258055
2022-12-25,110.48146865258055
2023-01-01,96.67128507100797
2023-01-08,107.41253896778665
2023-01-15,102.80914444059579
2023-01-22,113.55039833737445
2023-01-29,104.34360928299273
2023-02-05,105.87807412538969
2023-02-12,113.55039833737445
2023-02-19,112.0159334949775
2023-02-26,104.34360928299273
2023-03-05,96.67128507100797
2023-03-12,99.74021475580189
2023-03-19,104.34360928299273
2023-03-26,102.80914444059579
2023-04-02,102.80914444059579
2023-04-09,85.93003117422931
2023-04-16,102.80914444059579
2023-04-23,98.20574991340493
2023-04-30,85.93003117422931
2023-05-07,93.60235538621407
2023-05-14,108.94700381018359
2023-05-21,104.34360928299273
