,Data Management
2014-12-28,72.0
2015-01-04,58.0
2015-01-11,71.0
2015-01-18,76.0
2015-01-25,78.0
2015-02-01,61.0
2015-02-08,93.0
2015-02-15,85.0
2015-02-22,86.0
2015-03-01,72.0
2015-03-08,87.0
2015-03-15,98.0
2015-03-22,93.0
2015-03-29,72.0
2015-04-05,77.0
2015-04-12,45.0
2015-04-19,81.0
2015-04-26,80.0
2015-05-03,75.0
2015-05-10,94.0
2015-05-17,86.0
2015-05-24,84.0
2015-05-31,82.0
2015-06-07,88.0
2015-06-14,98.0
2015-06-21,95.0
2015-06-28,96.0
2015-07-05,82.0
2015-07-12,88.0
2015-07-19,98.0
2015-07-26,73.0
2015-08-02,86.0
2015-08-09,94.0
2015-08-16,75.0
2015-08-23,79.0
2015-08-30,85.0
2015-09-06,90.0
2015-09-13,89.0
2015-09-20,75.0
2015-09-27,75.0
2015-10-04,82.0
2015-10-11,87.0
2015-10-18,83.0
2015-10-25,73.0
2015-11-01,83.0
2015-11-08,86.0
2015-11-15,88.0
2015-11-22,78.0
2015-11-29,81.0
2015-12-06,85.0
2015-12-13,79.0
2015-12-20,59.0
2015-12-27,70.0
2016-01-03,88.0
2016-01-10,79.0
2016-01-17,86.0
2016-01-24,76.0
2016-01-31,84.0
2016-02-07,84.0
2016-02-14,88.0
2016-02-21,78.0
2016-02-28,99.0
2016-03-06,91.0
2016-03-13,82.0
2016-03-20,79.0
2016-03-27,88.0
2016-04-03,77.0
2016-04-10,42.0
2016-04-17,67.0
2016-04-24,81.0
2016-05-01,88.0
2016-05-08,84.0
2016-05-15,75.0
2016-05-22,77.0
2016-05-29,85.0
2016-06-05,81.0
2016-06-12,91.0
2016-06-19,94.0
2016-06-26,88.0
2016-07-03,94.0
2016-07-10,86.0
2016-07-17,91.0
2016-07-24,91.0
2016-07-31,88.0
2016-08-07,95.0
2016-08-14,95.0
2016-08-21,87.0
2016-08-28,84.0
2016-09-04,83.0
2016-09-11,79.0
2016-09-18,89.0
2016-09-25,92.0
2016-10-02,98.0
2016-10-09,89.0
2016-10-16,80.0
2016-10-23,86.0
2016-10-30,88.0
2016-11-06,79.0
2016-11-13,95.0
2016-11-20,87.0
2016-11-27,90.0
2016-12-04,77.0
2016-12-11,59.0
2016-12-18,79.0
2016-12-25,68.0
2017-01-01,86.0
2017-01-08,76.0
2017-01-15,88.0
2017-01-22,82.0
2017-01-29,80.0
2017-02-05,85.0
2017-02-12,82.0
2017-02-19,88.0
2017-02-26,92.0
2017-03-05,90.0
2017-03-12,92.0
2017-03-19,83.0
2017-03-26,87.0
2017-04-02,87.0
2017-04-09,46.0
2017-04-16,81.0
2017-04-23,91.0
