,Office Supplies
2014-12-28,52.0
2015-01-04,41.0
2015-01-11,47.0
2015-01-18,43.0
2015-01-25,50.0
2015-02-01,45.0
2015-02-08,48.0
2015-02-15,46.0
2015-02-22,41.0
2015-03-01,48.0
2015-03-08,52.0
2015-03-15,54.0
2015-03-22,51.0
2015-03-29,40.0
2015-04-05,46.0
2015-04-12,38.0
2015-04-19,49.0
2015-04-26,43.0
2015-05-03,44.0
2015-05-10,55.0
2015-05-17,61.0
2015-05-24,58.0
2015-05-31,54.0
2015-06-07,56.0
2015-06-14,59.0
2015-06-21,60.0
2015-06-28,52.0
2015-07-05,59.0
2015-07-12,52.0
2015-07-19,56.0
2015-07-26,58.0
2015-08-02,57.0
2015-08-09,55.0
2015-08-16,52.0
2015-08-23,56.0
2015-08-30,59.0
2015-09-06,59.0
2015-09-13,56.0
2015-09-20,58.0
2015-09-27,58.0
2015-10-04,58.0
2015-10-11,61.0
2015-10-18,61.0
2015-10-25,49.0
2015-11-01,62.0
2015-11-08,57.0
2015-11-15,67.0
2015-11-22,55.0
2015-11-29,63.0
2015-12-06,62.0
2015-12-13,53.0
2015-12-20,54.0
2015-12-27,55.0
2016-01-03,72.0
2016-01-10,51.0
2016-01-17,57.0
2016-01-24,58.0
2016-01-31,64.0
2016-02-07,69.0
2016-02-14,61.0
2016-02-21,55.0
2016-02-28,63.0
2016-03-06,55.0
2016-03-13,60.0
2016-03-20,56.0
2016-03-27,50.0
2016-04-03,55.0
2016-04-10,35.0
2016-04-17,44.0
2016-04-24,53.0
2016-05-01,67.0
2016-05-08,67.0
2016-05-15,56.0
2016-05-22,63.0
2016-05-29,62.0
2016-06-05,65.0
2016-06-12,71.0
2016-06-19,60.0
2016-06-26,68.0
2016-07-03,67.0
2016-07-10,66.0
2016-07-17,67.0
2016-07-24,74.0
2016-07-31,71.0
2016-08-07,67.0
2016-08-14,68.0
2016-08-21,67.0
2016-08-28,67.0
2016-09-04,57.0
2016-09-11,52.0
2016-09-18,72.0
2016-09-25,62.0
2016-10-02,77.0
2016-10-09,77.0
2016-10-16,71.0
2016-10-23,68.0
2016-10-30,70.0
2016-11-06,68.0
2016-11-13,71.0
2016-11-20,72.0
2016-11-27,60.0
2016-12-04,71.0
2016-12-11,60.0
2016-12-18,65.0
2016-12-25,55.0
2017-01-01,76.0
2017-01-08,59.0
2017-01-15,71.0
2017-01-22,66.0
2017-01-29,71.0
2017-02-05,62.0
2017-02-12,74.0
2017-02-19,62.0
2017-02-26,64.0
2017-03-05,72.0
2017-03-12,70.0
2017-03-19,62.0
2017-03-26,68.0
2017-04-02,65.0
2017-04-09,44.0
2017-04-16,63.0
2017-04-23,63.0
2017-04-30,62.0
2017-05-07,52.0
2017-05-14,62.0
2017-05-21,74.0
2017-05-28,60.0
2017-06-04,57.0
2017-06-11,67.0
2017-06-18,64.0
2017-06-25,66.0
2017-07-02,72.0
2017-07-09,69.0
2017-07-16,72.0
2017-07-23,67.0
2017-07-30,71.0
2017-08-06,69.0
2017-08-13,66.0
2017-08-20,70.0
2017-08-27,75.0
2017-09-03,70.0
2017-09-10,61.0
2017-09-17,70.0
2017-09-24,72.0
2017-10-01,72.0
2017-10-08,81.0
2017-10-15,78.0
2017-10-22,74.0
2017-10-29,71.0
2017-11-05,77.0
2017-11-12,77.0
2017-11-19,79.0
2017-11-26,72.0
2017-12-03,74.0
2017-12-10,72.0
2017-12-17,85.0
2017-12-24,74.0
2017-12-31,61.0
2018-01-07,84.0
2018-01-14,74.0
2018-01-21,70.0
2018-01-28,72.0
2018-02-04,73.0
2018-02-11,69.0
2018-02-18,70.0
2018-02-25,67.0
2018-03-04,70.0
2018-03-11,67.0
2018-03-18,76.0
2018-03-25,70.0
2018-04-01,65.0
2018-04-08,49.0
2018-04-15,59.0
2018-04-22,69.0
2018-04-29,56.0
2018-05-06,73.0
2018-05-13,70.0
2018-05-20,63.0
2018-05-27,71.0
2018-06-03,73.0
2018-06-10,72.0
2018-06-17,64.0
2018-06-24,51.0
2018-07-01,59.0
2018-07-08,80.0
2018-07-15,79.0
2018-07-22,75.0
2018-07-29,80.0
2018-08-05,82.0
2018-08-12,89.0
2018-08-19,81.0
2018-08-26,81.0
2018-09-02,76.0
2018-09-09,79.0
2018-09-16,80.0
2018-09-23,79.0
2018-09-30,79.0
2018-10-07,89.0
2018-10-14,79.0
2018-10-21,73.0
2018-10-28,95.0
2018-11-04,87.0
2018-11-11,91.0
2018-11-18,82.0
2018-11-25,90.0
2018-12-02,90.0
2018-12-09,92.0
2018-12-16,86.0
2018-12-23,89.0
2018-12-30,100.0
2019-01-06,91.0
2019-01-13,85.0
2019-01-20,96.0
2019-01-27,82.0
2019-02-03,82.0
2019-02-10,85.0
2019-02-17,79.0
2019-02-24,78.0
2019-03-03,83.0
2019-03-10,84.0
2019-03-17,83.0
2019-03-24,87.0
2019-03-31,77.0
2019-04-07,68.0
2019-04-14,52.0
2019-04-21,55.0
2019-04-28,64.0
2019-05-05,66.0
2019-05-12,64.0
2019-05-19,69.0
2019-05-26,76.0
2019-06-02,74.0
2019-06-09,77.0
2019-06-16,76.0
2019-06-23,80.0
2019-06-30,69.0
2019-07-07,96.0
2019-07-14,76.0
2019-07-21,84.0
2019-07-28,79.0
2019-08-04,78.0
2019-08-11,70.0
2019-08-18,76.0
2019-08-25,78.0
2019-09-01,78.0
2019-09-08,70.0
2019-09-15,72.0
2019-09-22,74.0
2019-09-29,74.0
2019-10-06,69.0
2019-10-13,79.0
2019-10-20,78.0
2019-10-27,76.0
2019-11-03,76.0
2019-11-10,68.0
2019-11-17,76.0
2019-11-24,79.0
2019-12-01,73.0
2019-12-08,75.0
2019-12-15,86.0
2019-12-22,75.0
2019-12-29,72.0
2020-01-05,75.01949202598938
2020-01-12,73.8473124630833
2020-01-19,80.8803898405198
2020-01-26,73.8473124630833
2020-02-02,65.6420555227407
2020-02-09,70.33077377436504
2020-02-16,80.8803898405198
2020-02-23,69.15859421145896
2020-03-01,72.67513290017722
2020-03-08,59.78115770821029
2020-03-15,49.23154164205553
2020-03-22,45.715002953337276
2020-03-29,50.40372120496161
2020-04-05,52.74808033077378
2020-04-12,48.059362079149444
2020-04-19,51.5759007678677
2020-04-26,57.43679858239812
2020-05-03,62.125516834022456
2020-05-10,72.67513290017722
2020-05-17,72.67513290017722
2020-05-24,71.50295333727112
2020-05-31,67.98641464855288
2020-06-07,73.8473124630833
2020-06-14,75.01949202598938
2020-06-21,78.53603071470764
2020-06-28,77.36385115180154
2020-07-05,77.36385115180154
2020-07-12,84.39692852923805
2020-07-19,84.39692852923805
2020-07-26,80.8803898405198
2020-08-02,69.15859421145896
2020-08-09,83.22474896633197
2020-08-16,83.22474896633197
2020-08-23,80.8803898405198
2020-08-30,78.53603071470764
2020-09-06,71.50295333727112
2020-09-13,85.56910809214413
2020-09-20,79.70821027761372
2020-09-27,78.53603071470764
2020-10-04,76.19167158889546
2020-10-11,82.05256940342588
2020-10-18,87.91346721795631
2020-10-25,72.67513290017722
