,Retail Trade
2014-12-28,45.0
2015-01-04,43.0
2015-01-11,46.0
2015-01-18,65.0
2015-01-25,51.0
2015-02-01,52.0
2015-02-08,60.0
2015-02-15,67.0
2015-02-22,64.0
2015-03-01,57.0
2015-03-08,64.0
2015-03-15,59.0
2015-03-22,74.0
2015-03-29,62.0
2015-04-05,56.0
2015-04-12,43.0
2015-04-19,60.0
2015-04-26,53.0
2015-05-03,49.0
2015-05-10,63.0
2015-05-17,56.0
2015-05-24,65.0
2015-05-31,63.0
2015-06-07,69.0
2015-06-14,48.0
2015-06-21,59.0
2015-06-28,58.0
2015-07-05,71.0
2015-07-12,70.0
2015-07-19,77.0
2015-07-26,62.0
2015-08-02,75.0
2015-08-09,55.0
2015-08-16,63.0
2015-08-23,62.0
2015-08-30,58.0
2015-09-06,64.0
2015-09-13,69.0
2015-09-20,61.0
2015-09-27,61.0
2015-10-04,66.0
2015-10-11,66.0
2015-10-18,67.0
2015-10-25,56.0
2015-11-01,59.0
2015-11-08,62.0
2015-11-15,77.0
2015-11-22,72.0
2015-11-29,78.0
2015-12-06,68.0
2015-12-13,86.0
2015-12-20,66.0
2015-12-27,61.0
2016-01-03,74.0
2016-01-10,79.0
2016-01-17,54.0
2016-01-24,57.0
2016-01-31,67.0
2016-02-07,57.0
2016-02-14,66.0
2016-02-21,64.0
2016-02-28,62.0
2016-03-06,67.0
2016-03-13,67.0
2016-03-20,60.0
2016-03-27,65.0
2016-04-03,70.0
2016-04-10,42.0
2016-04-17,70.0
2016-04-24,68.0
2016-05-01,66.0
2016-05-08,66.0
2016-05-15,64.0
2016-05-22,71.0
2016-05-29,83.0
2016-06-05,69.0
2016-06-12,69.0
2016-06-19,69.0
2016-06-26,61.0
2016-07-03,57.0
2016-07-10,66.0
2016-07-17,68.0
2016-07-24,72.0
2016-07-31,66.0
2016-08-07,67.0
2016-08-14,65.0
2016-08-21,61.0
2016-08-28,78.0
2016-09-04,90.0
2016-09-11,71.0
2016-09-18,72.0
2016-09-25,81.0
2016-10-02,73.0
2016-10-09,81.0
2016-10-16,72.0
2016-10-23,69.0
2016-10-30,79.0
2016-11-06,69.0
2016-11-13,69.0
2016-11-20,74.0
2016-11-27,58.0
2016-12-04,72.0
2016-12-11,68.0
2016-12-18,74.0
2016-12-25,85.0
2017-01-01,72.0
2017-01-08,72.0
2017-01-15,78.0
2017-01-22,81.0
2017-01-29,77.0
2017-02-05,78.0
2017-02-12,71.0
2017-02-19,84.0
2017-02-26,78.0
2017-03-05,72.0
2017-03-12,72.0
2017-03-19,88.0
2017-03-26,80.0
2017-04-02,76.0
2017-04-09,52.0
2017-04-16,81.0
2017-04-23,65.0
2017-04-30,74.0
2017-05-07,53.0
2017-05-14,76.0
2017-05-21,70.0
2017-05-28,67.0
2017-06-04,61.0
2017-06-11,67.0
2017-06-18,79.0
2017-06-25,78.0
2017-07-02,67.0
2017-07-09,81.0
2017-07-16,88.0
2017-07-23,92.0
2017-07-30,74.0
2017-08-06,74.0
