,Home Improvement
2020-05-31,80.1728813559322
2020-06-07,84.9593220338983
2020-06-14,87.35254237288136
2020-06-21,86.15593220338982
2020-06-28,82.56610169491526
2020-07-05,86.15593220338982
2020-07-12,86.15593220338982
2020-07-19,89.7457627118644
2020-07-26,86.15593220338982
2020-08-02,78.97627118644068
2020-08-09,84.9593220338983
2020-08-16,77.77966101694915
2020-08-23,82.56610169491526
2020-08-30,77.77966101694915
2020-09-06,82.56610169491526
2020-09-13,76.58305084745763
2020-09-20,75.3864406779661
2020-09-27,71.79661016949153
2020-10-04,77.77966101694915
2020-10-11,82.56610169491526
2020-10-18,81.36949152542373
2020-10-25,75.3864406779661
2020-11-01,74.18983050847457
2020-11-08,80.1728813559322
2020-11-15,77.77966101694915
2020-11-22,82.56610169491526
2020-11-29,82.56610169491526
2020-12-06,83.76271186440678
2020-12-13,89.7457627118644
2020-12-20,89.7457627118644
2020-12-27,80.1728813559322
2021-01-03,78.97627118644068
2021-01-10,77.77966101694915
2021-01-17,80.1728813559322
2021-01-24,81.36949152542373
2021-01-31,80.1728813559322
2021-02-07,86.15593220338982
2021-02-14,87.35254237288136
2021-02-21,88.54915254237288
2021-02-28,86.15593220338982
2021-03-07,88.54915254237288
2021-03-14,90.94237288135594
2021-03-21,90.94237288135594
2021-03-28,95.72881355932203
2021-04-04,88.54915254237288
2021-04-11,69.40338983050847
2021-04-18,92.13898305084746
2021-04-25,95.72881355932203
2021-05-02,93.33559322033898
2021-05-09,89.7457627118644
2021-05-16,93.33559322033898
2021-05-23,82.56610169491526
2021-05-30,95.72881355932203
2021-06-06,94.53220338983051
2021-06-13,94.53220338983051
2021-06-20,99.31864406779661
2021-06-27,101.71186440677967
2021-07-04,104.10508474576271
2021-07-11,104.10508474576271
2021-07-18,101.71186440677967
2021-07-25,99.31864406779661
2021-08-01,99.31864406779661
2021-08-08,95.72881355932203
2021-08-15,94.53220338983051
2021-08-22,82.56610169491526
2021-08-29,89.7457627118644
2021-09-05,96.92542372881356
2021-09-12,104.10508474576271
2021-09-19,104.10508474576271
2021-09-26,100.51525423728813
2021-10-03,104.10508474576271
2021-10-10,105.30169491525425
2021-10-17,107.69491525423729
2021-10-24,108.89152542372881
2021-10-31,110.08813559322034
2021-11-07,108.89152542372881
2021-11-14,96.92542372881356
2021-11-21,95.72881355932203
2021-11-28,98.12203389830509
2021-12-05,101.71186440677967
2021-12-12,93.33559322033898
2021-12-19,95.72881355932203
2021-12-26,96.92542372881356
2022-01-02,116.07118644067796
2022-01-09,113.67796610169492
2022-01-16,98.12203389830509
2022-01-23,108.89152542372881
2022-01-30,119.66101694915254
2022-02-06,111.28474576271186
2022-02-13,114.87457627118644
2022-02-20,119.66101694915254
2022-02-27,111.28474576271186
2022-03-06,112.48135593220339
2022-03-13,101.71186440677967
2022-03-20,114.87457627118644
2022-03-27,101.71186440677967
2022-04-03,87.35254237288136
2022-04-10,81.36949152542373
2022-04-17,94.53220338983051
2022-04-24,111.28474576271186
2022-05-01,104.10508474576271
2022-05-08,89.7457627118644
2022-05-15,95.72881355932203
2022-05-22,96.92542372881356
2022-05-29,101.71186440677967
2022-06-05,99.31864406779661
2022-06-12,93.33559322033898
2022-06-19,100.51525423728813
2022-06-26,102.90847457627119
2022-07-03,96.92542372881356
2022-07-10,112.48135593220339
2022-07-17,98.12203389830509
2022-07-24,94.53220338983051
2022-07-31,94.53220338983051
2022-08-07,95.72881355932203
2022-08-14,101.71186440677967
2022-08-21,102.90847457627119
2022-08-28,99.31864406779661
2022-09-04,96.92542372881356
2022-09-11,89.7457627118644
2022-09-18,95.72881355932203
2022-09-25,96.92542372881356
2022-10-02,93.33559322033898
2022-10-09,93.33559322033898
2022-10-16,98.12203389830509
2022-10-23,101.71186440677967
2022-10-30,94.53220338983051
2022-11-06,93.33559322033898
2022-11-13,96.92542372881356
2022-11-20,93.33559322033898
2022-11-27,92.13898305084746
2022-12-04,95.72881355932203
2022-12-11,95.72881355932203
2022-12-18,95.72881355932203
2022-12-25,96.92542372881356
2023-01-01,87.35254237288136
2023-01-08,93.33559322033898
2023-01-15,94.53220338983051
2023-01-22,105.30169491525425
2023-01-29,106.49830508474577
2023-02-05,98.12203389830509
2023-02-12,98.12203389830509
2023-02-19,92.13898305084746
2023-02-26,89.7457627118644
2023-03-05,86.15593220338982
2023-03-12,87.35254237288136
2023-03-19,90.94237288135594
2023-03-26,96.92542372881356
2023-04-02,99.31864406779661
2023-04-09,74.18983050847457
2023-04-16,84.9593220338983
2023-04-23,83.76271186440678
2023-04-30,77.77966101694915
2023-05-07,82.56610169491526
2023-05-14,86.15593220338982
2023-05-21,93.33559322033898
2023-05-28,83.76271186440678
2023-06-04,88.54915254237288
2023-06-11,90.94237288135594
2023-06-18,101.71186440677967
2023-06-25,99.31864406779661
2023-07-02,99.31864406779661
2023-07-09,100.51525423728813
2023-07-16,94.53220338983051
2023-07-23,93.33559322033898
2023-07-30,94.53220338983051
2023-08-06,107.69491525423729
2023-08-13,96.92542372881356
2023-08-20,89.7457627118644
2023-08-27,89.7457627118644
2023-09-03,95.72881355932203
2023-09-10,89.7457627118644
2023-09-17,88.54915254237288
2023-09-24,94.53220338983051
2023-10-01,99.31864406779661
2023-10-08,106.49830508474577
2023-10-15,105.30169491525425
2023-10-22,108.89152542372881
2023-10-29,107.69491525423729
2023-11-05,105.30169491525425
2023-11-12,105.30169491525425
2023-11-19,100.51525423728813
2023-11-26,98.12203389830509
2023-12-03,96.92542372881356
2023-12-10,88.54915254237288
2023-12-17,105.30169491525425
2023-12-24,98.12203389830509
2023-12-31,95.72881355932203
2024-01-07,92.792482331603
2024-01-14,98.97864782037652
2024-01-21,96.50418162486712
2024-01-28,98.97864782037652
2024-02-04,95.2669485271124
2024-02-11,97.74141472262183
2024-02-18,98.97864782037652
2024-02-25,103.92758021139535
2024-03-03,97.74141472262183
2024-03-10,100.21588091813123
2024-03-17,108.87651260241418
2024-03-24,103.92758021139535
2024-03-31,105.16481330915006
2024-04-07,86.60631684282946
2024-04-14,84.13185064732005
2024-04-21,101.45311401588594
2024-04-28,103.92758021139535
2024-05-05,100.21588091813123
2024-05-12,100.21588091813123
2024-05-19,85.36908374507476
2024-05-26,100.21588091813123
2024-06-02,106.40204640690476
2024-06-09,113.82544499343301
2024-06-16,106.40204640690476
2024-06-23,108.87651260241418
