,Restaurants
2014-12-28,37.0
2015-01-04,29.0
2015-01-11,26.0
2015-01-18,26.0
2015-01-25,28.0
2015-02-01,28.0
2015-02-08,32.0
2015-02-15,30.0
2015-02-22,30.0
2015-03-01,32.0
2015-03-08,30.0
2015-03-15,29.0
2015-03-22,31.0
2015-03-29,34.0
2015-04-05,33.0
2015-04-12,32.0
2015-04-19,28.0
2015-04-26,33.0
2015-05-03,31.0
2015-05-10,32.0
2015-05-17,33.0
2015-05-24,28.0
2015-05-31,28.0
2015-06-07,30.0
2015-06-14,31.0
2015-06-21,32.0
2015-06-28,34.0
2015-07-05,34.0
2015-07-12,34.0
2015-07-19,35.0
2015-07-26,34.0
2015-08-02,36.0
2015-08-09,39.0
2015-08-16,38.0
2015-08-23,35.0
2015-08-30,37.0
2015-09-06,37.0
2015-09-13,36.0
2015-09-20,35.0
2015-09-27,33.0
2015-10-04,31.0
2015-10-11,33.0
2015-10-18,32.0
2015-10-25,32.0
2015-11-01,36.0
2015-11-08,35.0
2015-11-15,35.0
2015-11-22,37.0
2015-11-29,38.0
2015-12-06,39.0
2015-12-13,43.0
2015-12-20,57.0
2015-12-27,53.0
2016-01-03,47.0
2016-01-10,43.0
2016-01-17,42.0
2016-01-24,43.0
2016-01-31,45.0
2016-02-07,41.0
2016-02-14,39.0
2016-02-21,39.0
2016-02-28,39.0
2016-03-06,41.0
2016-03-13,37.0
2016-03-20,43.0
2016-03-27,42.0
2016-04-03,46.0
2016-04-10,37.0
2016-04-17,38.0
2016-04-24,37.0
2016-05-01,42.0
2016-05-08,41.0
2016-05-15,33.0
2016-05-22,39.0
2016-05-29,40.0
2016-06-05,38.0
2016-06-12,38.0
2016-06-19,43.0
2016-06-26,48.0
2016-07-03,47.0
2016-07-10,44.0
2016-07-17,44.0
2016-07-24,49.0
2016-07-31,50.0
2016-08-07,44.0
2016-08-14,51.0
2016-08-21,55.0
2016-08-28,45.0
2016-09-04,43.0
2016-09-11,48.0
2016-09-18,42.0
2016-09-25,50.0
2016-10-02,43.0
2016-10-09,48.0
2016-10-16,41.0
2016-10-23,48.0
2016-10-30,47.0
2016-11-06,45.0
2016-11-13,49.0
2016-11-20,49.0
2016-11-27,49.0
2016-12-04,50.0
2016-12-11,50.0
2016-12-18,55.0
2016-12-25,73.0
2017-01-01,54.0
2017-01-08,48.0
2017-01-15,51.0
2017-01-22,49.0
2017-01-29,48.0
2017-02-05,47.0
2017-02-12,53.0
2017-02-19,48.0
2017-02-26,48.0
2017-03-05,59.0
2017-03-12,52.0
2017-03-19,52.0
2017-03-26,53.0
2017-04-02,53.0
2017-04-09,56.0
2017-04-16,60.0
2017-04-23,53.0
2017-04-30,49.0
2017-05-07,52.0
2017-05-14,45.0
2017-05-21,49.0
2017-05-28,49.0
2017-06-04,49.0
2017-06-11,50.0
2017-06-18,50.0
2017-06-25,53.0
2017-07-02,58.0
2017-07-09,62.0
2017-07-16,66.0
2017-07-23,61.0
2017-07-30,57.0
2017-08-06,63.0
2017-08-13,61.0
2017-08-20,62.0
2017-08-27,62.0
2017-09-03,58.0
2017-09-10,55.0
2017-09-17,55.0
2017-09-24,56.0
2017-10-01,63.0
2017-10-08,56.0
2017-10-15,54.0
2017-10-22,53.0
2017-10-29,57.0
2017-11-05,53.0
2017-11-12,54.0
2017-11-19,53.0
2017-11-26,63.0
2017-12-03,62.0
2017-12-10,62.0
2017-12-17,71.0
2017-12-24,79.0
2017-12-31,71.0
2018-01-07,63.0
2018-01-14,54.0
2018-01-21,57.0
2018-01-28,61.0
2018-02-04,62.0
2018-02-11,65.0
2018-02-18,63.0
2018-02-25,63.0
2018-03-04,57.0
2018-03-11,57.0
2018-03-18,55.0
2018-03-25,65.0
2018-04-01,62.0
2018-04-08,60.0
2018-04-15,61.0
2018-04-22,54.0
2018-04-29,62.0
2018-05-06,63.0
2018-05-13,61.0
2018-05-20,63.0
2018-05-27,64.0
2018-06-03,56.0
2018-06-10,67.0
2018-06-17,58.0
2018-06-24,62.0
2018-07-01,64.0
2018-07-08,72.0
2018-07-15,68.0
2018-07-22,69.0
2018-07-29,74.0
2018-08-05,69.0
2018-08-12,73.0
2018-08-19,74.0
2018-08-26,69.0
2018-09-02,64.0
2018-09-09,69.0
2018-09-16,63.0
2018-09-23,64.0
