,Finance
2014-12-28,44.0
2015-01-04,39.0
2015-01-11,41.0
2015-01-18,46.0
2015-01-25,47.0
2015-02-01,40.0
2015-02-08,47.0
2015-02-15,47.0
2015-02-22,47.0
2015-03-01,44.0
2015-03-08,48.0
2015-03-15,49.0
2015-03-22,52.0
2015-03-29,48.0
2015-04-05,51.0
2015-04-12,32.0
2015-04-19,49.0
2015-04-26,45.0
2015-05-03,43.0
2015-05-10,50.0
2015-05-17,47.0
2015-05-24,49.0
2015-05-31,42.0
2015-06-07,47.0
2015-06-14,47.0
2015-06-21,48.0
2015-06-28,45.0
2015-07-05,50.0
2015-07-12,49.0
2015-07-19,52.0
2015-07-26,48.0
2015-08-02,53.0
2015-08-09,50.0
2015-08-16,44.0
2015-08-23,52.0
2015-08-30,52.0
2015-09-06,55.0
2015-09-13,55.0
2015-09-20,53.0
2015-09-27,57.0
2015-10-04,59.0
2015-10-11,50.0
2015-10-18,52.0
2015-10-25,49.0
2015-11-01,48.0
2015-11-08,46.0
2015-11-15,48.0
2015-11-22,51.0
2015-11-29,53.0
2015-12-06,52.0
2015-12-13,53.0
2015-12-20,47.0
2015-12-27,53.0
2016-01-03,53.0
2016-01-10,48.0
2016-01-17,52.0
2016-01-24,53.0
2016-01-31,48.0
2016-02-07,53.0
2016-02-14,52.0
2016-02-21,51.0
2016-02-28,55.0
2016-03-06,53.0
2016-03-13,51.0
2016-03-20,53.0
2016-03-27,63.0
2016-04-03,58.0
2016-04-10,37.0
2016-04-17,47.0
2016-04-24,57.0
2016-05-01,56.0
2016-05-08,52.0
2016-05-15,47.0
2016-05-22,54.0
2016-05-29,58.0
2016-06-05,55.0
2016-06-12,55.0
2016-06-19,55.0
2016-06-26,62.0
2016-07-03,68.0
2016-07-10,72.0
2016-07-17,59.0
2016-07-24,63.0
2016-07-31,58.0
2016-08-07,57.0
2016-08-14,53.0
2016-08-21,58.0
2016-08-28,59.0
2016-09-04,58.0
2016-09-11,51.0
2016-09-18,59.0
2016-09-25,58.0
2016-10-02,66.0
2016-10-09,58.0
2016-10-16,58.0
2016-10-23,56.0
2016-10-30,58.0
2016-11-06,60.0
2016-11-13,56.0
2016-11-20,62.0
2016-11-27,58.0
2016-12-04,58.0
2016-12-11,52.0
2016-12-18,63.0
2016-12-25,59.0
2017-01-01,62.0
2017-01-08,55.0
2017-01-15,59.0
2017-01-22,60.0
2017-01-29,56.0
2017-02-05,50.0
2017-02-12,57.0
2017-02-19,58.0
2017-02-26,62.0
2017-03-05,58.0
2017-03-12,62.0
2017-03-19,61.0
2017-03-26,67.0
2017-04-02,63.0
2017-04-09,42.0
2017-04-16,58.0
2017-04-23,61.0
2017-04-30,57.0
2017-05-07,46.0
2017-05-14,54.0
2017-05-21,57.0
2017-05-28,55.0
2017-06-04,50.0
2017-06-11,54.0
2017-06-18,60.0
2017-06-25,59.0
2017-07-02,60.0
2017-07-09,61.0
2017-07-16,59.0
2017-07-23,63.0
2017-07-30,65.0
2017-08-06,59.0
2017-08-13,62.0
2017-08-20,60.0
2017-08-27,60.0
2017-09-03,55.0
2017-09-10,62.0
2017-09-17,63.0
2017-09-24,63.0
2017-10-01,64.0
2017-10-08,62.0
