,Travel Agencies & Services
2014-12-28,51.0
2015-01-04,47.0
2015-01-11,54.0
2015-01-18,41.0
2015-01-25,44.0
2015-02-01,45.0
2015-02-08,44.0
2015-02-15,47.0
2015-02-22,40.0
2015-03-01,52.0
2015-03-08,46.0
2015-03-15,46.0
2015-03-22,52.0
2015-03-29,52.0
2015-04-05,60.0
2015-04-12,44.0
2015-04-19,53.0
2015-04-26,53.0
2015-05-03,46.0
2015-05-10,54.0
2015-05-17,45.0
2015-05-24,48.0
2015-05-31,42.0
2015-06-07,51.0
2015-06-14,59.0
2015-06-21,57.0
2015-06-28,56.0
2015-07-05,49.0
2015-07-12,62.0
2015-07-19,59.0
2015-07-26,56.0
2015-08-02,57.0
2015-08-09,59.0
2015-08-16,53.0
2015-08-23,65.0
2015-08-30,60.0
2015-09-06,57.0
2015-09-13,53.0
2015-09-20,62.0
2015-09-27,57.0
2015-10-04,51.0
2015-10-11,56.0
2015-10-18,49.0
2015-10-25,49.0
2015-11-01,48.0
2015-11-08,53.0
2015-11-15,58.0
2015-11-22,56.0
2015-11-29,52.0
2015-12-06,55.0
2015-12-13,55.0
2015-12-20,70.0
2015-12-27,67.0
2016-01-03,64.0
2016-01-10,61.0
2016-01-17,50.0
2016-01-24,55.0
2016-01-31,51.0
2016-02-07,58.0
2016-02-14,58.0
2016-02-21,54.0
2016-02-28,53.0
2016-03-06,58.0
2016-03-13,50.0
2016-03-20,64.0
2016-03-27,57.0
2016-04-03,58.0
2016-04-10,49.0
2016-04-17,69.0
2016-04-24,66.0
2016-05-01,64.0
2016-05-08,60.0
2016-05-15,56.0
2016-05-22,65.0
2016-05-29,68.0
2016-06-05,58.0
2016-06-12,62.0
2016-06-19,57.0
2016-06-26,59.0
2016-07-03,63.0
2016-07-10,67.0
2016-07-17,58.0
2016-07-24,66.0
2016-07-31,60.0
2016-08-07,65.0
2016-08-14,68.0
2016-08-21,68.0
2016-08-28,59.0
2016-09-04,66.0
2016-09-11,58.0
2016-09-18,56.0
2016-09-25,68.0
2016-10-02,64.0
2016-10-09,63.0
2016-10-16,62.0
2016-10-23,57.0
2016-10-30,60.0
2016-11-06,54.0
2016-11-13,57.0
2016-11-20,63.0
2016-11-27,55.0
2016-12-04,60.0
2016-12-11,65.0
2016-12-18,67.0
2016-12-25,71.0
2017-01-01,70.0
2017-01-08,61.0
2017-01-15,59.0
2017-01-22,67.0
2017-01-29,73.0
2017-02-05,71.0
2017-02-12,78.0
2017-02-19,83.0
2017-02-26,81.0
2017-03-05,80.0
2017-03-12,79.0
2017-03-19,84.0
2017-03-26,81.0
2017-04-02,79.0
2017-04-09,68.0
2017-04-16,72.0
2017-04-23,65.0
2017-04-30,66.0
2017-05-07,65.0
2017-05-14,63.0
2017-05-21,64.0
2017-05-28,60.0
2017-06-04,56.0
2017-06-11,66.0
2017-06-18,68.0
